      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2015.45 | 8.02328 | 0.10743 | 0.89481 | 0.04969 | 2.65622 | 7.75962 | 5.67860 | 1.27708 | 0.86840 | 
 1 -> | 2014.35 | 7.98310 | 0.13556 | 0.80774 | 0.00676 | 2.86181 | 7.24409 | 5.76230 | 0.26324 | 0.34059 | 
 2 -> | 2012.00 | 6.00000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 0.00000 | 
 3 -> | 2014.74 | 8.43814 | 0.20103 | 0.93814 | 0.12371 | 2.52577 | 7.55155 | 5.50515 | 9.97938 | 0.80412 | 
 4 -> | 2010.00 | 8.50000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 45.0000 | 23.0000 | 
 5 -> | 1997.18 | 6.90445 | 0.10661 | 0.91376 | 0.05196 | 2.86116 | 7.58206 | 5.83128 | 2.43239 | 4.42087 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2014.96 | 8.40203 | 0.11799 | 0.94089 | 0.06618 | 2.78050 | 8.28026 | 5.78356 | 1.51413 | 3.81795 | 
 1 -> | 2014.25 | 8.01180 | 0.16323 | 0.81613 | 0.01278 | 2.80203 | 7.16060 | 5.74795 | 0.34775 | 0.54507 | 
 2 -> | 2009.73 | 7.53252 | 0.11165 | 0.89914 | 0.04676 | 2.91827 | 8.04360 | 5.79928 | 0.77468 | 1.21396 | 
 3 -> | 2012.51 | 8.34413 | 0.17814 | 0.95816 | 0.30229 | 2.67206 | 8.12955 | 5.61808 | 8.48448 | 7.91093 | 
 4 -> | 2014.84 | 9.06897 | 0.24138 | 0.93103 | 0.39655 | 3.31034 | 7.43103 | 5.55172 | 31.4138 | 22.7931 | 
 5 -> | 1990.18 | 6.40051 | 0.10386 | 0.90194 | 0.04531 | 2.84749 | 7.41945 | 5.84542 | 2.96449 | 5.20096 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2014.30 | 8.52080 | 0.15515 | 0.97179 | 0.07264 | 2.84309 | 8.29055 | 5.89316 | 1.53103 | 5.16185 | 
 1 -> | 2014.72 | 7.89520 | 0.14535 | 0.83676 | 0.03223 | 2.73550 | 7.35496 | 5.70160 | 0.72967 | 0.37118 | 
 2 -> | 2008.37 | 7.57309 | 0.11218 | 0.89058 | 0.04178 | 2.90111 | 7.93835 | 5.77493 | 0.77134 | 0.93535 | 
 3 -> | 2008.11 | 8.24707 | 0.11580 | 0.97225 | 0.26521 | 2.79456 | 8.92529 | 5.79562 | 5.32124 | 11.1275 | 
 4 -> | 2010.67 | 9.27623 | 0.16916 | 0.98287 | 0.51178 | 2.95717 | 8.02355 | 5.84368 | 22.0321 | 34.8544 | 
 5 -> | 1987.03 | 6.06890 | 0.10671 | 0.89116 | 0.02291 | 2.85038 | 7.26924 | 5.86062 | 2.79942 | 4.49794 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2014.09 | 8.62782 | 0.15088 | 0.96774 | 0.09157 | 2.87582 | 8.40652 | 5.90947 | 1.62019 | 5.35865 | 
 1 -> | 2014.72 | 7.93795 | 0.16300 | 0.84380 | 0.03482 | 2.71873 | 7.60669 | 5.69383 | 0.90391 | 0.46742 | 
 2 -> | 2008.46 | 7.57453 | 0.11253 | 0.88244 | 0.03975 | 2.90644 | 8.08285 | 5.74306 | 0.82565 | 0.59840 | 
 3 -> | 2006.71 | 8.17959 | 0.09297 | 0.97143 | 0.21859 | 2.82222 | 8.77868 | 5.85760 | 4.16009 | 10.1197 | 
 4 -> | 2008.24 | 8.96782 | 0.15018 | 0.97497 | 0.52205 | 2.98451 | 8.71871 | 5.91895 | 25.1955 | 65.2896 | 
 5 -> | 1986.55 | 6.03395 | 0.10821 | 0.88948 | 0.01429 | 2.85690 | 7.28526 | 5.87151 | 2.01404 | 2.25736 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2014.01 | 8.62529 | 0.15890 | 0.96982 | 0.10848 | 2.88006 | 8.48167 | 5.91826 | 1.83690 | 5.78533 | 
 1 -> | 2014.71 | 7.89582 | 0.15896 | 0.84234 | 0.03405 | 2.71891 | 7.72853 | 5.70651 | 0.91580 | 0.59178 | 
 2 -> | 2009.41 | 7.55292 | 0.10948 | 0.88310 | 0.04060 | 2.90648 | 8.30269 | 5.77299 | 0.79763 | 0.56493 | 
 3 -> | 2005.99 | 8.11316 | 0.11082 | 0.93080 | 0.17066 | 2.88345 | 8.22008 | 5.81191 | 3.87981 | 8.11889 | 
 4 -> | 2005.91 | 8.95387 | 0.11255 | 0.96863 | 0.52952 | 2.94649 | 9.16790 | 5.88561 | 42.0166 | 104.705 | 
 5 -> | 1986.48 | 6.04782 | 0.10874 | 0.88300 | 0.01677 | 2.85059 | 7.20139 | 5.85748 | 1.60709 | 1.63777 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2014.10 | 8.68807 | 0.15124 | 0.96770 | 0.13273 | 2.89681 | 8.70421 | 5.92083 | 2.09059 | 6.42576 | 
 1 -> | 2015.21 | 7.74569 | 0.14498 | 0.88440 | 0.04898 | 2.67633 | 7.45729 | 5.69240 | 1.25509 | 1.20337 | 
 2 -> | 2012.56 | 7.61692 | 0.14271 | 0.83607 | 0.03139 | 2.78157 | 8.21538 | 5.76530 | 0.72678 | 0.40532 | 
 3 -> | 2006.23 | 8.06418 | 0.09566 | 0.93674 | 0.13753 | 2.92971 | 8.17757 | 5.75336 | 3.34352 | 6.39425 | 
 4 -> | 2004.63 | 9.22436 | 0.15064 | 0.98718 | 0.50321 | 2.89744 | 10.3782 | 5.96154 | 62.3173 | 146.641 | 
 5 -> | 1986.46 | 6.12565 | 0.11447 | 0.88297 | 0.01948 | 2.85930 | 7.25448 | 5.86005 | 1.62555 | 1.58022 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.98 | 8.81627 | 0.15476 | 0.96706 | 0.14762 | 2.96825 | 8.95635 | 5.94563 | 3.08254 | 10.1119 | 
 1 -> | 2015.39 | 9.19820 | 0.10360 | 0.95495 | 0.03604 | 2.78378 | 6.56306 | 5.88739 | 2.69369 | 3.09910 | 
 2 -> | 2013.32 | 7.60992 | 0.15009 | 0.85022 | 0.04080 | 2.76893 | 7.99182 | 5.75477 | 0.83134 | 0.63740 | 
 3 -> | 2005.83 | 8.03419 | 0.08873 | 0.93179 | 0.14152 | 2.93465 | 8.22977 | 5.74622 | 3.18095 | 6.04945 | 
 4 -> | 2003.59 | 9.51394 | 0.24701 | 0.98805 | 0.50996 | 2.92032 | 10.9084 | 6.00398 | 62.4223 | 165.171 | 
 5 -> | 1986.52 | 6.14446 | 0.11438 | 0.88406 | 0.02234 | 2.87657 | 7.28037 | 5.85853 | 1.59027 | 1.47719 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.84 | 8.69308 | 0.11066 | 0.97313 | 0.26548 | 2.99180 | 8.84426 | 5.97678 | 6.50091 | 20.5856 | 
 1 -> | 2014.48 | 8.81818 | 0.24242 | 0.96970 | 0.10490 | 2.95804 | 9.96037 | 5.86247 | 2.57343 | 5.72727 | 
 2 -> | 2014.65 | 7.92997 | 0.15718 | 0.86071 | 0.04396 | 2.76107 | 7.74533 | 5.72405 | 0.98488 | 1.12664 | 
 3 -> | 2008.05 | 7.70873 | 0.11232 | 0.89182 | 0.08113 | 2.87784 | 8.24174 | 5.76396 | 1.57455 | 2.03202 | 
 4 -> | 2002.99 | 9.65086 | 0.22845 | 0.99138 | 0.53017 | 2.90517 | 11.1164 | 6.02586 | 68.2888 | 166.224 | 
 5 -> | 1986.56 | 6.18095 | 0.11609 | 0.87849 | 0.02423 | 2.83287 | 7.26997 | 5.85192 | 1.44833 | 1.26315 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2004.89 | 8.41483 | 0.11761 | 0.98030 | 0.31286 | 3.00348 | 9.02202 | 6.01101 | 10.7758 | 29.4936 | 
 1 -> | 2013.30 | 9.44068 | 0.13559 | 1.00000 | 0.29661 | 2.97458 | 6.23729 | 5.97458 | 5.53390 | 11.7119 | 
 2 -> | 2015.11 | 8.97826 | 0.19565 | 0.91304 | 0.21739 | 3.00000 | 12.2609 | 6.00000 | 3.34783 | 11.0000 | 
 3 -> | 2012.55 | 7.82263 | 0.13812 | 0.87603 | 0.06717 | 2.79138 | 7.98963 | 5.78049 | 1.29927 | 2.14634 | 
 4 -> | 2003.31 | 9.56219 | 0.28856 | 0.99005 | 0.63682 | 2.91045 | 11.4925 | 5.93035 | 72.5274 | 177.980 | 
 5 -> | 1990.06 | 6.48350 | 0.11929 | 0.88248 | 0.03336 | 2.89889 | 7.44412 | 5.83946 | 1.23926 | 0.86320 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2001.26 | 8.48742 | 0.08066 | 0.97138 | 0.27493 | 3.07632 | 9.01821 | 6.05811 | 13.7840 | 37.0382 | 
 1 -> | 2007.18 | 8.37273 | 0.07273 | 0.97273 | 0.34545 | 2.94545 | 6.46364 | 5.83636 | 6.40000 | 19.6455 | 
 2 -> | 2009.10 | 7.67681 | 0.21673 | 0.98859 | 0.34981 | 2.99620 | 7.96198 | 5.88213 | 5.04943 | 18.1103 | 
 3 -> | 2012.55 | 8.63691 | 0.10532 | 0.95386 | 0.21464 | 2.93882 | 9.11033 | 5.95787 | 4.26479 | 10.9027 | 
 4 -> | 2002.96 | 9.66316 | 0.27895 | 0.99474 | 0.62105 | 2.90000 | 12.2053 | 6.03684 | 71.8316 | 185.205 | 
 5 -> | 1999.06 | 6.99185 | 0.12970 | 0.87391 | 0.04803 | 2.86158 | 7.67524 | 5.82427 | 1.20309 | 1.23786 | 
