Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1996.52 | 0.19612 | 0.83835 | 0.01019 | 0.32621 | 0.51359 | 24.8163 | 
 1 -> | 1993.18 | 0.16701 | 0.83925 | 0.00626 | 0.06054 | 0.14405 | 5.77039 | 
 2 -> | 2013.70 | 0.14126 | 0.76682 | 0.00673 | 0.23318 | 0.45964 | 5.37285 | 
 3 -> | 1996.89 | 0.27027 | 0.86486 | 0.00000 | 12.5676 | 72.7027 | 0.44573 | 
 4 -> | 1978.82 | 0.08713 | 0.88812 | 0.00495 | 0.18515 | 0.77030 | 12.1672 | 
 5 -> | 1992.45 | 0.15413 | 0.85336 | 0.00726 | 0.57976 | 2.16069 | 51.4275 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1997.37 | 0.23005 | 0.85823 | 0.01104 | 0.32258 | 0.70374 | 14.2030 | 
 1 -> | 1991.36 | 0.14667 | 0.85778 | 0.01333 | 0.04000 | 0.20000 | 8.13841 | 
 2 -> | 2012.01 | 0.14855 | 0.80359 | 0.02393 | 0.27318 | 0.55533 | 12.0931 | 
 3 -> | 2005.00 | 0.25000 | 0.91667 | 0.16667 | 4.25000 | 50.4167 | 0.14468 | 
 4 -> | 1980.38 | 0.10578 | 0.87215 | 0.00381 | 0.12557 | 0.42390 | 15.8428 | 
 5 -> | 1991.53 | 0.16342 | 0.84825 | 0.00900 | 0.66075 | 2.64129 | 49.5780 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1998.58 | 0.22126 | 0.84816 | 0.02061 | 0.19414 | 0.52061 | 11.1178 | 
 1 -> | 1991.59 | 0.18321 | 0.84478 | 0.01145 | 0.12341 | 0.34860 | 9.47787 | 
 2 -> | 2011.72 | 0.13605 | 0.80952 | 0.02494 | 0.22600 | 0.61678 | 15.9532 | 
 3 -> | 2002.32 | 0.00000 | 0.78947 | 0.00000 | 5.84211 | 45.8947 | 0.22911 | 
 4 -> | 1983.00 | 0.11060 | 0.89493 | 0.00737 | 0.11244 | 0.31060 | 13.0833 | 
 5 -> | 1988.56 | 0.16474 | 0.85955 | 0.01058 | 0.67508 | 2.80087 | 50.1387 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1999.43 | 0.24814 | 0.82821 | 0.01803 | 0.20997 | 0.57370 | 11.3724 | 
 1 -> | 1992.73 | 0.19847 | 0.82290 | 0.00916 | 0.11908 | 0.36641 | 7.89918 | 
 2 -> | 2011.29 | 0.15773 | 0.81851 | 0.03045 | 0.31608 | 0.66626 | 19.8022 | 
 3 -> | 2005.88 | 0.29167 | 0.83333 | 0.00000 | 4.37500 | 49.7917 | 0.28944 | 
 4 -> | 1988.26 | 0.15706 | 0.86481 | 0.01392 | 0.07952 | 0.41352 | 6.06609 | 
 5 -> | 1985.74 | 0.14365 | 0.87669 | 0.01282 | 0.64398 | 2.57746 | 54.5707 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1999.81 | 0.25905 | 0.85524 | 0.03333 | 0.20762 | 0.52476 | 12.6643 | 
 1 -> | 1995.25 | 0.16949 | 0.84068 | 0.00339 | 0.16949 | 0.75932 | 3.55808 | 
 2 -> | 2010.81 | 0.14741 | 0.82134 | 0.03715 | 0.32017 | 0.64505 | 20.4559 | 
 3 -> | 2006.70 | 0.26087 | 0.69565 | 0.00000 | 6.26087 | 55.0870 | 0.27741 | 
 4 -> | 1991.43 | 0.18022 | 0.84553 | 0.01355 | 0.09756 | 0.33062 | 8.90122 | 
 5 -> | 1984.59 | 0.13232 | 0.88193 | 0.01114 | 0.61506 | 2.69370 | 54.1430 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1998.77 | 0.22011 | 0.84996 | 0.03046 | 0.29474 | 0.63671 | 15.8384 | 
 1 -> | 1998.92 | 0.26459 | 0.87549 | 0.02724 | 0.35409 | 0.80156 | 3.10012 | 
 2 -> | 2011.20 | 0.12189 | 0.82152 | 0.04167 | 0.31095 | 0.62749 | 19.3969 | 
 3 -> | 2008.47 | 0.26667 | 1.00000 | 0.00000 | 8.46667 | 66.5333 | 0.18094 | 
 4 -> | 1993.41 | 0.15616 | 0.84284 | 0.01101 | 0.12412 | 0.38839 | 12.0507 | 
 5 -> | 1983.50 | 0.13836 | 0.87360 | 0.01220 | 0.68448 | 3.33236 | 49.4331 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
