Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.54 | 5.97699 | 0.10753 | 0.89657 | 0.00098 | 2.86242 | 7.08863 | 5.87533 | 1.15042 | 0.61268 | 
 1 -> | 1995.25 | 7.12500 | 0.00000 | 1.00000 | 0.00000 | 2.43750 | 8.37500 | 5.87500 | 4.12500 | 9.43750 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2011.02 | 7.90481 | 0.10541 | 0.91104 | 0.04907 | 2.85395 | 7.82751 | 5.77481 | 1.40559 | 1.94770 | 
 5 -> | 2002.20 | 8.27775 | 0.09707 | 0.99350 | 0.31259 | 2.91129 | 9.21040 | 5.87831 | 14.6554 | 44.8263 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.25 | 5.96066 | 0.11086 | 0.89479 | 0.00034 | 2.87941 | 7.08527 | 5.89867 | 0.89540 | 0.44113 | 
 1 -> | 1991.21 | 7.02799 | 0.02124 | 0.96718 | 0.00579 | 2.50869 | 8.53958 | 5.58784 | 5.92568 | 9.78861 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.97 | 7.92301 | 0.10199 | 0.91238 | 0.05080 | 2.86033 | 7.90034 | 5.77442 | 1.44355 | 2.18734 | 
 5 -> | 2004.78 | 8.68122 | 0.11574 | 0.99405 | 0.41997 | 2.98082 | 9.19048 | 5.92791 | 21.3585 | 54.6733 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1986.29 | 5.99842 | 0.11361 | 0.89530 | 0.00021 | 2.89270 | 7.16544 | 5.90305 | 0.74124 | 0.36503 | 
 1 -> | 1990.05 | 6.56067 | 0.02617 | 0.97700 | 0.01110 | 2.45282 | 8.00397 | 5.52657 | 6.84377 | 10.0016 | 
 2 -> | 1986.70 | 9.20000 | 0.00000 | 1.00000 | 0.00000 | 4.30000 | 6.90000 | 6.50000 | 275.100 | 2.00000 | 
 3 -> | 2007.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 5.00000 | 8.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.99 | 7.91586 | 0.10428 | 0.91317 | 0.05795 | 2.86459 | 7.84507 | 5.77927 | 1.51568 | 2.47187 | 
 5 -> | 2004.12 | 8.61301 | 0.11815 | 0.98887 | 0.42038 | 2.96661 | 9.14212 | 5.91610 | 25.0351 | 64.8690 | 

