Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.50 | 0.09612 | 0.91410 | 0.02484 | 1.22950 | 1.56197 | 22.1833 | 
 1 -> | 2008.69 | 0.14724 | 0.97393 | 0.31135 | 15.2086 | 49.0675 | 1.87109 | 
 2 -> | 2010.96 | 0.14135 | 0.86021 | 0.01991 | 1.18860 | 2.09801 | 7.34948 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00287 | 
 4 -> | 1995.79 | 0.18277 | 0.93866 | 0.00588 | 3.55252 | 7.44748 | 6.83005 | 
 5 -> | 2004.14 | 0.09149 | 0.90819 | 0.04172 | 1.92682 | 2.26787 | 61.7632 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.31 | 0.10671 | 0.90420 | 0.02783 | 1.06125 | 1.40660 | 32.8961 | 
 1 -> | 2008.69 | 0.14724 | 0.97393 | 0.31135 | 15.2086 | 49.0675 | 0.00000 | 
 2 -> | 2010.88 | 0.14522 | 0.85363 | 0.02151 | 0.69151 | 1.36112 | 7.47130 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 2001.22 | 0.24610 | 0.95041 | 0.06336 | 2.99082 | 10.9862 | 3.12572 | 
 5 -> | 2001.39 | 0.09438 | 0.91243 | 0.05242 | 2.74399 | 4.24935 | 56.5069 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.55 | 0.10102 | 0.89342 | 0.03989 | 1.15652 | 1.33361 | 47.9908 | 
 1 -> | 2008.69 | 0.14724 | 0.97393 | 0.31135 | 15.2086 | 49.0675 | 0.00000 | 
 2 -> | 2010.15 | 0.14088 | 0.85249 | 0.02737 | 0.55344 | 0.56036 | 9.96269 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 2007.79 | 0.14553 | 0.95677 | 0.03890 | 2.57493 | 8.99568 | 1.99196 | 
 5 -> | 1996.07 | 0.10856 | 0.92870 | 0.05783 | 3.44300 | 6.08535 | 40.0545 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.68 | 0.10741 | 0.88364 | 0.05649 | 1.25761 | 1.49854 | 42.3278 | 
 1 -> | 2008.69 | 0.14724 | 0.97393 | 0.31135 | 15.2086 | 49.0675 | 0.00000 | 
 2 -> | 2011.83 | 0.11062 | 0.89925 | 0.01778 | 0.99012 | 0.56870 | 13.0769 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 2010.24 | 0.12563 | 0.89095 | 0.05000 | 1.44070 | 3.24749 | 11.4237 | 
 5 -> | 1993.69 | 0.11292 | 0.92636 | 0.04534 | 3.69084 | 6.79017 | 33.1716 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.36 | 0.11482 | 0.88138 | 0.06377 | 1.37225 | 1.78475 | 43.0712 | 
 1 -> | 2012.90 | 0.08955 | 1.00000 | 0.56716 | 12.9254 | 30.9403 | 0.19231 | 
 2 -> | 2011.74 | 0.11419 | 0.92734 | 0.04498 | 0.55363 | 0.41869 | 0.82951 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 2011.11 | 0.12364 | 0.88579 | 0.03513 | 1.02179 | 1.47754 | 23.4472 | 
 5 -> | 1993.18 | 0.11937 | 0.92625 | 0.04580 | 3.79883 | 6.85189 | 32.4598 | 

