Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.10 | 0.11550 | 0.89291 | 0.01568 | 0.78519 | 1.05074 | 22.5105 | 
 1 -> | 2002.25 | 0.15556 | 0.90556 | 0.00000 | 0.41667 | 0.47778 | 0.51656 | 
 2 -> | 2011.07 | 0.13435 | 0.90059 | 0.00837 | 0.31348 | 0.22638 | 5.83137 | 
 3 -> | 2012.43 | 0.09422 | 0.88198 | 0.03048 | 0.76071 | 1.14805 | 31.8286 | 
 4 -> | 2007.26 | 0.10705 | 0.95654 | 0.13487 | 4.73344 | 5.13831 | 10.8305 | 
 5 -> | 1992.76 | 0.09955 | 0.93501 | 0.03647 | 3.88877 | 7.57310 | 28.4825 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.59 | 0.11947 | 0.89940 | 0.02156 | 0.93084 | 1.36084 | 22.3680 | 
 1 -> | 2003.25 | 0.16412 | 0.93963 | 0.01190 | 1.04082 | 1.12330 | 3.37543 | 
 2 -> | 2011.06 | 0.04730 | 0.86036 | 0.02252 | 0.51577 | 0.44144 | 1.27440 | 
 3 -> | 2013.30 | 0.12679 | 0.85893 | 0.00893 | 0.17321 | 0.22857 | 1.60735 | 
 4 -> | 2011.79 | 0.09817 | 0.89463 | 0.05374 | 1.43197 | 1.91448 | 39.4690 | 
 5 -> | 1993.70 | 0.10678 | 0.93091 | 0.04192 | 3.81756 | 7.21168 | 31.9059 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.83 | 0.12958 | 0.89376 | 0.03155 | 1.18159 | 1.90392 | 22.0178 | 
 1 -> | 2004.69 | 0.12511 | 0.94419 | 0.01890 | 1.46895 | 2.21062 | 3.18886 | 
 2 -> | 2004.96 | 0.10876 | 0.95166 | 0.01360 | 0.96979 | 0.36254 | 1.90011 | 
 3 -> | 2012.05 | 0.04167 | 0.80952 | 0.02381 | 0.43155 | 0.46429 | 0.96441 | 
 4 -> | 2012.10 | 0.10227 | 0.89085 | 0.04930 | 1.26311 | 1.46233 | 38.3668 | 
 5 -> | 1994.07 | 0.10972 | 0.93244 | 0.04815 | 3.76841 | 7.34183 | 33.5620 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.38 | 0.13307 | 0.88931 | 0.03485 | 1.14178 | 1.82682 | 19.1102 | 
 1 -> | 2007.80 | 0.06261 | 0.93918 | 0.02147 | 1.55456 | 4.81932 | 1.60448 | 
 2 -> | 2005.43 | 0.13135 | 0.92350 | 0.01912 | 1.13588 | 1.03775 | 5.70321 | 
 3 -> | 2010.94 | 0.06080 | 0.84906 | 0.03145 | 0.60587 | 0.39203 | 1.36912 | 
 4 -> | 2012.16 | 0.10553 | 0.88985 | 0.05209 | 1.24847 | 1.43872 | 37.9133 | 
 5 -> | 1994.15 | 0.11264 | 0.92887 | 0.05013 | 3.53958 | 6.55598 | 34.2997 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2013.14 | 0.15138 | 0.86190 | 0.02893 | 0.97365 | 1.01783 | 14.4862 | 
 1 -> | 2010.74 | 0.11370 | 0.97674 | 0.11240 | 3.13307 | 10.7041 | 2.22158 | 
 2 -> | 2006.19 | 0.09737 | 0.92544 | 0.01667 | 1.06228 | 2.24035 | 3.27210 | 
 3 -> | 2008.05 | 0.10065 | 0.91625 | 0.01941 | 0.94033 | 0.45579 | 7.98507 | 
 4 -> | 2012.35 | 0.10962 | 0.88557 | 0.05174 | 1.21767 | 1.45550 | 36.4466 | 
 5 -> | 1994.53 | 0.11848 | 0.92854 | 0.05371 | 3.31559 | 6.24599 | 35.5884 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2013.56 | 0.15138 | 0.84426 | 0.02862 | 0.78921 | 0.87593 | 13.1401 | 
 1 -> | 2013.47 | 0.19750 | 0.98250 | 0.17750 | 3.75500 | 11.9100 | 1.14811 | 
 2 -> | 2009.53 | 0.09781 | 0.94941 | 0.07757 | 2.10624 | 5.61551 | 1.70207 | 
 3 -> | 2007.63 | 0.09988 | 0.93358 | 0.02400 | 1.14715 | 1.24509 | 11.8398 | 
 4 -> | 2012.53 | 0.11060 | 0.88401 | 0.05412 | 1.16856 | 1.37221 | 35.1636 | 
 5 -> | 1994.88 | 0.12317 | 0.92352 | 0.05414 | 3.18436 | 6.35647 | 37.0063 | 

