Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1993.32 | 8.44374 | 0.19981 | 0.98642 | 0.00582 | 3.55723 | 11.1212 | 6.30989 | 1.32735 | 1.71290 | 
 1 -> | 1996.43 | 8.90858 | 0.16304 | 1.00000 | 0.19340 | 3.34884 | 11.6479 | 6.14983 | 13.0241 | 38.7637 | 
 2 -> | 2011.17 | 8.96072 | 0.21765 | 0.99102 | 0.09845 | 3.51674 | 11.1027 | 6.20296 | 2.51420 | 4.50754 | 
 3 -> | 1989.58 | 8.02803 | 0.18725 | 0.99387 | 0.00394 | 3.53044 | 10.9623 | 6.24901 | 4.85589 | 0.58213 | 
 4 -> | 1978.00 | 9.00000 | 0.00000 | 0.50000 | 0.00000 | 2.00000 | 16.5000 | 6.00000 | 2.00000 | 19.0000 | 
 5 -> | 1981.40 | 7.72077 | 0.18633 | 0.99217 | 0.00731 | 3.73173 | 9.87109 | 6.37265 | 2.64614 | 2.11482 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1992.32 | 9.75364 | 0.32769 | 1.00000 | 0.02398 | 4.30183 | 14.5595 | 6.70616 | 1.63329 | 4.92431 | 
 1 -> | 1996.43 | 8.90858 | 0.16304 | 1.00000 | 0.19340 | 3.34884 | 11.6479 | 6.14983 | 13.0241 | 38.7637 | 
 2 -> | 2011.00 | 9.88497 | 0.38832 | 0.99979 | 0.15465 | 4.26129 | 14.5389 | 6.63901 | 3.02034 | 5.78112 | 
 3 -> | 1992.83 | 9.74453 | 0.32915 | 1.00000 | 0.07368 | 4.11417 | 14.9397 | 6.59190 | 12.3559 | 2.83401 | 
 4 -> | 2002.90 | 10.0141 | 0.36370 | 1.00000 | 0.47248 | 3.95970 | 14.9705 | 6.51114 | 16.8499 | 59.4944 | 
 5 -> | 1984.93 | 9.62959 | 0.34523 | 1.00000 | 0.06541 | 4.18468 | 14.8283 | 6.64358 | 18.6506 | 26.6352 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1989.01 | 10.4210 | 0.58872 | 1.00000 | 0.10865 | 5.15441 | 17.5923 | 7.14999 | 2.67493 | 9.33422 | 
 1 -> | 1994.00 | 10.4000 | 0.40000 | 1.00000 | 0.00000 | 6.00000 | 16.8000 | 7.80000 | 0.00000 | 25.0000 | 
 2 -> | 2010.88 | 10.4398 | 0.61490 | 1.00000 | 0.23482 | 5.14525 | 17.3937 | 7.12054 | 2.44160 | 8.00023 | 
 3 -> | 2002.61 | 10.4858 | 0.60758 | 1.00000 | 0.27065 | 5.06189 | 17.4900 | 7.10602 | 11.6731 | 4.65702 | 
 4 -> | 2002.90 | 10.0141 | 0.36370 | 1.00000 | 0.47248 | 3.95970 | 14.9705 | 6.51114 | 16.8499 | 59.4944 | 
 5 -> | 2001.26 | 10.4826 | 0.60780 | 1.00000 | 0.50885 | 4.95244 | 17.4797 | 7.00935 | 24.5458 | 56.2751 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1988.12 | 10.7546 | 0.84270 | 1.00000 | 0.26721 | 6.08427 | 19.5242 | 7.68645 | 5.83743 | 9.28792 | 
 1 -> | 1988.81 | 10.8022 | 0.83920 | 1.00000 | 0.36286 | 6.12500 | 19.5073 | 7.70752 | 3.33981 | 25.3283 | 
 2 -> | 2003.85 | 10.7073 | 0.83577 | 1.00000 | 0.39837 | 6.05203 | 19.5187 | 7.67480 | 1.73496 | 27.0228 | 
 3 -> | 2008.16 | 10.7706 | 0.84838 | 1.00000 | 0.46073 | 6.11627 | 19.3466 | 7.67509 | 8.73301 | 11.0962 | 
 4 -> | 1996.10 | 10.7865 | 0.82584 | 1.00000 | 0.37079 | 5.85955 | 18.9663 | 7.54494 | 1.71910 | 37.3034 | 
 5 -> | 2003.31 | 10.7599 | 0.85278 | 1.00000 | 0.68918 | 6.02098 | 19.4117 | 7.64252 | 30.5329 | 76.7478 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1987.97 | 10.9900 | 0.97490 | 1.00000 | 0.54817 | 6.81691 | 20.7305 | 8.14286 | 21.8630 | 5.46253 | 
 1 -> | 1986.31 | 10.9706 | 0.96662 | 1.00000 | 0.57276 | 6.90788 | 20.7437 | 8.20961 | 4.33645 | 20.9413 | 
 2 -> | 1993.13 | 10.9628 | 0.98404 | 1.00000 | 0.53191 | 6.72340 | 20.7181 | 8.04787 | 3.23936 | 21.6543 | 
 3 -> | 2008.88 | 10.9899 | 0.97933 | 1.00000 | 0.68937 | 6.85642 | 20.7042 | 8.19812 | 13.9378 | 11.3625 | 
 4 -> | 2005.49 | 10.9729 | 0.97695 | 1.00000 | 0.77047 | 6.84055 | 20.6922 | 8.17510 | 9.62126 | 30.1188 | 
 5 -> | 2002.39 | 10.9745 | 0.97940 | 1.00000 | 0.85097 | 6.81066 | 20.7647 | 8.17407 | 39.7515 | 102.339 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1992.15 | 11.0908 | 0.99954 | 1.00000 | 0.88909 | 7.09174 | 21.4281 | 8.51848 | 49.8138 | 6.98037 | 
 1 -> | 1978.58 | 11.2500 | 1.00000 | 1.00000 | 0.66667 | 7.16667 | 21.3333 | 8.58333 | 8.91667 | 11.4167 | 
 2 -> | 1985.84 | 11.0896 | 1.00000 | 1.00000 | 0.85377 | 7.08962 | 21.4670 | 8.52358 | 7.06132 | 16.3396 | 
 3 -> | 2009.55 | 11.1157 | 1.00000 | 1.00000 | 0.86940 | 7.13060 | 21.2985 | 8.57276 | 28.5597 | 9.81530 | 
 4 -> | 2004.85 | 11.0781 | 0.99920 | 1.00000 | 0.93103 | 7.11044 | 21.4209 | 8.53978 | 12.5921 | 33.9884 | 
 5 -> | 2002.54 | 11.0746 | 0.99955 | 1.00000 | 0.96598 | 7.12125 | 21.4654 | 8.53182 | 52.0850 | 125.406 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1988.85 | 11.1608 | 1.00000 | 1.00000 | 0.99777 | 7.21929 | 21.7977 | 8.88254 | 178.042 | 8.69585 | 
