Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1995.77 | 7.70833 | 0.02778 | 0.98958 | 0.11111 | 2.60764 | 9.77083 | 5.48611 | 59.0660 | 32.0035 | 
 1 -> | 2001.23 | 8.85714 | 0.14286 | 1.00000 | 0.40816 | 2.91837 | 12.2755 | 5.89796 | 56.9490 | 136.020 | 
 2 -> | 2014.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 3.00000 | 6.00000 | 1.00000 | 0.00000 | 
 3 -> | 1993.00 | 4.66667 | 0.00000 | 1.00000 | 0.00000 | 3.66667 | 10.3333 | 6.00000 | 9.33333 | 0.00000 | 
 4 -> | 1978.71 | 5.38367 | 0.05255 | 0.89588 | 0.00039 | 2.95468 | 5.99414 | 5.92166 | 1.56730 | 0.80953 | 
 5 -> | 2003.48 | 7.35630 | 0.11395 | 0.91022 | 0.04946 | 2.82654 | 7.87675 | 5.79944 | 1.55866 | 3.75516 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2003.27 | 8.63291 | 0.03797 | 0.98734 | 0.37553 | 2.99578 | 8.40506 | 5.88608 | 44.8692 | 46.1224 | 
 1 -> | 2003.03 | 8.81860 | 0.25116 | 1.00000 | 0.46047 | 3.11628 | 12.0140 | 5.76744 | 63.1349 | 171.256 | 
 2 -> | 2014.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 3.00000 | 6.00000 | 1.00000 | 0.00000 | 
 3 -> | 1991.20 | 5.70000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 6.00000 | 5.00000 | 40.1000 | 0.00000 | 
 4 -> | 1979.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 19.0000 | 5.00000 | 9.00000 | 60.0000 | 
 5 -> | 1999.68 | 7.03023 | 0.10333 | 0.90455 | 0.03857 | 2.84058 | 7.64503 | 5.81833 | 1.49402 | 2.39049 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2007.71 | 8.81068 | 0.08738 | 1.00000 | 0.57767 | 2.98544 | 9.84951 | 5.91748 | 32.8447 | 41.9709 | 
 1 -> | 2004.33 | 9.74444 | 0.16667 | 1.00000 | 0.53333 | 2.81111 | 12.6778 | 5.81111 | 132.322 | 179.322 | 
 2 -> | 2014.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 3.00000 | 6.00000 | 1.00000 | 0.00000 | 
 3 -> | 2003.46 | 8.74074 | 0.00000 | 0.96296 | 0.01852 | 2.40741 | 9.88889 | 5.24074 | 57.0556 | 6.29630 | 
 4 -> | 2000.31 | 8.23476 | 0.10366 | 0.99085 | 0.42378 | 3.00915 | 9.65854 | 5.87500 | 15.7805 | 94.1890 | 
 5 -> | 1999.50 | 7.01715 | 0.10239 | 0.90340 | 0.03355 | 2.84035 | 7.58312 | 5.82019 | 1.42464 | 2.09958 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.41 | 8.52015 | 0.08974 | 0.99817 | 0.48535 | 2.93223 | 9.68132 | 5.93956 | 14.4377 | 39.8333 | 
