Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.95 | 7.80284 | 0.10810 | 0.90661 | 0.03739 | 2.83906 | 7.86978 | 5.76007 | 0.97268 | 1.48239 | 
 1 -> | 2005.54 | 7.21192 | 0.16556 | 0.96026 | 0.14901 | 2.89404 | 7.77815 | 5.92384 | 1.28146 | 12.1291 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2009.98 | 8.85936 | 0.12295 | 0.98016 | 0.35203 | 2.87230 | 8.74892 | 5.81967 | 11.7519 | 25.3421 | 
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1986.68 | 6.08501 | 0.09779 | 0.90402 | 0.00474 | 2.87061 | 7.18211 | 5.87354 | 2.00056 | 4.55407 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2011.15 | 7.85741 | 0.10846 | 0.90909 | 0.03990 | 2.82463 | 7.85802 | 5.75287 | 1.20870 | 1.47517 | 
 1 -> | 2007.82 | 8.13838 | 0.15758 | 0.98586 | 0.18586 | 2.87172 | 8.43636 | 5.87071 | 2.94141 | 9.92525 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2009.04 | 8.77433 | 0.11120 | 0.99591 | 0.41374 | 2.91987 | 8.81112 | 5.92559 | 12.1177 | 26.3295 | 
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1986.89 | 6.15682 | 0.09898 | 0.90200 | 0.01108 | 2.86711 | 7.20267 | 5.87280 | 2.23217 | 5.64339 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2011.17 | 7.83432 | 0.11264 | 0.90168 | 0.03596 | 2.80028 | 7.81345 | 5.74634 | 1.13145 | 1.22271 | 
 1 -> | 2009.14 | 8.27945 | 0.11298 | 0.98257 | 0.15264 | 2.86238 | 8.67909 | 5.87380 | 2.90625 | 8.69171 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2008.75 | 8.78169 | 0.09771 | 0.99824 | 0.41285 | 2.90493 | 8.74384 | 5.95158 | 11.6074 | 24.3178 | 
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1986.96 | 6.16898 | 0.09818 | 0.90224 | 0.01239 | 2.84110 | 7.21902 | 5.85506 | 2.35345 | 5.90090 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2011.07 | 7.79543 | 0.10800 | 0.89679 | 0.03533 | 2.78235 | 7.79702 | 5.73140 | 1.07844 | 1.03494 | 
 1 -> | 2010.09 | 8.47702 | 0.12095 | 0.98403 | 0.14369 | 2.85631 | 8.63522 | 5.86067 | 2.76875 | 7.94291 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2009.04 | 8.72774 | 0.11130 | 0.99829 | 0.37243 | 2.87329 | 8.74058 | 5.96918 | 11.4007 | 21.5394 | 
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1987.09 | 6.17184 | 0.09976 | 0.90181 | 0.01396 | 2.81921 | 7.33239 | 5.84218 | 2.34423 | 6.88598 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.98 | 7.75932 | 0.10497 | 0.89483 | 0.03654 | 2.79080 | 7.71629 | 5.74473 | 1.07322 | 0.90793 | 
 1 -> | 2011.06 | 8.54381 | 0.13207 | 0.98058 | 0.11782 | 2.84161 | 8.53604 | 5.85412 | 2.39361 | 7.28312 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2009.09 | 8.64860 | 0.12315 | 0.99672 | 0.35878 | 2.88095 | 8.76355 | 5.96716 | 11.1831 | 19.2603 | 
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1987.12 | 6.15683 | 0.10241 | 0.90565 | 0.01630 | 2.82681 | 7.36977 | 5.84881 | 2.38280 | 8.56720 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.87 | 7.71481 | 0.10378 | 0.88949 | 0.03337 | 2.80021 | 7.74631 | 5.74853 | 1.04142 | 0.81804 | 
 1 -> | 2011.84 | 8.52895 | 0.15649 | 0.97457 | 0.11463 | 2.84311 | 8.28717 | 5.85094 | 2.27387 | 6.71479 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2009.24 | 8.56876 | 0.12368 | 0.99756 | 0.33035 | 2.86656 | 8.69976 | 5.95606 | 10.2498 | 17.4044 | 
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1987.15 | 6.14777 | 0.09903 | 0.90397 | 0.01929 | 2.83643 | 7.40316 | 5.85956 | 2.32768 | 7.07650 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.71 | 7.71337 | 0.10494 | 0.89002 | 0.03280 | 2.81256 | 7.72200 | 5.74617 | 1.04582 | 0.72315 | 
 1 -> | 2012.50 | 8.47024 | 0.14585 | 0.97764 | 0.10664 | 2.83454 | 8.43825 | 5.86171 | 2.04438 | 6.07465 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2009.15 | 8.55068 | 0.11027 | 0.99726 | 0.34384 | 2.87603 | 8.56438 | 5.95753 | 9.68836 | 17.6781 | 
 4 -> | 1988.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 
 5 -> | 1987.10 | 6.16487 | 0.10018 | 0.90182 | 0.01883 | 2.82717 | 7.36455 | 5.84624 | 2.39798 | 6.95215 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.54 | 7.73137 | 0.10024 | 0.88869 | 0.03164 | 2.81171 | 7.79803 | 5.74162 | 1.03037 | 0.68567 | 
 1 -> | 2012.98 | 8.41134 | 0.15493 | 0.97582 | 0.10448 | 2.84537 | 7.96985 | 5.85552 | 2.00418 | 5.53881 | 
 2 -> | 1978.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 2.00000 | 0.00000 | 
 3 -> | 2009.11 | 8.53501 | 0.11285 | 0.99728 | 0.35078 | 2.87967 | 8.75663 | 5.95785 | 9.46703 | 17.4793 | 
