Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2009.43 | 7.68212 | 0.09111 | 0.92919 | 0.05784 | 2.74112 | 7.71826 | 5.68424 | 1.92664 | 1.23272 | 
 1 -> | 2013.94 | 8.23000 | 0.12102 | 0.90250 | 0.06263 | 2.88199 | 8.05716 | 5.88172 | 1.10365 | 3.85615 | 
 2 -> | 2008.46 | 9.16643 | 0.09591 | 0.99859 | 0.49929 | 3.04513 | 9.02962 | 5.89563 | 11.7997 | 35.6587 | 
 3 -> | 2003.62 | 7.22154 | 0.18605 | 0.85067 | 0.00245 | 3.38188 | 7.33537 | 6.00000 | 0.23868 | 1.33537 | 
 4 -> | 1987.19 | 6.12010 | 0.10023 | 0.90766 | 0.00868 | 2.83232 | 7.15294 | 5.86467 | 1.49067 | 3.15318 | 
 5 -> | 2001.12 | 8.47791 | 0.18072 | 0.99197 | 0.30120 | 2.78715 | 10.2892 | 5.65462 | 68.9960 | 94.5984 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2009.18 | 7.62710 | 0.09071 | 0.92154 | 0.05265 | 2.85154 | 7.93889 | 5.75864 | 1.61266 | 1.24851 | 
 1 -> | 2014.13 | 8.18122 | 0.11408 | 0.91890 | 0.06385 | 2.82923 | 7.73404 | 5.81690 | 1.46878 | 3.08803 | 
 2 -> | 2009.11 | 9.20178 | 0.11424 | 0.99555 | 0.52819 | 2.93769 | 8.44807 | 5.93323 | 12.9733 | 28.3932 | 
 3 -> | 2004.01 | 7.56798 | 0.13596 | 0.92598 | 0.06623 | 2.84340 | 7.43903 | 5.77990 | 1.61862 | 4.95793 | 
 4 -> | 1986.54 | 6.01520 | 0.09770 | 0.90792 | 0.00202 | 2.81621 | 7.17792 | 5.86143 | 1.47360 | 1.63463 | 
 5 -> | 2004.26 | 8.66304 | 0.23641 | 1.00000 | 0.41033 | 3.16304 | 11.7228 | 5.81793 | 46.2120 | 153.348 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2009.21 | 7.54320 | 0.10279 | 0.91653 | 0.02777 | 2.83728 | 8.14437 | 5.74797 | 1.10734 | 0.54596 | 
 1 -> | 2014.34 | 8.14994 | 0.11628 | 0.92056 | 0.05288 | 2.81812 | 7.71383 | 5.80355 | 1.42864 | 2.45153 | 
 2 -> | 2012.52 | 8.19048 | 0.14286 | 0.97619 | 0.02381 | 2.57143 | 8.50000 | 5.28571 | 47.7143 | 5.00000 | 
 3 -> | 2005.98 | 8.01056 | 0.10439 | 0.95355 | 0.19798 | 2.89491 | 7.71100 | 5.85667 | 4.65048 | 11.6498 | 
 4 -> | 1986.57 | 6.02932 | 0.09767 | 0.91060 | 0.00226 | 2.84375 | 7.19459 | 5.87163 | 1.54855 | 1.66527 | 
 5 -> | 2003.09 | 8.39837 | 0.30081 | 1.00000 | 0.37398 | 3.21951 | 12.0854 | 5.82114 | 53.0407 | 202.402 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2007.95 | 7.57348 | 0.10678 | 0.91681 | 0.03772 | 2.84603 | 7.89875 | 5.75301 | 1.12313 | 0.88031 | 
 1 -> | 2014.30 | 8.08871 | 0.11313 | 0.92311 | 0.04001 | 2.80127 | 7.62255 | 5.79530 | 1.19171 | 1.91518 | 
 2 -> | 2012.52 | 8.19048 | 0.14286 | 0.97619 | 0.02381 | 2.57143 | 8.50000 | 5.28571 | 47.7143 | 5.00000 | 
 3 -> | 2008.83 | 8.44276 | 0.11342 | 0.98697 | 0.29588 | 2.90912 | 8.66256 | 5.89891 | 8.06411 | 19.1930 | 
 4 -> | 1986.61 | 6.04767 | 0.09679 | 0.90873 | 0.00332 | 2.82854 | 7.15718 | 5.85755 | 1.63772 | 1.81877 | 
 5 -> | 2002.85 | 8.45545 | 0.33168 | 1.00000 | 0.40594 | 3.15842 | 12.1436 | 5.95050 | 71.6188 | 246.436 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2007.05 | 7.68109 | 0.10565 | 0.92770 | 0.05639 | 2.80586 | 7.82442 | 5.75283 | 1.36818 | 1.51752 | 
 1 -> | 2013.91 | 7.99083 | 0.10626 | 0.92218 | 0.04063 | 2.79935 | 7.64757 | 5.78779 | 1.25680 | 1.92937 | 
 2 -> | 2007.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 7.00000 | 5.00000 | 25.0000 | 0.00000 | 
 3 -> | 2008.93 | 8.64006 | 0.11215 | 0.99270 | 0.36307 | 2.96348 | 9.00678 | 5.93740 | 10.8790 | 27.0287 | 
 4 -> | 1986.49 | 6.01514 | 0.09543 | 0.90808 | 0.00250 | 2.83261 | 7.10450 | 5.86503 | 1.67418 | 1.71985 | 
 5 -> | 2002.99 | 8.02825 | 0.44633 | 1.00000 | 0.48588 | 3.08475 | 12.5706 | 5.91525 | 81.4350 | 307.023 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.56 | 7.73904 | 0.09983 | 0.92808 | 0.06524 | 2.83948 | 7.70839 | 5.77272 | 1.32423 | 2.13989 | 
 1 -> | 2013.70 | 7.97631 | 0.10796 | 0.92453 | 0.04391 | 2.80515 | 7.75496 | 5.79120 | 1.24803 | 2.00590 | 
 2 -> | 2008.25 | 8.07407 | 0.06481 | 0.95370 | 0.21296 | 2.83333 | 10.2870 | 5.51852 | 17.0556 | 2.61111 | 
 3 -> | 2008.46 | 8.71510 | 0.09950 | 0.99069 | 0.39656 | 2.94417 | 9.48604 | 5.91124 | 13.6693 | 34.5848 | 
 4 -> | 1986.59 | 6.03789 | 0.09495 | 0.90926 | 0.00270 | 2.83994 | 7.13178 | 5.86709 | 1.70138 | 1.81832 | 
 5 -> | 2002.66 | 7.98026 | 0.56579 | 1.00000 | 0.44737 | 3.07895 | 13.7434 | 5.98026 | 83.1579 | 361.145 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.59 | 7.72511 | 0.09971 | 0.92122 | 0.06311 | 2.82979 | 7.73867 | 5.77466 | 1.26962 | 2.57810 | 
 1 -> | 2013.71 | 8.00085 | 0.10567 | 0.92359 | 0.04338 | 2.82074 | 7.77849 | 5.79750 | 1.15018 | 2.15442 | 
 2 -> | 2010.49 | 8.05974 | 0.15844 | 0.97403 | 0.24935 | 2.68312 | 7.55325 | 5.52468 | 13.6104 | 4.44156 | 
 3 -> | 2008.14 | 8.80297 | 0.11386 | 0.99109 | 0.42970 | 2.98317 | 9.91485 | 5.86535 | 17.1436 | 43.3178 | 
 4 -> | 1986.55 | 6.04047 | 0.09833 | 0.90853 | 0.00281 | 2.85703 | 7.11130 | 5.87617 | 1.66997 | 1.89169 | 
 5 -> | 2001.96 | 7.42958 | 0.65493 | 1.00000 | 0.46479 | 3.15493 | 13.8099 | 5.96479 | 104.014 | 392.718 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.40 | 7.82423 | 0.09009 | 0.93149 | 0.06066 | 2.78058 | 7.41498 | 5.77387 | 1.27959 | 2.86593 | 
 1 -> | 2013.52 | 7.94670 | 0.11143 | 0.91981 | 0.02902 | 2.83647 | 7.99731 | 5.80866 | 0.96811 | 1.94048 | 
 2 -> | 2011.51 | 8.70382 | 0.09082 | 0.97833 | 0.31992 | 2.73478 | 8.49226 | 5.67079 | 9.86791 | 8.24974 | 
 3 -> | 2007.35 | 8.97736 | 0.12327 | 0.99119 | 0.43899 | 3.04528 | 10.0642 | 5.88553 | 21.0742 | 54.0755 | 
 4 -> | 1986.47 | 6.04463 | 0.09930 | 0.90949 | 0.00262 | 2.85657 | 7.12323 | 5.86698 | 1.55008 | 1.81450 | 
 5 -> | 2002.30 | 7.55725 | 0.68702 | 1.00000 | 0.44275 | 2.96183 | 14.4580 | 5.96183 | 97.6565 | 414.626 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.94 | 7.70816 | 0.09915 | 0.93313 | 0.06281 | 2.84809 | 7.22729 | 5.79146 | 1.28121 | 2.06011 | 
 1 -> | 2013.18 | 7.88271 | 0.10453 | 0.90738 | 0.02125 | 2.82287 | 7.95150 | 5.78266 | 0.77332 | 1.26613 | 
