Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1986.42 | 0.11364 | 0.87500 | 0.00000 | 0.10227 | 0.30114 | 9.37666 | 
 1 -> | 1982.96 | 0.16667 | 0.83333 | 0.00000 | 0.95833 | 0.12500 | 1.27864 | 
 2 -> | 2000.00 | 0.22514 | 0.83425 | 0.01934 | 0.40470 | 0.65193 | 38.5722 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.05328 | 
 4 -> | 1973.93 | 0.16249 | 0.83751 | 0.00327 | 0.27808 | 1.52781 | 48.8546 | 
 5 -> | 1985.00 | 0.17143 | 0.80000 | 0.00000 | 119.800 | 631.743 | 1.86468 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1986.45 | 0.09936 | 0.83333 | 0.00641 | 0.09295 | 0.30449 | 16.6845 | 
 1 -> | 1985.86 | 0.07143 | 0.73810 | 0.00000 | 0.42857 | 0.28571 | 2.24599 | 
 2 -> | 2001.26 | 0.21835 | 0.82753 | 0.03323 | 0.31487 | 0.37658 | 33.7968 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1973.63 | 0.16705 | 0.83523 | 0.00227 | 0.41136 | 0.82727 | 47.0588 | 
 5 -> | 1994.50 | 0.00000 | 0.75000 | 0.00000 | 1036.75 | 5711.75 | 0.21390 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1986.88 | 0.08882 | 0.82237 | 0.00329 | 0.09868 | 0.39474 | 16.2654 | 
 1 -> | 1986.57 | 0.10294 | 0.85294 | 0.00000 | 0.51471 | 0.39706 | 3.63831 | 
 2 -> | 2001.44 | 0.23401 | 0.79461 | 0.03872 | 0.26768 | 0.32660 | 31.7817 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1973.54 | 0.16574 | 0.84983 | 0.00779 | 0.33704 | 1.31034 | 48.1006 | 
 5 -> | 1979.50 | 0.00000 | 0.50000 | 0.00000 | 1382.25 | 7365.25 | 0.21402 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1987.71 | 0.12782 | 0.82707 | 0.00376 | 0.11278 | 0.15789 | 14.2398 | 
 1 -> | 1986.44 | 0.05747 | 0.95402 | 0.00000 | 0.12644 | 0.57471 | 4.65739 | 
 2 -> | 2001.40 | 0.18667 | 0.79833 | 0.05333 | 0.29167 | 0.33167 | 32.1199 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1973.78 | 0.18002 | 0.84632 | 0.01098 | 0.29418 | 0.29199 | 48.7687 | 
 5 -> | 1980.75 | 0.25000 | 1.00000 | 0.00000 | 1382.00 | 7365.00 | 0.21413 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1989.29 | 0.18149 | 0.82918 | 0.00356 | 0.16726 | 0.26690 | 15.0509 | 
 1 -> | 1987.68 | 0.12500 | 0.87500 | 0.00000 | 0.31250 | 0.21250 | 4.28495 | 
 2 -> | 2001.60 | 0.18339 | 0.82872 | 0.07439 | 0.25606 | 0.25779 | 30.9588 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1973.90 | 0.18054 | 0.87568 | 0.01297 | 0.25730 | 0.32000 | 49.5447 | 
 5 -> | 1982.67 | 0.00000 | 0.33333 | 0.00000 | 1382.00 | 7365.00 | 0.16069 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1989.66 | 0.17405 | 0.86076 | 0.01899 | 0.11709 | 0.22152 | 16.9346 | 
 1 -> | 1987.99 | 0.08974 | 0.94872 | 0.00000 | 0.35897 | 0.10256 | 4.18006 | 
 2 -> | 2001.92 | 0.17476 | 0.80194 | 0.08350 | 0.20971 | 0.32233 | 27.5991 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1973.98 | 0.15393 | 0.87330 | 0.01885 | 0.26283 | 0.32565 | 51.1790 | 
 5 -> | 1993.00 | 0.00000 | 1.00000 | 0.00000 | 1382.00 | 7365.00 | 0.10718 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1990.79 | 0.20280 | 0.86014 | 0.02448 | 0.10140 | 0.24476 | 15.3351 | 
 1 -> | 1987.90 | 0.15385 | 0.90110 | 0.00000 | 0.19780 | 0.32967 | 4.87936 | 
 2 -> | 2002.14 | 0.17573 | 0.82636 | 0.09623 | 0.36611 | 0.31172 | 25.6300 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1974.18 | 0.16749 | 0.87512 | 0.02775 | 0.32507 | 0.33697 | 54.1019 | 
 5 -> | 1983.00 | 0.00000 | 1.00000 | 0.00000 | 1382.00 | 7365.00 | 0.05362 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.90 | 0.20253 | 0.85127 | 0.06013 | 0.17089 | 0.36392 | 16.9528 | 
 1 -> | 1987.93 | 0.19565 | 0.91304 | 0.00000 | 0.21739 | 0.15217 | 4.93562 | 
 2 -> | 2003.35 | 0.14483 | 0.81839 | 0.10115 | 0.54253 | 0.21609 | 23.3369 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1974.24 | 0.17451 | 0.86078 | 0.03627 | 0.16569 | 0.31078 | 54.7210 | 
 5 -> | 1991.00 | 1.00000 | 1.00000 | 0.00000 | 1382.00 | 7365.00 | 0.05365 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.33 | 0.21017 | 0.82712 | 0.05085 | 0.12881 | 0.24746 | 15.8347 | 
 1 -> | 1988.25 | 0.23585 | 0.92453 | 0.00000 | 0.11321 | 0.44340 | 5.68975 | 
 2 -> | 2004.11 | 0.13563 | 0.77931 | 0.10805 | 0.26437 | 0.20000 | 23.3494 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1974.47 | 0.17349 | 0.85478 | 0.03411 | 0.22125 | 0.26706 | 55.0725 | 
 5 -> | 1970.00 | 1.00000 | 1.00000 | 0.00000 | 1382.00 | 7365.00 | 0.05368 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.30 | 0.18874 | 0.84106 | 0.03642 | 0.17881 | 0.38742 | 16.2191 | 
 1 -> | 1989.51 | 0.26613 | 0.91129 | 0.01613 | 0.27419 | 0.54032 | 6.65951 | 
 2 -> | 2004.83 | 0.08728 | 0.80299 | 0.10474 | 0.21446 | 0.30175 | 21.5360 | 
 3 -> | 1970.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 1974.40 | 0.15586 | 0.86738 | 0.03485 | 0.27590 | 0.24105 | 55.4780 | 
 5 -> | 1984.00 | 0.50000 | 1.00000 | 0.50000 | 1382.00 | 7365.00 | 0.10741 | 
