Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2011.75 | 5.85974 | 0.11670 | 0.97591 | 0.25268 | 2.81317 | 6.80086 | 5.85867 | 7.43148 | 27.5327 | 5.36073 | 
 1 -> | 2010.63 | 5.89950 | 0.09979 | 0.98788 | 0.04633 | 2.90592 | 15.4455 | 5.89095 | 1.70207 | 6.54597 | 4.02629 | 
 2 -> | 1999.56 | 5.80912 | 0.08868 | 0.96643 | 0.10972 | 2.81663 | 7.95190 | 5.84619 | 5.98798 | 19.5050 | 5.72806 | 
 3 -> | 2014.32 | 5.89665 | 0.09316 | 0.94760 | 0.05677 | 2.78020 | 3.06114 | 5.88501 | 0.90393 | 3.67103 | 1.97153 | 
 4 -> | 1999.93 | 5.77100 | 0.07009 | 0.96897 | 0.07651 | 2.72285 | 6.00107 | 5.67737 | 4.66667 | 5.00642 | 5.36360 | 
 5 -> | 2005.91 | 5.76020 | 0.11005 | 0.89180 | 0.01739 | 2.77105 | 8.09270 | 5.67616 | 1.31151 | 0.40562 | 77.5498 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2007.12 | 5.87256 | 0.11614 | 0.97533 | 0.40288 | 2.86434 | 8.99692 | 5.87873 | 18.2898 | 57.2425 | 2.79277 | 
 1 -> | 2013.89 | 5.78571 | 0.07143 | 1.00000 | 0.14286 | 2.71429 | 16.2500 | 5.96429 | 10.1429 | 15.0000 | 0.08037 | 
 2 -> | 1998.13 | 5.88353 | 0.10040 | 0.96787 | 0.07831 | 2.84739 | 11.0904 | 5.85944 | 6.70080 | 26.0924 | 1.42939 | 
 3 -> | 2013.25 | 5.91765 | 0.11765 | 1.00000 | 0.23529 | 2.67059 | 4.20000 | 5.74118 | 5.07059 | 14.1294 | 0.24397 | 
 4 -> | 1996.42 | 5.79505 | 0.05654 | 0.97880 | 0.08127 | 2.78799 | 8.24382 | 5.80212 | 11.2615 | 17.3887 | 0.81228 | 
 5 -> | 2006.10 | 5.77421 | 0.10954 | 0.90313 | 0.03278 | 2.77794 | 8.10005 | 5.70170 | 1.45722 | 1.44891 | 94.6412 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2003.57 | 5.87959 | 0.08367 | 0.95918 | 0.39388 | 2.84490 | 10.3061 | 5.86939 | 28.9122 | 79.2980 | 1.40643 | 
 1 -> | 2013.89 | 5.78571 | 0.07143 | 1.00000 | 0.14286 | 2.71429 | 16.2500 | 5.96429 | 10.1429 | 15.0000 | 0.00000 | 
 2 -> | 2000.09 | 5.90566 | 0.01887 | 1.00000 | 0.22642 | 3.05660 | 11.2830 | 6.00000 | 10.5094 | 41.0755 | 0.15212 | 
 3 -> | 2012.78 | 5.66667 | 0.55556 | 1.00000 | 0.66667 | 3.00000 | 5.22222 | 6.00000 | 5.88889 | 37.6667 | 0.02583 | 
 4 -> | 1999.13 | 5.83645 | 0.06075 | 0.97196 | 0.23832 | 2.98131 | 10.7617 | 5.85514 | 14.7477 | 32.6262 | 0.61424 | 
 5 -> | 2006.05 | 5.77578 | 0.11052 | 0.89934 | 0.03980 | 2.78429 | 8.08995 | 5.70910 | 1.58898 | 2.08520 | 97.8014 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2001.96 | 5.77500 | 0.07917 | 0.96250 | 0.37083 | 2.88333 | 11.5458 | 5.87083 | 49.9583 | 120.254 | 0.68886 | 
 1 -> | 2013.89 | 5.78571 | 0.07143 | 1.00000 | 0.14286 | 2.71429 | 16.2500 | 5.96429 | 10.1429 | 15.0000 | 0.00000 | 
 2 -> | 1994.11 | 6.00000 | 0.00000 | 1.00000 | 0.11111 | 4.33333 | 2.55556 | 6.00000 | 14.2222 | 60.0000 | 0.02583 | 
 3 -> | 2011.61 | 5.94444 | 0.27778 | 1.00000 | 0.61111 | 3.33333 | 12.0000 | 6.00000 | 14.6111 | 58.6111 | 0.05166 | 
 4 -> | 2000.38 | 5.84821 | 0.03125 | 0.95982 | 0.40625 | 2.74554 | 9.55357 | 5.84375 | 18.6563 | 46.8125 | 0.64294 | 
 5 -> | 2006.08 | 5.77865 | 0.11063 | 0.89915 | 0.04568 | 2.80486 | 8.12303 | 5.71612 | 1.67641 | 2.35291 | 98.5907 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2006.46 | 5.93651 | 0.08730 | 0.96825 | 0.61905 | 2.97619 | 11.8492 | 5.90476 | 77.5476 | 162.405 | 0.36165 | 
 1 -> | 2013.89 | 5.78571 | 0.07143 | 1.00000 | 0.14286 | 2.71429 | 16.2500 | 5.96429 | 10.1429 | 15.0000 | 0.00000 | 
 2 -> | 1970.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 11.0000 | 100.000 | 0.00287 | 
 3 -> | 1998.41 | 5.82353 | 0.00000 | 1.00000 | 0.17647 | 3.41176 | 16.4706 | 6.05882 | 7.05882 | 99.1176 | 0.04879 | 
 4 -> | 1998.66 | 5.61864 | 0.08475 | 0.96610 | 0.19492 | 2.85593 | 10.5932 | 5.93220 | 19.8390 | 73.7797 | 0.33869 | 
 5 -> | 2005.94 | 5.78128 | 0.11337 | 0.89722 | 0.05316 | 2.81468 | 8.13896 | 5.71982 | 1.83547 | 2.72274 | 99.2480 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2010.60 | 6.00000 | 0.05000 | 1.00000 | 0.67500 | 2.97500 | 13.7250 | 5.93750 | 92.0625 | 193.413 | 0.22962 | 
 1 -> | 2013.89 | 5.78571 | 0.07143 | 1.00000 | 0.14286 | 2.71429 | 16.2500 | 5.96429 | 10.1429 | 15.0000 | 0.00000 | 
 2 -> | 1970.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 11.0000 | 100.000 | 0.00000 | 
 3 -> | 2009.00 | 6.00000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 15.0000 | 6.00000 | 25.0000 | 140.000 | 0.01722 | 
 4 -> | 1998.24 | 5.86207 | 0.10345 | 0.96552 | 0.50000 | 2.87931 | 11.7931 | 5.87931 | 44.9828 | 95.8966 | 0.16648 | 
 5 -> | 2005.98 | 5.78447 | 0.11307 | 0.89543 | 0.05589 | 2.82107 | 8.12540 | 5.72513 | 1.89970 | 2.89961 | 99.5867 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2009.07 | 6.00000 | 0.11111 | 1.00000 | 0.48889 | 3.35556 | 12.8222 | 5.86667 | 115.578 | 264.511 | 0.12916 | 
 1 -> | 2013.89 | 5.78571 | 0.07143 | 1.00000 | 0.14286 | 2.71429 | 16.2500 | 5.96429 | 10.1429 | 15.0000 | 0.00000 | 
 2 -> | 1970.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 11.0000 | 100.000 | 0.00000 | 
 3 -> | 2010.00 | 6.00000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 14.0000 | 6.00000 | 66.0000 | 150.000 | 0.00861 | 
 4 -> | 2007.32 | 6.07792 | 0.05195 | 1.00000 | 0.83117 | 2.94805 | 13.3766 | 5.94805 | 57.5195 | 116.727 | 0.22101 | 
 5 -> | 2005.86 | 5.78675 | 0.11672 | 0.89247 | 0.05957 | 2.81590 | 8.13343 | 5.72081 | 1.90258 | 2.97805 | 99.6412 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2011.80 | 6.10000 | 0.40000 | 1.00000 | 0.40000 | 3.00000 | 13.9500 | 6.00000 | 73.1000 | 351.200 | 0.05741 | 
 1 -> | 2013.89 | 5.78571 | 0.07143 | 1.00000 | 0.14286 | 2.71429 | 16.2500 | 5.96429 | 10.1429 | 15.0000 | 0.00000 | 
 2 -> | 1970.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 11.0000 | 100.000 | 0.00000 | 
 3 -> | 2010.00 | 6.00000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 14.0000 | 6.00000 | 66.0000 | 150.000 | 0.00000 | 
 4 -> | 2007.55 | 5.86364 | 0.00000 | 1.00000 | 0.59091 | 3.68182 | 10.3182 | 5.81818 | 115.091 | 134.227 | 0.06315 | 
 5 -> | 2005.91 | 5.78829 | 0.11983 | 0.89186 | 0.06360 | 2.81269 | 8.16995 | 5.72300 | 2.08104 | 3.31278 | 99.8794 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.60000 | 3.00000 | 14.2667 | 6.00000 | 100.800 | 444.200 | 0.04305 | 
 1 -> | 2013.89 | 5.78571 | 0.07143 | 1.00000 | 0.14286 | 2.71429 | 16.2500 | 5.96429 | 10.1429 | 15.0000 | 0.00000 | 
 2 -> | 1970.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 11.0000 | 100.000 | 0.00000 | 
 3 -> | 2008.00 | 6.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 37.0000 | 235.000 | 0.02583 | 
 4 -> | 2007.55 | 5.86364 | 0.00000 | 1.00000 | 0.59091 | 3.68182 | 10.3182 | 5.81818 | 115.091 | 134.227 | 0.00000 | 
 5 -> | 2005.87 | 5.79317 | 0.11805 | 0.89152 | 0.06534 | 2.81669 | 8.13402 | 5.72518 | 2.14855 | 3.40596 | 99.9311 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.70000 | 3.00000 | 14.4500 | 6.00000 | 100.800 | 444.200 | 0.05741 | 
 1 -> | 2013.89 | 5.78571 | 0.07143 | 1.00000 | 0.14286 | 2.71429 | 16.2500 | 5.96429 | 10.1429 | 15.0000 | 0.00000 | 
 2 -> | 1970.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 11.0000 | 100.000 | 0.00000 | 
 3 -> | 2008.00 | 6.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 37.0000 | 235.000 | 0.00000 | 
 4 -> | 2008.00 | 6.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 37.0000 | 235.000 | 0.02583 | 
 5 -> | 2005.78 | 5.79840 | 0.11743 | 0.88679 | 0.07009 | 2.82382 | 8.12743 | 5.73313 | 2.16817 | 3.42843 | 99.9168 | 
