Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.07 | 0.13360 | 0.91599 | 0.04656 | 0.70850 | 1.25978 | 8.50527 | 
 1 -> | 2000.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00287 | 
 2 -> | 1989.00 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 5.00000 | 0.00287 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00287 | 
 4 -> | 2012.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 4.00000 | 0.00287 | 
 5 -> | 2003.83 | 0.00000 | 0.66667 | 0.16667 | 0.16667 | 0.00000 | 0.01722 | 
 6 -> | 2007.05 | 0.10000 | 0.93636 | 0.05909 | 5.45909 | 30.5955 | 0.63130 | 
 7 -> | 1996.74 | 0.21004 | 0.94272 | 0.02051 | 2.12518 | 5.25813 | 4.05751 | 
 8 -> | 1988.54 | 0.07291 | 0.92651 | 0.00576 | 2.39856 | 3.76138 | 9.95724 | 
 9 -> | 2008.19 | 0.10138 | 0.90535 | 0.04456 | 2.14497 | 3.26349 | 76.8200 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.78 | 0.10968 | 0.89401 | 0.04777 | 1.18446 | 1.42408 | 22.5329 | 
 1 -> | 2000.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 2 -> | 1989.00 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 5.00000 | 0.00000 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 2016.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 16.0000 | 0.00287 | 
 5 -> | 2005.89 | 0.10313 | 0.94090 | 0.06952 | 1.25377 | 0.66744 | 2.47718 | 
 6 -> | 2013.03 | 0.11111 | 0.87500 | 0.05556 | 5.58333 | 21.8889 | 0.20667 | 
 7 -> | 2001.44 | 0.21648 | 0.94023 | 0.02585 | 1.97092 | 4.85784 | 1.77680 | 
 8 -> | 1991.43 | 0.12839 | 0.93652 | 0.00963 | 1.33488 | 1.51498 | 8.04868 | 
 9 -> | 2005.60 | 0.10164 | 0.90707 | 0.04468 | 2.48866 | 4.31597 | 64.9549 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.83 | 0.10962 | 0.88674 | 0.05523 | 1.17310 | 0.98742 | 20.5299 | 
 1 -> | 2000.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 2 -> | 1989.00 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 5.00000 | 0.00000 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 4 -> | 2013.68 | 0.14433 | 0.94845 | 0.03093 | 1.20619 | 10.1959 | 0.27844 | 
