Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.35 | 0.05000 | 0.85000 | 0.10000 | 0.35000 | 0.85000 | 25.9740 | 
 1 -> | 1976.38 | 0.00000 | 1.00000 | 0.00000 | 0.25000 | 0.75000 | 10.3896 | 
 2 -> | 2016.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 1.29870 | 
 3 -> | 1989.65 | 0.05000 | 0.90000 | 0.05000 | 0.20000 | 0.70000 | 25.9740 | 
 4 -> | 2010.50 | 0.00000 | 0.50000 | 0.00000 | 0.50000 | 0.00000 | 5.19481 | 
 5 -> | 2006.17 | 0.00000 | 0.95833 | 0.08333 | 59.6250 | 308.417 | 31.1688 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.82 | 0.00000 | 0.76471 | 0.00000 | 0.17647 | 1.70588 | 24.2857 | 
 1 -> | 1971.80 | 0.00000 | 1.00000 | 0.00000 | 0.80000 | 0.40000 | 7.14286 | 
 2 -> | 2016.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 1989.35 | 0.00000 | 0.84615 | 0.00000 | 0.23077 | 0.50000 | 37.1429 | 
 4 -> | 2009.24 | 0.00000 | 0.80952 | 0.19048 | 0.19048 | 0.85714 | 30.0000 | 
 5 -> | 1999.00 | 0.00000 | 1.00000 | 0.00000 | 1383.00 | 7366.00 | 1.42857 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1995.67 | 0.00000 | 0.91667 | 0.08333 | 0.33333 | 1.16667 | 17.3913 | 
 1 -> | 1975.80 | 0.00000 | 1.00000 | 0.00000 | 0.20000 | 1.60000 | 7.24638 | 
 2 -> | 2016.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 1982.90 | 0.00000 | 0.95238 | 0.00000 | 0.28571 | 0.61905 | 30.4348 | 
 4 -> | 2005.90 | 0.00000 | 0.75862 | 0.13793 | 0.06897 | 1.10345 | 42.0290 | 
 5 -> | 1993.00 | 0.00000 | 1.00000 | 0.00000 | 1383.00 | 7366.00 | 2.89855 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1995.62 | 0.00000 | 0.84615 | 0.07692 | 0.46154 | 2.15385 | 19.1176 | 
 1 -> | 1975.80 | 0.00000 | 1.00000 | 0.00000 | 0.20000 | 1.60000 | 0.00000 | 
 2 -> | 2016.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 1977.39 | 0.00000 | 0.95652 | 0.00000 | 0.17391 | 1.30435 | 33.8235 | 
 4 -> | 2005.19 | 0.00000 | 0.83871 | 0.22581 | 0.25806 | 0.74194 | 45.5882 | 
 5 -> | 1982.00 | 0.00000 | 1.00000 | 0.00000 | 1383.00 | 7366.00 | 1.47059 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1996.00 | 0.00000 | 0.88889 | 0.11111 | 0.33333 | 2.44444 | 13.4328 | 
 1 -> | 1975.80 | 0.00000 | 1.00000 | 0.00000 | 0.20000 | 1.60000 | 0.00000 | 
 2 -> | 2016.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 1977.52 | 0.00000 | 1.00000 | 0.00000 | 0.43478 | 1.34783 | 34.3284 | 
 4 -> | 2005.30 | 0.00000 | 0.75758 | 0.21212 | 0.06061 | 0.54545 | 49.2537 | 
 5 -> | 2006.00 | 0.00000 | 1.00000 | 0.00000 | 1383.00 | 7366.00 | 2.98507 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1995.27 | 0.00000 | 0.90909 | 0.09091 | 0.36364 | 1.90909 | 16.6667 | 
 1 -> | 1975.80 | 0.00000 | 1.00000 | 0.00000 | 0.20000 | 1.60000 | 0.00000 | 
 2 -> | 2016.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 1977.61 | 0.03571 | 1.00000 | 0.00000 | 0.25000 | 1.25000 | 42.4242 | 
 4 -> | 2004.23 | 0.00000 | 0.76923 | 0.15385 | 0.19231 | 0.65385 | 39.3939 | 
 5 -> | 1981.00 | 0.00000 | 1.00000 | 0.00000 | 1383.00 | 7366.00 | 1.51515 | 

