      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2011.17 | 7.83976 | 0.11448 | 0.90885 | 0.04372 | 2.81697 | 7.83641 | 5.75465 | 1.29386 | 1.53986 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2015.02 | 9.37805 | 0.32927 | 1.00000 | 0.17073 | 2.95122 | 9.68293 | 5.82927 | 3.65854 | 11.2317 | 
 3 -> | 2002.08 | 7.75000 | 0.00000 | 1.00000 | 0.00000 | 2.66667 | 9.33333 | 5.75000 | 0.08333 | 4.33333 | 
 4 -> | 1994.97 | 6.74498 | 0.17620 | 0.93509 | 0.00000 | 3.19784 | 7.93663 | 6.15765 | 0.44204 | 0.00000 | 
 5 -> | 1988.92 | 6.35684 | 0.09709 | 0.90981 | 0.04521 | 2.82175 | 7.29305 | 5.86069 | 3.27723 | 6.18848 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2012.05 | 7.73825 | 0.11438 | 0.89948 | 0.03553 | 2.81830 | 7.78000 | 5.74680 | 1.16033 | 1.08553 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2014.14 | 9.10824 | 0.10405 | 0.98534 | 0.16341 | 2.88897 | 8.58101 | 5.91760 | 5.66131 | 10.2367 | 
 3 -> | 2005.38 | 7.91082 | 0.10361 | 0.94951 | 0.13770 | 2.83836 | 7.98426 | 5.79902 | 2.98820 | 7.71934 | 
 4 -> | 2003.00 | 7.09538 | 0.27457 | 0.87572 | 0.02601 | 3.47688 | 7.64451 | 6.01445 | 0.41040 | 0.18208 | 
 5 -> | 1987.42 | 6.18816 | 0.09813 | 0.90265 | 0.02003 | 2.83811 | 7.15733 | 5.86792 | 2.73950 | 4.86342 | 
      |   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.27 | 7.77491 | 0.12322 | 0.89105 | 0.02761 | 2.78587 | 7.80583 | 5.75596 | 0.98003 | 1.17687 | 
 1 -> | 1978.00 | 8.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 0.00000 | 1.00000 | 
 2 -> | 2014.71 | 9.36925 | 0.07627 | 0.99153 | 0.09806 | 2.87409 | 8.73608 | 5.93099 | 3.26150 | 7.18160 | 
 3 -> | 2009.54 | 8.62838 | 0.10304 | 0.98423 | 0.31081 | 2.84234 | 8.52140 | 5.88626 | 8.77590 | 17.6430 | 
 4 -> | 2005.47 | 7.55684 | 0.09981 | 0.93808 | 0.05508 | 2.91406 | 7.63926 | 5.74777 | 1.43839 | 2.06751 | 
 5 -> | 1987.22 | 6.18654 | 0.10022 | 0.90377 | 0.01396 | 2.84507 | 7.12876 | 5.87396 | 2.72568 | 4.41014 | 
