Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1989.80 | 6.15369 | 0.11523 | 0.91661 | 0.00108 | 2.75968 | 7.66912 | 5.78407 | 1.39948 | 1.45427 | 
 1 -> | 2015.00 | 10.0000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 1999.50 | 4.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 8.50000 | 5.00000 | 15.5000 | 1.00000 | 
 3 -> | 1993.47 | 6.94944 | 0.01124 | 0.96629 | 0.02247 | 2.86517 | 11.1742 | 5.92697 | 3.99438 | 32.7865 | 
 4 -> | 1976.62 | 5.44714 | 0.08220 | 0.88066 | 0.00000 | 3.18817 | 5.30602 | 6.08517 | 0.78386 | 1.32756 | 
 5 -> | 2010.28 | 7.95040 | 0.10341 | 0.91517 | 0.08082 | 2.84190 | 8.00606 | 5.76770 | 3.14393 | 6.00970 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.06 | 6.22846 | 0.11193 | 0.91508 | 0.00171 | 2.74138 | 7.57965 | 5.76101 | 1.11445 | 0.87582 | 
 1 -> | 2015.00 | 10.0000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 1990.31 | 5.77705 | 0.05574 | 0.98689 | 0.00984 | 2.34426 | 8.37049 | 5.20328 | 20.2656 | 1.96721 | 
 3 -> | 1989.28 | 7.57508 | 0.00000 | 1.00000 | 0.00000 | 2.97444 | 8.57188 | 5.89457 | 5.44728 | 26.7444 | 
 4 -> | 1976.70 | 5.36353 | 0.08960 | 0.88672 | 0.00000 | 3.19946 | 5.34863 | 6.08911 | 0.55225 | 1.06226 | 
 5 -> | 2010.63 | 7.93639 | 0.10914 | 0.91468 | 0.08148 | 2.84397 | 7.94633 | 5.77479 | 2.99774 | 6.04789 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.12 | 6.27942 | 0.11208 | 0.91338 | 0.00172 | 2.75229 | 7.48926 | 5.76443 | 1.06786 | 0.79841 | 
 1 -> | 2015.00 | 10.0000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 1989.95 | 5.47788 | 0.05900 | 0.99705 | 0.01475 | 2.40118 | 8.41888 | 5.30383 | 18.8083 | 0.91740 | 
 3 -> | 1989.10 | 7.02809 | 0.00000 | 1.00000 | 0.00000 | 2.91854 | 9.23876 | 5.83146 | 5.92135 | 23.1096 | 
 4 -> | 1976.63 | 5.30590 | 0.09590 | 0.88857 | 0.00000 | 3.19616 | 5.54188 | 6.09420 | 0.54528 | 0.99296 | 
 5 -> | 2010.60 | 7.95592 | 0.11253 | 0.91506 | 0.08115 | 2.83844 | 7.92285 | 5.77715 | 3.06456 | 6.30943 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.12 | 6.29286 | 0.11431 | 0.91160 | 0.00155 | 2.78232 | 7.44321 | 5.77621 | 1.00520 | 0.71389 | 
 1 -> | 2015.00 | 10.0000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 1990.27 | 5.49398 | 0.04578 | 0.97831 | 0.01205 | 2.26265 | 8.21687 | 5.21205 | 16.2506 | 0.84096 | 
 3 -> | 1989.33 | 7.16465 | 0.00000 | 1.00000 | 0.00000 | 2.86199 | 8.84746 | 5.85956 | 5.68039 | 20.9225 | 
 4 -> | 1976.64 | 5.39662 | 0.09615 | 0.89232 | 0.00000 | 3.25558 | 5.56684 | 6.12190 | 0.50699 | 0.96787 | 
 5 -> | 2010.55 | 7.96016 | 0.11652 | 0.91383 | 0.08200 | 2.84348 | 7.90540 | 5.77997 | 3.17570 | 6.56627 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.12 | 6.32864 | 0.11473 | 0.90573 | 0.00120 | 2.77146 | 7.48338 | 5.78294 | 0.94666 | 0.70201 | 
 1 -> | 2015.00 | 10.0000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 3.00000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 1990.36 | 5.66126 | 0.04665 | 0.97972 | 0.00609 | 2.17039 | 8.97566 | 5.19473 | 15.1156 | 0.70994 | 
 3 -> | 1989.36 | 7.21065 | 0.01157 | 1.00000 | 0.01157 | 2.86574 | 9.17593 | 5.86806 | 4.59259 | 19.8009 | 
 4 -> | 1976.53 | 5.34232 | 0.09888 | 0.89310 | 0.00000 | 3.25729 | 5.62123 | 6.13824 | 0.46356 | 0.91521 | 
 5 -> | 2010.50 | 7.94695 | 0.11494 | 0.91285 | 0.08189 | 2.86227 | 7.91664 | 5.77833 | 3.25367 | 6.54245 | 

