Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1993.23 | 0.10474 | 0.93211 | 0.01168 | 1.90951 | 3.13427 | 30.2259 | 
 1 -> | 2011.20 | 0.10535 | 0.90259 | 0.05043 | 2.23538 | 3.41144 | 69.7741 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.19 | 0.11392 | 0.92783 | 0.01114 | 2.09445 | 3.22694 | 28.5981 | 
 1 -> | 2011.26 | 0.10794 | 0.90103 | 0.05415 | 2.27473 | 3.62830 | 71.4019 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.88 | 0.12188 | 0.92628 | 0.01513 | 2.12209 | 3.27822 | 28.0736 | 
 1 -> | 2011.20 | 0.10911 | 0.89995 | 0.05388 | 2.30307 | 3.75999 | 71.9264 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.83 | 0.12353 | 0.92654 | 0.01878 | 2.17328 | 3.28952 | 27.9797 | 
 1 -> | 2011.18 | 0.11240 | 0.89621 | 0.05684 | 2.22623 | 3.69903 | 72.0203 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.72 | 0.12296 | 0.92241 | 0.02335 | 2.17975 | 3.39254 | 28.1556 | 
 1 -> | 2011.16 | 0.11316 | 0.89463 | 0.05926 | 2.18704 | 3.63979 | 71.8444 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.67 | 0.12572 | 0.92108 | 0.02480 | 2.05693 | 3.33548 | 28.5899 | 
 1 -> | 2011.13 | 0.11594 | 0.89395 | 0.06191 | 2.25918 | 3.65311 | 71.4101 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.63 | 0.12693 | 0.92358 | 0.02939 | 2.14755 | 3.33665 | 28.8146 | 
 1 -> | 2011.13 | 0.11950 | 0.89276 | 0.06380 | 2.24855 | 3.76730 | 71.1854 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.66 | 0.12782 | 0.92331 | 0.03051 | 2.02425 | 3.00455 | 28.4135 | 
 1 -> | 2011.13 | 0.12067 | 0.89268 | 0.06609 | 2.22699 | 3.73647 | 71.5865 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.58 | 0.13193 | 0.92072 | 0.03470 | 1.86554 | 2.88471 | 28.4632 | 
 1 -> | 2011.12 | 0.12188 | 0.89100 | 0.06714 | 2.24706 | 3.55934 | 71.5368 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.51 | 0.13266 | 0.91880 | 0.03865 | 2.09471 | 3.00190 | 28.6764 | 
 1 -> | 2011.11 | 0.12153 | 0.89075 | 0.06557 | 2.15357 | 3.56831 | 71.3236 | 
