Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2010.80 | 9.31106 | 0.23321 | 0.99847 | 0.26480 | 3.39173 | 11.5301 | 6.17285 | 7.02912 | 21.8219 | 
 1 -> | 2005.57 | 9.12363 | 0.21037 | 0.99701 | 0.16351 | 3.38883 | 10.3968 | 6.16251 | 2.40279 | 4.90728 | 
 2 -> | 1986.00 | 10.0000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 1998.49 | 8.25620 | 0.19835 | 1.00000 | 0.06612 | 3.33884 | 12.1736 | 6.19835 | 5.11570 | 13.6281 | 
 4 -> | 1988.39 | 8.43371 | 0.13177 | 0.99960 | 0.02021 | 3.33791 | 11.2526 | 6.14390 | 4.90380 | 15.5457 | 
 5 -> | 2004.05 | 8.47110 | 0.19677 | 0.98935 | 0.03062 | 3.60738 | 10.8606 | 6.24771 | 2.16879 | 0.65326 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2007.82 | 10.0197 | 0.35786 | 1.00000 | 0.51827 | 4.08479 | 14.9150 | 6.53152 | 17.8573 | 49.4596 | 
 1 -> | 2014.05 | 10.0430 | 0.37926 | 1.00000 | 0.24593 | 3.96296 | 14.6148 | 6.48593 | 4.70667 | 10.3748 | 
 2 -> | 1986.00 | 10.0000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2004.57 | 9.81624 | 0.35897 | 1.00000 | 0.34188 | 4.31197 | 14.1410 | 6.68234 | 4.39174 | 14.9416 | 
 4 -> | 1988.78 | 9.92504 | 0.26771 | 1.00000 | 0.07166 | 3.99918 | 14.9300 | 6.52554 | 7.97199 | 28.0692 | 
 5 -> | 2006.26 | 9.76738 | 0.36564 | 0.99992 | 0.09786 | 4.26899 | 14.6260 | 6.64369 | 3.13844 | 3.30480 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2005.19 | 10.4244 | 0.61371 | 1.00000 | 0.66593 | 5.03878 | 17.4119 | 7.05002 | 30.4720 | 90.1849 | 
 1 -> | 2014.05 | 10.0430 | 0.37926 | 1.00000 | 0.24593 | 3.96296 | 14.6148 | 6.48593 | 4.70667 | 10.3748 | 
 2 -> | 1986.00 | 10.0000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 0.00000 | 0.00000 | 
 3 -> | 2013.63 | 10.3937 | 0.57474 | 1.00000 | 0.54737 | 5.27368 | 17.3579 | 7.13895 | 14.6274 | 27.8084 | 
 4 -> | 1995.85 | 10.4477 | 0.53685 | 1.00000 | 0.34543 | 4.92739 | 17.5523 | 7.04455 | 10.1755 | 33.8328 | 
 5 -> | 2006.00 | 10.3963 | 0.59175 | 1.00000 | 0.25791 | 5.10785 | 17.4412 | 7.09836 | 5.62635 | 8.04348 | 

