Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.93 | 0.11066 | 0.90241 | 0.04649 | 2.25516 | 4.00344 | 61.7301 | 
 1 -> | 1999.05 | 0.09802 | 0.93123 | 0.02512 | 1.73219 | 2.27359 | 38.2699 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.44 | 0.10860 | 0.90066 | 0.05162 | 2.33029 | 3.88853 | 64.1160 | 
 1 -> | 1995.54 | 0.10566 | 0.93249 | 0.02464 | 1.67229 | 2.36170 | 35.8840 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.39 | 0.11004 | 0.90127 | 0.05726 | 2.18358 | 3.57223 | 69.2796 | 
 1 -> | 1992.66 | 0.11072 | 0.93198 | 0.01663 | 1.80099 | 2.80585 | 30.7204 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.20 | 0.11229 | 0.89941 | 0.05960 | 2.09287 | 3.36374 | 70.9328 | 
 1 -> | 1991.80 | 0.11701 | 0.92910 | 0.01649 | 1.87469 | 2.81051 | 29.0672 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.14 | 0.11467 | 0.89824 | 0.06162 | 2.07831 | 3.29105 | 71.3605 | 
 1 -> | 1991.57 | 0.11676 | 0.92624 | 0.01914 | 1.95420 | 2.95019 | 28.6395 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.12 | 0.11281 | 0.89982 | 0.06304 | 2.10331 | 3.39384 | 71.6246 | 
 1 -> | 1991.62 | 0.11653 | 0.92505 | 0.02468 | 2.01760 | 3.13029 | 28.3754 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.13 | 0.11806 | 0.90040 | 0.06643 | 2.11846 | 3.37763 | 71.9862 | 
 1 -> | 1991.47 | 0.12018 | 0.92090 | 0.02654 | 2.06660 | 3.27715 | 28.0138 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.10 | 0.11941 | 0.89634 | 0.06936 | 2.05081 | 3.29316 | 71.7968 | 
 1 -> | 1991.39 | 0.12019 | 0.91594 | 0.02850 | 2.22542 | 3.37686 | 28.2032 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.10 | 0.12218 | 0.89523 | 0.07604 | 2.11016 | 3.24834 | 71.9116 | 
 1 -> | 1991.44 | 0.12559 | 0.91335 | 0.03178 | 2.16585 | 3.29256 | 28.0884 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.12 | 0.12418 | 0.89261 | 0.07857 | 2.17572 | 3.14535 | 72.0006 | 
 1 -> | 1991.36 | 0.12998 | 0.90958 | 0.03526 | 2.10538 | 3.15172 | 27.9994 | 
