Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1988.48 | 4.12103 | 0.19017 | 0.16167 | 0.07113 | 1.17436 | 3.30623 | 2.92711 | 0.00474 | 0.00000 | 
 1 -> | 1992.00 | 11.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 7.00000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 1995.12 | 4.24485 | 0.20670 | 0.16237 | 0.08608 | 1.28866 | 3.30722 | 3.24021 | 0.00000 | 0.00103 | 
 3 -> | 1167.36 | 3.81461 | 0.17473 | 0.17306 | 0.05952 | 1.18658 | 2.87031 | 2.92234 | 0.02029 | 0.04002 | 
 4 -> | 2006.82 | 4.25973 | 0.20003 | 0.15432 | 0.14974 | 1.07051 | 3.37180 | 2.49979 | 0.00388 | 0.00014 | 
 5 -> | 1995.19 | 4.70968 | 0.51613 | 0.12903 | 0.25806 | 1.77419 | 3.67742 | 2.90323 | 69.2258 | 69.0000 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1981.17 | 3.76154 | 0.30466 | 0.27220 | 0.14383 | 1.63737 | 2.80620 | 3.97123 | 0.00720 | 0.00000 | 
 1 -> | 1990.84 | 4.61398 | 0.29981 | 0.26628 | 0.17050 | 1.70019 | 3.10441 | 4.02874 | 0.90326 | 0.00000 | 
 2 -> | 1993.50 | 4.53152 | 0.31521 | 0.27543 | 0.17092 | 1.62707 | 2.89465 | 3.94816 | 0.05352 | 0.00000 | 
 3 -> | 0.00000 | 4.49529 | 0.29877 | 0.27919 | 0.14503 | 1.57941 | 2.90718 | 3.86875 | 0.19144 | 0.06381 | 
 4 -> | 2006.88 | 4.64193 | 0.31262 | 0.27752 | 0.19467 | 1.62792 | 3.01323 | 3.75086 | 0.03299 | 0.00000 | 
 5 -> | 1987.13 | 3.78947 | 0.31579 | 0.21053 | 0.36842 | 2.39474 | 3.05263 | 4.23684 | 90.1842 | 111.789 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1977.07 | 3.04683 | 0.42205 | 0.40472 | 0.25187 | 1.74073 | 2.39154 | 4.26838 | 0.12284 | 0.00000 | 
 1 -> | 1986.95 | 3.72086 | 0.43574 | 0.40825 | 0.26300 | 1.71967 | 2.32218 | 4.20203 | 1.04184 | 0.00000 | 
 2 -> | 1990.42 | 3.71070 | 0.43540 | 0.39229 | 0.28528 | 1.69019 | 2.45841 | 4.16537 | 0.19199 | 0.00000 | 
 3 -> | 0.00000 | 3.53636 | 0.41818 | 0.33636 | 0.28182 | 1.78788 | 2.10909 | 4.15455 | 0.27879 | 0.00000 | 
 4 -> | 2004.58 | 3.68497 | 0.43826 | 0.38993 | 0.28315 | 1.76341 | 2.52682 | 4.15562 | 0.17966 | 0.00000 | 
 5 -> | 1982.93 | 3.57143 | 0.42857 | 0.33333 | 0.50000 | 1.80952 | 1.88095 | 4.28571 | 87.9524 | 185.095 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1974.95 | 2.40389 | 0.49576 | 0.47906 | 0.38347 | 1.86940 | 2.24469 | 4.83232 | 0.15659 | 0.01144 | 
 1 -> | 1981.18 | 2.90493 | 0.52113 | 0.44366 | 0.38732 | 1.56690 | 2.27465 | 4.80634 | 28.9577 | 0.16197 | 
 2 -> | 1987.21 | 2.97519 | 0.50661 | 0.47710 | 0.39739 | 1.86230 | 2.23503 | 4.83720 | 0.82590 | 0.00000 | 
 3 -> | 0.00000 | 2.61151 | 0.54676 | 0.41727 | 0.38129 | 1.56115 | 2.08633 | 4.49640 | 0.42446 | 0.00000 | 
 4 -> | 1998.31 | 2.96563 | 0.49386 | 0.48083 | 0.38187 | 1.90538 | 2.20359 | 4.86270 | 0.51974 | 0.00000 | 
 5 -> | 1980.70 | 2.50000 | 0.43333 | 0.50000 | 0.46667 | 1.60000 | 1.73333 | 4.66667 | 60.7667 | 378.033 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1974.25 | 2.12959 | 0.49815 | 0.49427 | 0.47431 | 1.93003 | 2.15302 | 5.03407 | 0.01328 | 0.01190 | 
 1 -> | 1973.19 | 1.93952 | 0.50806 | 0.50806 | 0.46371 | 2.00000 | 2.33065 | 4.97177 | 70.0645 | 0.92742 | 
 2 -> | 1984.57 | 2.46233 | 0.49201 | 0.49467 | 0.46842 | 1.94140 | 2.15107 | 5.08562 | 3.34970 | 0.13508 | 
 3 -> | 0.00000 | 2.61957 | 0.48913 | 0.46739 | 0.44565 | 2.41304 | 1.90217 | 5.25000 | 0.00000 | 0.00000 | 
 4 -> | 1993.43 | 2.42743 | 0.50481 | 0.50866 | 0.47100 | 1.94310 | 2.12067 | 5.05498 | 1.58590 | 0.02831 | 
 5 -> | 1976.93 | 1.86207 | 0.39655 | 0.48276 | 0.46552 | 2.18966 | 2.18966 | 4.05172 | 59.9138 | 491.259 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1973.74 | 2.03242 | 0.49850 | 0.49625 | 0.50199 | 1.99767 | 2.07952 | 5.17205 | 0.05044 | 0.07451 | 
 1 -> | 1973.19 | 1.93952 | 0.50806 | 0.50806 | 0.46371 | 2.00000 | 2.33065 | 4.97177 | 70.0645 | 0.92742 | 
 2 -> | 1979.47 | 2.10768 | 0.50936 | 0.50749 | 0.50796 | 2.03792 | 2.11657 | 5.23736 | 18.3727 | 1.11985 | 
 3 -> | 0.00000 | 2.02941 | 0.50000 | 0.52941 | 0.54412 | 1.86765 | 2.25000 | 4.76471 | 3.08824 | 0.00000 | 
 4 -> | 1990.99 | 2.13958 | 0.50662 | 0.50348 | 0.49836 | 1.98859 | 2.11780 | 5.14837 | 4.60094 | 0.30723 | 
 5 -> | 1977.01 | 2.15385 | 0.56044 | 0.56044 | 0.48352 | 1.76923 | 1.82418 | 4.46154 | 58.6703 | 490.044 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1974.17 | 2.02114 | 0.50063 | 0.49807 | 0.50334 | 1.98779 | 2.04869 | 5.19800 | 0.02045 | 0.04163 | 
 1 -> | 1973.19 | 1.93952 | 0.50806 | 0.50806 | 0.46371 | 2.00000 | 2.33065 | 4.97177 | 70.0645 | 0.92742 | 
 2 -> | 1972.61 | 2.02357 | 0.46801 | 0.49832 | 0.47811 | 1.97306 | 2.09764 | 4.98316 | 25.3434 | 6.62290 | 
 3 -> | 0.00000 | 1.94737 | 0.52632 | 0.44737 | 0.50000 | 2.05263 | 1.97368 | 5.28947 | 5.15789 | 0.00000 | 
 4 -> | 1987.67 | 2.04398 | 0.49160 | 0.50420 | 0.50099 | 1.97640 | 2.07166 | 5.19459 | 17.2793 | 1.34309 | 
 5 -> | 1967.49 | 1.95122 | 0.45366 | 0.48780 | 0.48293 | 2.05366 | 2.15610 | 4.45854 | 56.2537 | 508.259 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1975.96 | 2.01052 | 0.50430 | 0.50108 | 0.49635 | 1.99356 | 2.03214 | 5.10042 | 0.06537 | 0.00511 | 
 1 -> | 1973.19 | 1.93952 | 0.50806 | 0.50806 | 0.46371 | 2.00000 | 2.33065 | 4.97177 | 70.0645 | 0.92742 | 
 2 -> | 1972.45 | 1.64286 | 0.64286 | 0.54762 | 0.30952 | 1.85714 | 2.35714 | 4.73810 | 8.97619 | 46.7857 | 
 3 -> | 0.00000 | 1.76923 | 0.51282 | 0.46154 | 0.53846 | 1.89744 | 2.28205 | 4.58974 | 10.4103 | 0.00000 | 
 4 -> | 1983.62 | 2.03953 | 0.49109 | 0.49186 | 0.50930 | 1.94554 | 2.04128 | 5.00078 | 56.1843 | 4.22209 | 
 5 -> | 1977.08 | 1.99516 | 0.48910 | 0.49637 | 0.47215 | 1.86199 | 2.02421 | 4.58838 | 60.9734 | 489.206 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1976.97 | 1.98806 | 0.50276 | 0.49617 | 0.49941 | 1.96546 | 2.00210 | 4.75234 | 0.69186 | 0.00381 | 
 1 -> | 1973.19 | 1.93952 | 0.50806 | 0.50806 | 0.46371 | 2.00000 | 2.33065 | 4.97177 | 70.0645 | 0.92742 | 
 2 -> | 1977.53 | 2.10656 | 0.43443 | 0.49180 | 0.53279 | 1.83607 | 1.93443 | 4.43443 | 3.66393 | 126.377 | 
 3 -> | 0.00000 | 1.52632 | 0.39474 | 0.44737 | 0.55263 | 2.13158 | 2.21053 | 4.86842 | 18.4211 | 9.68421 | 
 4 -> | 1976.95 | 2.00497 | 0.50171 | 0.49315 | 0.49897 | 1.94366 | 1.99229 | 4.74606 | 91.5248 | 6.08048 | 
 5 -> | 1977.09 | 1.99873 | 0.49746 | 0.50000 | 0.50254 | 2.03053 | 1.97328 | 4.45547 | 66.4237 | 497.246 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
