Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2010.78 | 5.80402 | 0.17269 | 0.16145 | 0.05703 | 2.64659 | 15.8876 | 5.62088 | 2.48032 | 2.61687 | 20.5649 | 
 1 -> | 2007.40 | 5.71901 | 0.18182 | 0.09917 | 0.16529 | 2.77686 | 15.5000 | 5.77273 | 9.64050 | 36.7810 | 3.99736 | 
 2 -> | 2005.50 | 5.75000 | 0.25000 | 0.75000 | 0.00000 | 2.00000 | 11.5000 | 5.25000 | 2.00000 | 0.00000 | 0.06607 | 
 3 -> | 2012.48 | 5.81068 | 0.16546 | 0.18154 | 0.11100 | 2.73911 | 3.80861 | 5.68828 | 3.19035 | 5.15820 | 31.8467 | 
 4 -> | 2006.65 | 5.76113 | 0.12955 | 0.11134 | 0.13968 | 2.76113 | 3.31377 | 5.65789 | 2.95951 | 4.89879 | 8.15989 | 
 5 -> | 1991.93 | 5.76740 | 0.13685 | 0.13031 | 0.06212 | 2.65530 | 6.77767 | 5.58758 | 4.18496 | 5.66745 | 35.3650 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2011.61 | 5.80625 | 0.30179 | 0.26071 | 0.12679 | 2.64018 | 15.8884 | 5.63214 | 4.43661 | 4.84464 | 18.5185 | 
 1 -> | 2010.03 | 5.68852 | 0.16393 | 0.14754 | 0.14754 | 3.06557 | 18.1148 | 5.73770 | 6.88525 | 29.8852 | 1.00860 | 
 2 -> | 2005.49 | 5.76087 | 0.20109 | 0.26087 | 0.07065 | 2.47826 | 13.7174 | 5.54348 | 3.61957 | 1.71196 | 3.04233 | 
 3 -> | 2013.67 | 5.76364 | 0.32727 | 0.35455 | 0.12727 | 2.80000 | 10.8455 | 5.78182 | 5.30909 | 13.1273 | 1.81878 | 
 4 -> | 2011.45 | 5.78920 | 0.27361 | 0.26921 | 0.18314 | 2.71893 | 3.66579 | 5.65744 | 4.56917 | 7.31752 | 37.6488 | 
 5 -> | 1993.48 | 5.77308 | 0.24652 | 0.22256 | 0.15200 | 2.67726 | 6.97213 | 5.63415 | 7.00305 | 15.1895 | 37.9630 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2012.24 | 5.77761 | 0.38806 | 0.41493 | 0.25821 | 2.63582 | 15.9134 | 5.66418 | 6.21940 | 4.41194 | 11.0780 | 
 1 -> | 2010.03 | 5.68852 | 0.16393 | 0.14754 | 0.14754 | 3.06557 | 18.1148 | 5.73770 | 6.88525 | 29.8852 | 0.00000 | 
 2 -> | 2005.54 | 5.81696 | 0.35268 | 0.42857 | 0.16518 | 2.54018 | 14.8795 | 5.56696 | 4.87500 | 3.24107 | 3.70370 | 
 3 -> | 2011.90 | 5.84308 | 0.42462 | 0.40923 | 0.30462 | 2.56308 | 15.5446 | 5.65231 | 8.65846 | 16.3262 | 5.37368 | 
 4 -> | 2011.38 | 5.77614 | 0.40549 | 0.38543 | 0.26294 | 2.64678 | 3.52957 | 5.66156 | 5.77983 | 5.72967 | 31.3161 | 
 5 -> | 1997.35 | 5.77683 | 0.39148 | 0.37649 | 0.28007 | 2.67564 | 7.13220 | 5.63918 | 10.2678 | 25.2988 | 48.5284 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2012.98 | 5.81186 | 0.43814 | 0.48711 | 0.41237 | 2.55412 | 15.5180 | 5.63144 | 9.07216 | 4.48454 | 6.41534 | 
 1 -> | 2010.03 | 5.68852 | 0.16393 | 0.14754 | 0.14754 | 3.06557 | 18.1148 | 5.73770 | 6.88525 | 29.8852 | 0.00000 | 
 2 -> | 1999.94 | 5.73490 | 0.47315 | 0.49329 | 0.33557 | 2.66107 | 15.5570 | 5.62081 | 6.87919 | 4.18792 | 4.92725 | 
 3 -> | 2010.99 | 5.73939 | 0.44545 | 0.47576 | 0.35152 | 2.53939 | 15.7848 | 5.61515 | 11.7545 | 14.0909 | 5.45635 | 
 4 -> | 2010.33 | 5.79513 | 0.46863 | 0.45647 | 0.39693 | 2.64725 | 3.56722 | 5.62804 | 8.56146 | 6.34379 | 25.8267 | 
 5 -> | 2000.76 | 5.79539 | 0.47262 | 0.47320 | 0.40259 | 2.66484 | 7.26772 | 5.66513 | 13.5378 | 35.3905 | 57.3743 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2011.87 | 5.79221 | 0.51082 | 0.50216 | 0.39827 | 2.63203 | 15.0606 | 5.62771 | 10.1126 | 4.28571 | 3.81944 | 
 1 -> | 2010.03 | 5.68852 | 0.16393 | 0.14754 | 0.14754 | 3.06557 | 18.1148 | 5.73770 | 6.88525 | 29.8852 | 0.00000 | 
 2 -> | 2000.22 | 5.78378 | 0.43243 | 0.50000 | 0.40541 | 2.70270 | 15.8919 | 5.62162 | 6.29730 | 4.06757 | 1.22354 | 
 3 -> | 2007.66 | 5.82340 | 0.51876 | 0.45254 | 0.49007 | 2.72848 | 16.1589 | 5.65342 | 16.9845 | 13.2605 | 7.49008 | 
 4 -> | 2005.92 | 5.76918 | 0.51821 | 0.48895 | 0.47724 | 2.61899 | 3.99090 | 5.62614 | 12.8277 | 7.98570 | 25.4299 | 
 5 -> | 2003.18 | 5.79184 | 0.49867 | 0.51119 | 0.48667 | 2.61354 | 7.53038 | 5.66311 | 17.4550 | 48.8598 | 62.0370 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
