Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2007.18 | 0.09190 | 0.92258 | 0.07839 | 1.45369 | 2.95417 | 11.8981 | 
 1 -> | 2012.05 | 0.13793 | 0.98276 | 0.63793 | 14.5862 | 26.1379 | 0.16645 | 
 2 -> | 2013.05 | 0.03738 | 0.93458 | 0.28972 | 17.1682 | 14.4953 | 0.30707 | 
 3 -> | 1992.23 | 0.07799 | 0.92894 | 0.04050 | 3.88453 | 8.66850 | 16.1539 | 
 4 -> | 2013.32 | 0.10461 | 0.88366 | 0.05071 | 1.36404 | 1.47808 | 22.5220 | 
 5 -> | 2006.45 | 0.12188 | 0.91552 | 0.02351 | 1.74188 | 2.43792 | 48.9525 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2006.16 | 0.10160 | 0.91436 | 0.05395 | 1.23992 | 2.00126 | 13.6739 | 
 1 -> | 2008.27 | 0.72727 | 1.00000 | 0.00000 | 0.90909 | 19.6364 | 0.03157 | 
 2 -> | 2010.82 | 0.07308 | 0.98077 | 0.51538 | 10.2154 | 20.4346 | 0.74627 | 
 3 -> | 1991.55 | 0.07552 | 0.92308 | 0.04459 | 3.59128 | 7.31432 | 14.2910 | 
 4 -> | 2013.38 | 0.10563 | 0.87783 | 0.05477 | 1.32970 | 1.39021 | 30.0258 | 
 5 -> | 2004.76 | 0.12837 | 0.91960 | 0.02597 | 2.17926 | 3.70804 | 41.2313 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2005.79 | 0.12846 | 0.91339 | 0.04435 | 1.21861 | 1.40350 | 13.7859 | 
 1 -> | 2006.64 | 0.10169 | 0.89831 | 0.11864 | 1.15254 | 12.1864 | 0.16935 | 
 2 -> | 2007.87 | 0.06566 | 0.95455 | 0.42929 | 6.25253 | 19.1212 | 0.56831 | 
 3 -> | 1990.81 | 0.08283 | 0.91947 | 0.03221 | 2.52939 | 2.77933 | 13.7227 | 
 4 -> | 2013.35 | 0.11709 | 0.88246 | 0.06640 | 1.42725 | 1.77541 | 31.4265 | 
 5 -> | 2004.46 | 0.12655 | 0.91907 | 0.03381 | 2.69110 | 5.36605 | 40.3272 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
