Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1999.91 | 0.10570 | 0.92794 | 0.03216 | 1.49169 | 0.73953 | 50.4205 | 
 1 -> | 2006.35 | 0.09894 | 0.91451 | 0.03682 | 4.55812 | 6.69228 | 8.96306 | 
 2 -> | 2013.14 | 0.10889 | 0.87797 | 0.04911 | 2.09631 | 5.86935 | 40.6165 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1994.17 | 0.10401 | 0.92826 | 0.01982 | 1.26962 | 1.26536 | 32.2876 | 
 1 -> | 2004.65 | 0.11331 | 0.92417 | 0.06894 | 3.29858 | 4.39897 | 6.66188 | 
 2 -> | 2012.14 | 0.10865 | 0.88759 | 0.05294 | 2.20019 | 4.15787 | 61.0505 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.52 | 0.09819 | 0.92128 | 0.01517 | 1.44937 | 1.86520 | 26.1051 | 
 1 -> | 1999.89 | 0.14613 | 0.92523 | 0.02464 | 3.34070 | 6.12914 | 3.37830 | 
 2 -> | 2011.39 | 0.11275 | 0.89124 | 0.05764 | 2.14478 | 3.64596 | 70.5166 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1990.48 | 0.09006 | 0.91644 | 0.01533 | 1.35517 | 1.41923 | 22.0867 | 
 1 -> | 1996.64 | 0.15808 | 0.90422 | 0.02884 | 3.76571 | 7.97065 | 5.57405 | 
 2 -> | 2011.17 | 0.11511 | 0.89085 | 0.05888 | 2.10971 | 3.54537 | 72.3393 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1990.36 | 0.09562 | 0.91652 | 0.01746 | 1.21348 | 1.05033 | 21.0419 | 
 1 -> | 1994.83 | 0.15284 | 0.90498 | 0.02966 | 4.03620 | 8.07340 | 5.70896 | 
 2 -> | 2011.05 | 0.11368 | 0.88774 | 0.06246 | 2.06658 | 3.53742 | 73.2491 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1990.24 | 0.09682 | 0.91561 | 0.02472 | 1.09491 | 0.87191 | 21.0189 | 
 1 -> | 1994.26 | 0.15250 | 0.90157 | 0.02819 | 3.55268 | 7.31285 | 6.21125 | 
 2 -> | 2011.06 | 0.11565 | 0.88704 | 0.06867 | 2.11675 | 3.61026 | 72.7698 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1990.01 | 0.08947 | 0.91255 | 0.03055 | 1.09715 | 0.88244 | 19.8249 | 
 1 -> | 1993.64 | 0.13437 | 0.90497 | 0.04380 | 3.18226 | 6.61284 | 7.73249 | 
 2 -> | 2011.04 | 0.11898 | 0.88641 | 0.06898 | 2.10218 | 3.62281 | 72.4426 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1989.97 | 0.09935 | 0.90787 | 0.03423 | 1.10774 | 0.96342 | 17.1039 | 
 1 -> | 1992.89 | 0.12683 | 0.90033 | 0.03802 | 2.63824 | 4.64367 | 10.5683 | 
 2 -> | 2011.00 | 0.12092 | 0.88500 | 0.07004 | 2.02603 | 3.45482 | 72.3278 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1990.63 | 0.10570 | 0.90084 | 0.03629 | 1.26814 | 1.31266 | 13.6051 | 
 1 -> | 1991.23 | 0.10876 | 0.89994 | 0.03605 | 2.30516 | 3.56764 | 13.8548 | 
 2 -> | 2010.95 | 0.12464 | 0.88145 | 0.07538 | 1.98888 | 3.41902 | 72.5402 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.62 | 0.11724 | 0.89491 | 0.04320 | 1.48222 | 2.02543 | 12.7555 | 
 1 -> | 1990.31 | 0.09829 | 0.89502 | 0.04058 | 1.94544 | 2.67776 | 14.5723 | 
 2 -> | 2010.91 | 0.12516 | 0.87989 | 0.07816 | 1.97867 | 3.22169 | 72.6722 | 
