Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2001.52 | 5.71776 | 0.10262 | 0.92638 | 0.02829 | 2.84989 | 4.73808 | 5.69764 | 1.73011 | 2.09282 | 28.1037 | 
 1 -> | 2014.00 | 6.00000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 2.00000 | 6.00000 | 0.00000 | 0.00000 | 0.00287 | 
 2 -> | 1989.36 | 5.66840 | 0.09852 | 0.94621 | 0.00308 | 2.66512 | 11.9333 | 5.76981 | 2.67515 | 2.30962 | 14.8855 | 
 3 -> | 2008.10 | 5.79135 | 0.14568 | 0.94267 | 0.01316 | 4.02444 | 13.4126 | 6.21711 | 0.62970 | 0.86372 | 3.05344 | 
 4 -> | 2006.31 | 5.86561 | 0.12139 | 0.97616 | 0.27962 | 2.92124 | 8.82803 | 5.93353 | 9.87861 | 38.3967 | 3.97176 | 
 5 -> | 2012.96 | 5.83252 | 0.10117 | 0.88701 | 0.03910 | 2.69432 | 8.45651 | 5.64598 | 1.56898 | 1.56600 | 49.9828 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2001.23 | 5.75657 | 0.10956 | 0.92114 | 0.05279 | 2.78087 | 3.08836 | 5.66711 | 1.99293 | 2.62249 | 12.9937 | 
 1 -> | 2008.22 | 5.83099 | 0.08920 | 0.88576 | 0.02034 | 3.19092 | 1.69327 | 5.86385 | 0.53834 | 0.93427 | 1.83410 | 
 2 -> | 1989.23 | 5.67082 | 0.07518 | 0.94470 | 0.00728 | 2.55036 | 8.71803 | 5.64931 | 2.93953 | 1.67858 | 17.7526 | 
 3 -> | 1998.50 | 5.70775 | 0.19549 | 0.95162 | 0.00994 | 2.92247 | 16.9019 | 5.91252 | 1.18290 | 1.78330 | 4.33123 | 
 4 -> | 1999.05 | 5.83894 | 0.09856 | 0.99159 | 0.24038 | 2.91106 | 9.50120 | 5.91346 | 15.0733 | 50.9748 | 2.38806 | 
 5 -> | 2012.11 | 5.81568 | 0.10890 | 0.89384 | 0.04558 | 2.83474 | 8.59117 | 5.70839 | 1.44453 | 2.09594 | 60.7003 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1999.94 | 5.80954 | 0.12638 | 0.89712 | 0.05304 | 2.74226 | 3.09897 | 5.68530 | 2.44607 | 3.78925 | 8.06257 | 
 1 -> | 2006.91 | 5.81907 | 0.07520 | 0.94387 | 0.05777 | 2.76621 | 2.24033 | 5.61798 | 1.16458 | 1.57766 | 5.26693 | 
 2 -> | 1988.72 | 5.60568 | 0.05003 | 0.91231 | 0.01574 | 2.55143 | 2.93058 | 5.53429 | 2.60568 | 1.44210 | 10.2124 | 
 3 -> | 1991.90 | 5.73080 | 0.14940 | 0.95698 | 0.01203 | 2.72155 | 15.4651 | 5.84366 | 2.48566 | 2.31499 | 12.4110 | 
 4 -> | 1997.73 | 5.84262 | 0.10656 | 0.98852 | 0.24262 | 2.87213 | 9.59016 | 5.93770 | 19.1984 | 59.7918 | 1.75086 | 
 5 -> | 2011.89 | 5.81262 | 0.11026 | 0.89117 | 0.05183 | 2.85330 | 8.70300 | 5.71770 | 1.43434 | 2.13011 | 62.2962 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1999.40 | 5.79480 | 0.12631 | 0.89047 | 0.07008 | 2.79438 | 3.50525 | 5.69828 | 2.77465 | 5.63282 | 6.83984 | 
 1 -> | 2005.66 | 5.80099 | 0.09023 | 0.93263 | 0.08344 | 2.64400 | 2.48455 | 5.59023 | 1.57973 | 2.27441 | 4.64409 | 
 2 -> | 1990.05 | 5.66507 | 0.06582 | 0.91978 | 0.02194 | 2.54097 | 2.52691 | 5.50429 | 2.60747 | 1.30819 | 8.37256 | 
 3 -> | 1990.51 | 5.70997 | 0.13801 | 0.93998 | 0.01224 | 2.70701 | 13.7953 | 5.83258 | 2.55459 | 2.14472 | 14.5379 | 
 4 -> | 1999.83 | 5.87175 | 0.12013 | 0.98701 | 0.31331 | 2.84578 | 10.1526 | 5.96753 | 24.2273 | 68.0617 | 1.76808 | 
 5 -> | 2011.77 | 5.81849 | 0.11070 | 0.89272 | 0.05013 | 2.85747 | 8.46118 | 5.71364 | 1.27382 | 1.76979 | 63.8375 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2000.51 | 5.82285 | 0.12850 | 0.93125 | 0.13009 | 2.90746 | 5.00159 | 5.75516 | 4.38604 | 11.2819 | 5.42767 | 
 1 -> | 2004.37 | 5.75303 | 0.15007 | 0.93136 | 0.09017 | 2.70861 | 2.62315 | 5.65612 | 1.58412 | 2.47847 | 4.26521 | 
 2 -> | 1991.67 | 5.69795 | 0.06806 | 0.90658 | 0.02313 | 2.58897 | 2.32963 | 5.58407 | 2.57206 | 1.31762 | 6.45235 | 
 3 -> | 1989.90 | 5.69012 | 0.12276 | 0.92657 | 0.01989 | 2.64467 | 12.0961 | 5.74899 | 2.54003 | 1.70451 | 17.7468 | 
 4 -> | 2000.65 | 5.85610 | 0.12022 | 0.97996 | 0.33880 | 2.86157 | 9.91621 | 5.96721 | 27.5519 | 78.9526 | 1.57577 | 
 5 -> | 2011.63 | 5.82596 | 0.11222 | 0.89058 | 0.05017 | 2.85763 | 8.32700 | 5.71369 | 1.19797 | 1.48797 | 64.5321 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2002.74 | 5.87513 | 0.16238 | 0.97379 | 0.19476 | 2.87564 | 8.04008 | 5.90082 | 7.78006 | 20.0123 | 5.58553 | 
 1 -> | 2004.25 | 5.73267 | 0.08663 | 0.96535 | 0.14356 | 2.67327 | 3.00743 | 5.77228 | 2.88861 | 5.35891 | 1.15959 | 
 2 -> | 1997.90 | 5.74653 | 0.13493 | 0.88777 | 0.04540 | 2.70366 | 2.41236 | 5.45271 | 2.60277 | 1.96469 | 2.27612 | 
 3 -> | 1990.06 | 5.68368 | 0.09950 | 0.91989 | 0.02274 | 2.65422 | 9.06267 | 5.72102 | 2.36413 | 1.10970 | 22.2130 | 
 4 -> | 2000.87 | 5.85604 | 0.12082 | 0.97172 | 0.40617 | 2.87918 | 10.7172 | 5.99486 | 32.1825 | 96.9100 | 1.11653 | 
 5 -> | 2011.12 | 5.81569 | 0.11859 | 0.88930 | 0.04875 | 2.84929 | 8.14854 | 5.70707 | 1.09809 | 1.19004 | 67.6493 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2002.03 | 5.84692 | 0.15832 | 0.97555 | 0.21769 | 2.93248 | 9.98545 | 5.92026 | 9.30559 | 24.7910 | 4.93111 | 
 1 -> | 2006.96 | 5.60000 | 0.28000 | 0.95333 | 0.16000 | 2.97333 | 2.87333 | 5.88000 | 2.36000 | 13.4667 | 0.43054 | 
 2 -> | 2000.57 | 6.17460 | 0.23810 | 0.85714 | 0.25397 | 2.58730 | 4.26984 | 5.76190 | 10.3651 | 8.36508 | 0.18083 | 
 3 -> | 1985.62 | 5.68452 | 0.05556 | 0.95172 | 0.04034 | 2.49735 | 8.66799 | 5.59061 | 5.92130 | 4.62500 | 4.33984 | 
 4 -> | 2001.57 | 5.84314 | 0.11373 | 0.98039 | 0.49412 | 2.91765 | 10.4471 | 6.03137 | 36.3765 | 108.204 | 0.73192 | 
 5 -> | 2006.59 | 5.78752 | 0.11987 | 0.89259 | 0.04730 | 2.81340 | 8.06133 | 5.70866 | 1.21604 | 1.10593 | 89.3858 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2001.38 | 5.79827 | 0.13593 | 0.97316 | 0.25887 | 2.93247 | 10.5498 | 5.98442 | 9.50390 | 32.0364 | 3.31515 | 
 1 -> | 2008.00 | 5.90530 | 0.19697 | 0.95076 | 0.17045 | 2.92424 | 7.04167 | 5.90152 | 2.79167 | 18.3182 | 0.75775 | 
 2 -> | 2003.68 | 5.89637 | 0.25907 | 1.00000 | 0.19689 | 2.73057 | 4.60104 | 5.72539 | 18.3420 | 14.2073 | 0.55396 | 
 3 -> | 1987.65 | 5.79156 | 0.03166 | 0.96570 | 0.00792 | 2.92876 | 12.4591 | 5.71240 | 7.92876 | 13.5937 | 1.08783 | 
 4 -> | 2002.65 | 5.90659 | 0.09341 | 0.97802 | 0.45604 | 2.89011 | 11.0330 | 6.01648 | 49.6923 | 128.242 | 0.52239 | 
 5 -> | 2005.67 | 5.78455 | 0.11865 | 0.89154 | 0.05314 | 2.80145 | 8.06833 | 5.70805 | 1.42808 | 1.31662 | 93.7629 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 2001.07 | 5.83580 | 0.14349 | 0.96598 | 0.31657 | 2.94970 | 9.48817 | 5.95414 | 10.9734 | 43.5207 | 1.94030 | 
