Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2011.01 | 7.68327 | 1.00000 | 0.92364 | 0.01195 | 3.25564 | 9.13546 | 6.09230 | 0.20717 | 1.38181 | 
 1 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 3.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2002.00 | 6.50000 | 0.87500 | 1.00000 | 0.00000 | 3.00000 | 8.25000 | 6.00000 | 0.62500 | 35.0000 | 
 3 -> | 2011.08 | 8.57273 | 0.99848 | 0.99242 | 0.28636 | 2.74545 | 8.36364 | 5.75606 | 10.8955 | 26.8182 | 
 4 -> | 1987.20 | 5.00194 | 0.99935 | 0.90194 | 0.00000 | 3.94581 | 9.19935 | 6.56129 | 0.17355 | 0.12000 | 
 5 -> | 1999.71 | 7.14999 | 0.00000 | 0.90884 | 0.04479 | 2.79706 | 7.29879 | 5.76422 | 2.24648 | 3.96620 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2012.00 | 7.90445 | 0.11348 | 0.91325 | 0.05017 | 2.85706 | 7.82754 | 5.76326 | 1.23694 | 1.83492 | 
 1 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 3.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2002.00 | 6.50000 | 0.87500 | 1.00000 | 0.00000 | 3.00000 | 8.25000 | 6.00000 | 0.62500 | 35.0000 | 
 3 -> | 2013.96 | 8.77740 | 0.22603 | 0.99315 | 0.29795 | 2.83562 | 8.66781 | 5.89041 | 8.25342 | 21.3459 | 
 4 -> | 1987.20 | 5.00194 | 0.99935 | 0.90194 | 0.00000 | 3.94581 | 9.19935 | 6.56129 | 0.17355 | 0.12000 | 
 5 -> | 1990.11 | 6.46016 | 0.10088 | 0.90561 | 0.04078 | 2.86410 | 7.10502 | 5.84776 | 3.17846 | 5.97084 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2011.00 | 7.87643 | 0.11492 | 0.91602 | 0.05116 | 2.87643 | 7.74799 | 5.76226 | 1.35466 | 1.78621 | 
 1 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 3.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2002.00 | 6.50000 | 0.87500 | 1.00000 | 0.00000 | 3.00000 | 8.25000 | 6.00000 | 0.62500 | 35.0000 | 
 3 -> | 2010.34 | 8.47285 | 0.15400 | 0.99210 | 0.35044 | 2.90918 | 8.71964 | 5.94077 | 8.18756 | 20.6209 | 
 4 -> | 1987.20 | 5.00194 | 0.99935 | 0.90194 | 0.00000 | 3.94581 | 9.19935 | 6.56129 | 0.17355 | 0.12000 | 
 5 -> | 1987.63 | 6.22624 | 0.09675 | 0.90093 | 0.02400 | 2.84742 | 7.09083 | 5.84431 | 3.15630 | 5.96115 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2011.08 | 7.88323 | 0.11671 | 0.91623 | 0.04950 | 2.86863 | 7.82286 | 5.75438 | 1.37130 | 1.75369 | 
 1 -> | 1970.00 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 3.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2002.00 | 6.50000 | 0.87500 | 1.00000 | 0.00000 | 3.00000 | 8.25000 | 6.00000 | 0.62500 | 35.0000 | 
 3 -> | 2009.38 | 8.53566 | 0.14580 | 0.99049 | 0.36133 | 2.91759 | 8.49525 | 5.95642 | 8.94770 | 21.5404 | 
