Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2005.17 | 0.14999 | 0.91115 | 0.03606 | 0.99069 | 1.48579 | 12.0171 | 
 1 -> | 2002.05 | 0.09259 | 0.90741 | 0.04167 | 9.12963 | 40.4259 | 0.61994 | 
 2 -> | 2005.95 | 0.09997 | 0.90969 | 0.04044 | 2.16574 | 3.38089 | 87.3630 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2005.41 | 0.11831 | 0.90905 | 0.03750 | 1.30437 | 1.33979 | 34.5255 | 
 1 -> | 2000.41 | 0.11200 | 0.90400 | 0.04800 | 7.20800 | 29.5200 | 0.35880 | 
 2 -> | 2006.02 | 0.10328 | 0.90633 | 0.04554 | 2.44726 | 4.32303 | 65.1157 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2005.59 | 0.11473 | 0.90881 | 0.04648 | 1.45042 | 1.42649 | 37.4286 | 
 1 -> | 1999.52 | 0.13125 | 0.91875 | 0.04375 | 5.60625 | 21.4406 | 0.91856 | 
 2 -> | 2005.90 | 0.10876 | 0.90246 | 0.04540 | 2.36367 | 4.23564 | 61.6528 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2005.85 | 0.11477 | 0.90216 | 0.04962 | 1.39908 | 1.19162 | 36.7924 | 
 1 -> | 2000.21 | 0.12164 | 0.89816 | 0.03960 | 5.19943 | 17.7440 | 2.02951 | 
 2 -> | 2005.75 | 0.11210 | 0.90273 | 0.04800 | 2.33127 | 4.14644 | 61.1781 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2006.11 | 0.11847 | 0.89936 | 0.05044 | 1.30344 | 1.04412 | 35.9122 | 
 1 -> | 1999.53 | 0.13975 | 0.90062 | 0.03830 | 5.21843 | 14.6781 | 2.77307 | 
 2 -> | 2005.61 | 0.11349 | 0.90032 | 0.05150 | 2.34402 | 4.16752 | 61.3148 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2006.89 | 0.12552 | 0.89502 | 0.05291 | 1.20946 | 0.98667 | 34.2367 | 
 1 -> | 1995.14 | 0.09960 | 0.91790 | 0.04172 | 4.39233 | 9.58546 | 4.26595 | 
 2 -> | 2005.57 | 0.11428 | 0.89669 | 0.05434 | 2.34838 | 4.18108 | 61.4974 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2010.64 | 0.12445 | 0.88187 | 0.06388 | 1.27244 | 1.46359 | 29.5266 | 
 1 -> | 1991.86 | 0.12315 | 0.90815 | 0.03337 | 2.11429 | 2.98553 | 9.72067 | 
 2 -> | 2005.26 | 0.11686 | 0.89817 | 0.05519 | 2.40072 | 4.23608 | 60.7527 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.27 | 0.11917 | 0.88235 | 0.06862 | 1.44941 | 2.02745 | 30.3313 | 
 1 -> | 1994.66 | 0.16678 | 0.91056 | 0.04304 | 1.02286 | 1.14324 | 4.26906 | 
 2 -> | 2003.53 | 0.11923 | 0.89574 | 0.05356 | 2.39074 | 4.06431 | 65.3996 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.75 | 0.12291 | 0.87966 | 0.06535 | 1.48898 | 2.15213 | 32.4223 | 
 1 -> | 1998.01 | 0.16599 | 0.89204 | 0.03374 | 0.82996 | 1.14845 | 2.12742 | 
 2 -> | 2002.57 | 0.12151 | 0.89472 | 0.05786 | 2.37005 | 3.98105 | 65.4503 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.49 | 0.12592 | 0.87352 | 0.07112 | 1.48493 | 2.09126 | 41.3379 | 
 1 -> | 2001.64 | 0.16396 | 0.89808 | 0.05318 | 0.77843 | 1.16248 | 1.94373 | 
 2 -> | 2000.38 | 0.12331 | 0.89689 | 0.05629 | 2.51668 | 4.30595 | 56.7183 | 
