Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.98 | 0.10372 | 0.89708 | 0.05146 | 1.82499 | 2.98712 | 64.4165 | 
 1 -> | 2005.64 | 0.11481 | 0.96148 | 0.05407 | 2.48963 | 5.70074 | 3.87463 | 
 2 -> | 1993.34 | 0.10907 | 0.93021 | 0.01439 | 2.48072 | 3.91139 | 31.7089 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.33 | 0.10790 | 0.88886 | 0.05245 | 1.24382 | 1.21706 | 56.6393 | 
 1 -> | 2007.33 | 0.10377 | 0.93935 | 0.06025 | 3.94540 | 9.40238 | 14.2459 | 
 2 -> | 1992.41 | 0.11249 | 0.93010 | 0.01587 | 2.73085 | 4.70275 | 29.1148 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.56 | 0.11061 | 0.89433 | 0.05632 | 1.10224 | 0.90759 | 61.0098 | 
 1 -> | 2009.64 | 0.10805 | 0.91001 | 0.06152 | 5.31099 | 11.1641 | 9.37796 | 
 2 -> | 1992.68 | 0.11361 | 0.92652 | 0.02007 | 3.04595 | 6.02171 | 29.6122 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.22 | 0.11425 | 0.89365 | 0.05986 | 1.09267 | 0.94240 | 63.5923 | 
 1 -> | 2011.07 | 0.11059 | 0.89576 | 0.06483 | 6.11398 | 12.1013 | 6.77460 | 
 2 -> | 1992.71 | 0.11392 | 0.92318 | 0.02276 | 3.24082 | 6.63625 | 29.6331 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.10 | 0.11616 | 0.89033 | 0.06363 | 1.10838 | 0.97107 | 64.6017 | 
 1 -> | 2011.58 | 0.11896 | 0.90329 | 0.05754 | 6.24226 | 12.8424 | 5.93656 | 
 2 -> | 1992.65 | 0.11878 | 0.92108 | 0.02796 | 3.31579 | 6.79782 | 29.4617 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.07 | 0.11958 | 0.88718 | 0.06454 | 1.12038 | 0.97741 | 64.9366 | 
 1 -> | 2011.74 | 0.10288 | 0.89095 | 0.06790 | 6.38220 | 13.3997 | 5.58075 | 
 2 -> | 1992.57 | 0.12191 | 0.91831 | 0.03106 | 3.27264 | 6.83389 | 29.4827 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.04 | 0.12009 | 0.88588 | 0.06765 | 1.13168 | 0.98611 | 64.8810 | 
 1 -> | 2011.83 | 0.11969 | 0.87315 | 0.07059 | 6.24143 | 13.8598 | 5.61249 | 
 2 -> | 1992.46 | 0.12220 | 0.91603 | 0.03318 | 3.28507 | 6.82341 | 29.5065 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.03 | 0.12273 | 0.88167 | 0.07039 | 1.16874 | 0.99780 | 65.2159 | 
 1 -> | 2011.80 | 0.10827 | 0.89013 | 0.08427 | 6.36533 | 14.1189 | 5.38298 | 
 2 -> | 1992.37 | 0.12450 | 0.91368 | 0.03310 | 3.19129 | 6.80988 | 29.4011 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.03 | 0.12157 | 0.87980 | 0.07494 | 1.15635 | 1.00330 | 65.2063 | 
 1 -> | 2011.75 | 0.14458 | 0.87295 | 0.06791 | 6.49945 | 14.2990 | 5.24246 | 
 2 -> | 1992.31 | 0.12815 | 0.91130 | 0.03847 | 3.20402 | 6.76508 | 29.5513 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.01 | 0.12539 | 0.87813 | 0.07781 | 1.17402 | 1.01241 | 65.2340 | 
 1 -> | 2011.83 | 0.13534 | 0.87452 | 0.07616 | 6.68658 | 14.5786 | 5.23974 | 
 2 -> | 1992.24 | 0.13108 | 0.90714 | 0.03987 | 3.16200 | 6.80961 | 29.5263 | 
