Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.53 | 0.09385 | 0.96403 | 0.02613 | 4.35752 | 1.56833 | 14.2800 | 
 1 -> | 2013.03 | 0.13799 | 0.84244 | 0.01281 | 0.50894 | 1.00870 | 11.8751 | 
 2 -> | 1999.49 | 0.11644 | 0.99658 | 0.08562 | 17.9075 | 28.0274 | 0.83797 | 
 3 -> | 2016.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.50000 | 0.00574 | 
 4 -> | 2009.44 | 0.11230 | 0.98365 | 0.20753 | 10.5068 | 33.9829 | 4.03777 | 
 5 -> | 2004.63 | 0.10395 | 0.90375 | 0.03774 | 1.22171 | 2.37073 | 68.9634 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1997.84 | 0.14006 | 0.95331 | 0.01678 | 2.26184 | 1.98289 | 17.2761 | 
 1 -> | 2010.44 | 0.10632 | 0.89861 | 0.01911 | 0.80462 | 1.31341 | 9.31401 | 
 2 -> | 1993.12 | 0.04348 | 1.00000 | 0.08075 | 25.3789 | 10.9255 | 0.46211 | 
 3 -> | 2013.95 | 0.11608 | 0.85497 | 0.01930 | 0.68480 | 1.15906 | 9.81630 | 
 4 -> | 2001.18 | 0.11685 | 0.99457 | 0.16576 | 22.1005 | 44.4008 | 2.11251 | 
 5 -> | 2006.08 | 0.09676 | 0.89590 | 0.05682 | 1.70210 | 3.26568 | 61.0189 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.29 | 0.10846 | 0.93149 | 0.00912 | 1.72650 | 2.00711 | 21.4093 | 
 1 -> | 2005.16 | 0.10784 | 0.95425 | 0.00327 | 1.31699 | 3.22549 | 0.87830 | 
 2 -> | 1990.74 | 0.04331 | 0.98819 | 0.07480 | 23.0827 | 6.28346 | 0.72905 | 
 3 -> | 2009.84 | 0.11835 | 0.89624 | 0.02243 | 1.00730 | 1.07782 | 10.6228 | 
 4 -> | 1993.56 | 0.10313 | 1.00000 | 0.06250 | 18.9563 | 41.4281 | 0.91848 | 
 5 -> | 2010.05 | 0.10737 | 0.89026 | 0.06197 | 1.81838 | 3.56193 | 65.4420 | 

