Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2005.08 | 0.13022 | 0.92408 | 0.02374 | 2.28758 | 4.34936 | 37.9542 | 
 1 -> | 2006.26 | 0.09090 | 0.90281 | 0.04936 | 1.87774 | 2.67333 | 62.0458 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.86 | 0.13353 | 0.92291 | 0.02940 | 2.35671 | 4.52481 | 40.0230 | 
 1 -> | 2006.17 | 0.09691 | 0.89835 | 0.04982 | 1.75761 | 2.30020 | 59.9770 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.74 | 0.13756 | 0.92356 | 0.03532 | 2.57308 | 4.96382 | 40.0631 | 
 1 -> | 2006.04 | 0.09884 | 0.89393 | 0.04995 | 1.73149 | 2.06072 | 59.9369 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.75 | 0.13620 | 0.92016 | 0.03847 | 2.67601 | 5.10674 | 40.4420 | 
 1 -> | 2005.91 | 0.09995 | 0.89422 | 0.05036 | 1.66573 | 1.91961 | 59.5580 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.65 | 0.13940 | 0.91820 | 0.04239 | 2.73408 | 5.23960 | 40.5626 | 
 1 -> | 2005.90 | 0.10083 | 0.88859 | 0.05471 | 1.65820 | 1.90579 | 59.4374 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.59 | 0.14388 | 0.91516 | 0.04656 | 2.81728 | 5.66519 | 40.9357 | 
 1 -> | 2005.88 | 0.10516 | 0.88813 | 0.05895 | 1.63145 | 1.82758 | 59.0643 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.45 | 0.14412 | 0.91446 | 0.04972 | 2.86283 | 5.91177 | 40.4679 | 
 1 -> | 2005.79 | 0.10843 | 0.88409 | 0.06022 | 1.56328 | 1.73998 | 59.5321 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.25 | 0.14517 | 0.91727 | 0.05349 | 2.82946 | 6.15786 | 40.7290 | 
 1 -> | 2005.66 | 0.11070 | 0.88010 | 0.06571 | 1.56305 | 1.66228 | 59.2710 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.27 | 0.15225 | 0.91605 | 0.05984 | 2.82632 | 6.16106 | 40.7204 | 
 1 -> | 2005.69 | 0.11098 | 0.87532 | 0.06832 | 1.54157 | 1.60485 | 59.2796 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.27 | 0.15408 | 0.90931 | 0.06312 | 2.82940 | 5.92436 | 41.0189 | 
 1 -> | 2005.63 | 0.11694 | 0.87503 | 0.07188 | 1.57609 | 1.61001 | 58.9811 | 
