Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.94 | 0.06215 | 0.93362 | 0.00000 | 1.70480 | 2.11864 | 11.0573 | 
 1 -> | 2001.41 | 0.10714 | 0.94643 | 0.07143 | 1.83929 | 5.91071 | 0.87459 | 
 2 -> | 1989.12 | 0.04246 | 0.94161 | 0.00531 | 1.83333 | 1.61040 | 14.7119 | 
 3 -> | 2012.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.01562 | 
 4 -> | 1998.69 | 0.08759 | 0.94161 | 0.04745 | 3.54745 | 13.4489 | 4.27924 | 
 5 -> | 2010.67 | 0.08706 | 0.90909 | 0.06852 | 2.09815 | 3.43216 | 69.0614 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1989.36 | 0.06486 | 0.94118 | 0.00905 | 1.34842 | 1.31523 | 10.3659 | 
 1 -> | 1999.22 | 0.22222 | 1.00000 | 0.00000 | 1.00000 | 1.11111 | 0.14071 | 
 2 -> | 1989.27 | 0.06613 | 0.93487 | 0.00100 | 1.50601 | 1.07916 | 15.6035 | 
 3 -> | 2012.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 4 -> | 1990.31 | 0.07831 | 0.90361 | 0.00602 | 8.10843 | 21.8193 | 2.59537 | 
 5 -> | 2010.38 | 0.08969 | 0.90746 | 0.07390 | 2.14320 | 3.44539 | 71.2946 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.68 | 0.07036 | 0.94012 | 0.00599 | 1.54641 | 1.55240 | 10.4457 | 
 1 -> | 1996.47 | 0.14706 | 0.91176 | 0.00000 | 0.58824 | 0.38235 | 0.53167 | 
 2 -> | 1989.50 | 0.06250 | 0.93652 | 0.00586 | 1.50195 | 1.19336 | 16.0125 | 
 3 -> | 2012.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 4 -> | 1988.61 | 0.07143 | 0.92857 | 0.01587 | 9.18254 | 20.4921 | 1.97029 | 
 5 -> | 2010.38 | 0.08937 | 0.90139 | 0.07352 | 2.09685 | 3.46973 | 71.0399 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.58 | 0.05026 | 0.94107 | 0.01213 | 1.58406 | 1.45234 | 9.02409 | 
 1 -> | 1993.67 | 0.12745 | 0.98039 | 0.01961 | 0.59804 | 0.83333 | 1.59525 | 
 2 -> | 1989.36 | 0.07108 | 0.92697 | 0.00779 | 1.46543 | 1.20643 | 16.0619 | 
 3 -> | 2012.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 4 -> | 1989.60 | 0.06349 | 0.96032 | 0.01587 | 11.3968 | 18.6587 | 1.97060 | 
 5 -> | 2010.29 | 0.09185 | 0.89851 | 0.07826 | 2.13591 | 3.68325 | 71.3481 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.76 | 0.06903 | 0.94030 | 0.01679 | 1.73881 | 1.33582 | 8.38417 | 
 1 -> | 1992.58 | 0.09816 | 0.94479 | 0.01840 | 0.92638 | 1.22699 | 2.54966 | 
 2 -> | 1989.45 | 0.08469 | 0.94592 | 0.02041 | 1.25306 | 1.21735 | 15.3293 | 
 3 -> | 2012.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 4 -> | 1988.72 | 0.09420 | 0.92754 | 0.01449 | 9.88406 | 18.5652 | 2.15861 | 
 5 -> | 2010.21 | 0.09266 | 0.89336 | 0.08457 | 2.09353 | 3.43422 | 71.5783 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.97 | 0.10288 | 0.93210 | 0.01852 | 1.88477 | 1.18107 | 7.60325 | 
 1 -> | 1991.59 | 0.08466 | 0.93122 | 0.01587 | 0.78836 | 1.20106 | 2.95682 | 
 2 -> | 1989.38 | 0.10179 | 0.94533 | 0.02168 | 1.42696 | 1.18002 | 16.5989 | 
 3 -> | 2012.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 4 -> | 1989.14 | 0.08633 | 0.97122 | 0.02158 | 10.0576 | 21.5683 | 2.17459 | 
 5 -> | 2010.28 | 0.08833 | 0.89130 | 0.07992 | 2.17534 | 3.55391 | 70.6665 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.46 | 0.09176 | 0.92697 | 0.01124 | 1.74719 | 1.20037 | 8.35550 | 
 1 -> | 1990.96 | 0.13300 | 0.92118 | 0.01478 | 0.64532 | 1.30542 | 3.17634 | 
 2 -> | 1989.49 | 0.09538 | 0.93574 | 0.02209 | 1.45683 | 1.17068 | 15.5844 | 
 3 -> | 2012.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 4 -> | 1988.73 | 0.07143 | 0.90714 | 0.03571 | 9.55714 | 23.5000 | 2.19058 | 
 5 -> | 2010.24 | 0.08809 | 0.88933 | 0.08853 | 2.13457 | 3.42275 | 70.6932 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.78 | 0.07752 | 0.90891 | 0.02326 | 1.58140 | 1.12597 | 8.07512 | 
 1 -> | 1990.60 | 0.10811 | 0.93694 | 0.04505 | 0.75676 | 1.55405 | 3.47418 | 
 2 -> | 1989.11 | 0.08309 | 0.92754 | 0.01836 | 1.52947 | 1.29952 | 16.1972 | 
 3 -> | 2012.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 4 -> | 1989.71 | 0.10891 | 0.97030 | 0.00990 | 10.1188 | 21.6337 | 1.58059 | 
 5 -> | 2010.24 | 0.08990 | 0.88242 | 0.07861 | 2.24934 | 3.41187 | 70.6729 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.97 | 0.08633 | 0.92086 | 0.02518 | 1.68885 | 1.29317 | 8.70246 | 
 1 -> | 1990.25 | 0.09292 | 0.93805 | 0.02212 | 0.58407 | 1.27876 | 3.53733 | 
