Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.88 | 0.05604 | 0.94107 | 0.02484 | 1.83304 | 1.50491 | 33.6902 | 
 1 -> | 2005.25 | 0.00000 | 0.75000 | 0.00000 | 1.50000 | 0.50000 | 0.07785 | 
 2 -> | 1990.60 | 0.01587 | 0.92063 | 0.07937 | 9.88889 | 26.1746 | 1.22616 | 
 3 -> | 2011.50 | 0.00000 | 0.90000 | 0.10000 | 9.90000 | 0.00000 | 0.19463 | 
 4 -> | 2011.55 | 0.08578 | 0.91477 | 0.06352 | 1.23018 | 3.09175 | 35.8505 | 
 5 -> | 2010.15 | 0.07594 | 0.91331 | 0.07728 | 2.65927 | 5.58065 | 28.9607 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1989.37 | 0.04834 | 0.93867 | 0.01515 | 1.50722 | 1.51371 | 27.0123 | 
 1 -> | 2005.25 | 0.00000 | 0.75000 | 0.00000 | 1.50000 | 0.50000 | 0.00000 | 
 2 -> | 1989.58 | 0.03125 | 0.90625 | 0.00000 | 4.67188 | 25.2500 | 1.24732 | 
 3 -> | 2011.50 | 0.00000 | 0.90000 | 0.10000 | 9.90000 | 0.00000 | 0.00000 | 
 4 -> | 2004.48 | 0.08754 | 0.89226 | 0.04377 | 1.29966 | 1.13468 | 5.78835 | 
 5 -> | 2011.15 | 0.07358 | 0.91814 | 0.07595 | 1.86082 | 3.90130 | 65.9521 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1989.25 | 0.06960 | 0.94432 | 0.01612 | 1.31722 | 1.39780 | 26.6082 | 
 1 -> | 1996.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.01949 | 
 2 -> | 1989.19 | 0.07059 | 0.96471 | 0.03529 | 5.05882 | 29.6706 | 1.65692 | 
 3 -> | 1994.00 | 0.50000 | 1.00000 | 0.00000 | 30.0000 | 0.00000 | 0.03899 | 
 4 -> | 2004.48 | 0.08754 | 0.89226 | 0.04377 | 1.29966 | 1.13468 | 0.00000 | 
 5 -> | 2010.70 | 0.07968 | 0.91161 | 0.07180 | 1.80854 | 3.58907 | 71.6764 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.78 | 0.07759 | 0.93587 | 0.02771 | 1.39826 | 1.55186 | 24.6247 | 
 1 -> | 1990.80 | 0.03947 | 0.96711 | 0.02632 | 0.50658 | 1.23026 | 2.96354 | 
 2 -> | 1989.67 | 0.05128 | 0.96154 | 0.01282 | 4.91026 | 30.4359 | 1.52076 | 
 3 -> | 1988.81 | 0.06250 | 0.93750 | 0.00000 | 26.3750 | 7.06250 | 0.31195 | 
 4 -> | 1996.50 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.03899 | 
 5 -> | 2010.62 | 0.09204 | 0.90934 | 0.07850 | 1.77999 | 3.79768 | 70.5401 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1987.30 | 0.06125 | 0.92375 | 0.03125 | 1.44750 | 1.54375 | 15.6006 | 
 1 -> | 1989.97 | 0.08316 | 0.95096 | 0.02132 | 1.12367 | 1.59915 | 9.14587 | 
 2 -> | 1988.88 | 0.09756 | 0.95122 | 0.07317 | 1.85366 | 25.6829 | 0.79953 | 
 3 -> | 1988.41 | 0.04348 | 0.95652 | 0.02174 | 15.1522 | 35.2391 | 0.89704 | 
 4 -> | 1993.26 | 0.13063 | 0.98198 | 0.03153 | 0.92793 | 1.36486 | 4.32917 | 
 5 -> | 2010.63 | 0.10169 | 0.91408 | 0.07746 | 1.80507 | 3.56394 | 69.2278 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1985.25 | 0.04868 | 0.92089 | 0.02434 | 1.44016 | 1.59635 | 9.61576 | 
 1 -> | 1988.68 | 0.06723 | 0.95798 | 0.02731 | 1.85924 | 1.01681 | 9.28418 | 
 2 -> | 1987.89 | 0.10811 | 0.91892 | 0.00000 | 2.00000 | 16.0811 | 0.72167 | 
 3 -> | 1987.35 | 0.06122 | 0.89796 | 0.06122 | 9.81633 | 42.4286 | 0.95572 | 
 4 -> | 1992.91 | 0.12109 | 0.95898 | 0.02539 | 1.64844 | 2.21680 | 9.98635 | 
 5 -> | 2010.62 | 0.09747 | 0.91208 | 0.07809 | 1.67837 | 3.27331 | 69.4363 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1985.02 | 0.06721 | 0.94297 | 0.03666 | 1.42974 | 1.23625 | 9.57862 | 
 1 -> | 1984.75 | 0.06512 | 0.92558 | 0.04651 | 1.35349 | 0.58605 | 4.19430 | 
 2 -> | 1984.24 | 0.00000 | 0.94118 | 0.00000 | 2.52941 | 7.94118 | 0.33164 | 
 3 -> | 1980.00 | 0.25000 | 1.00000 | 0.00000 | 7.00000 | 37.7500 | 0.15607 | 
 4 -> | 1992.35 | 0.08813 | 0.96573 | 0.02570 | 1.86169 | 3.70624 | 15.9384 | 
 5 -> | 2010.65 | 0.10257 | 0.90134 | 0.08301 | 1.79290 | 3.31805 | 69.8010 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1985.86 | 0.05566 | 0.95332 | 0.04129 | 1.61221 | 1.19749 | 10.8683 | 
 1 -> | 1982.25 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 0.07805 | 
 2 -> | 1976.78 | 0.05195 | 0.94805 | 0.06494 | 1.37662 | 1.74026 | 1.50244 | 
 3 -> | 1977.67 | 0.33333 | 1.00000 | 0.00000 | 3.33333 | 23.3333 | 0.05854 | 
 4 -> | 1991.28 | 0.09281 | 0.96142 | 0.03650 | 1.97706 | 3.91554 | 18.7122 | 
 5 -> | 2010.58 | 0.10355 | 0.89957 | 0.09078 | 1.87887 | 3.07291 | 68.7805 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1988.88 | 0.07172 | 0.93505 | 0.04601 | 1.57375 | 1.13938 | 14.4223 | 
 1 -> | 1979.46 | 0.05714 | 1.00000 | 0.05714 | 0.80000 | 0.74286 | 0.68306 | 
 2 -> | 1974.59 | 0.03614 | 0.96386 | 0.02410 | 1.80723 | 0.79518 | 1.61983 | 
 3 -> | 1978.43 | 0.00000 | 0.71429 | 0.00000 | 1.57143 | 14.7143 | 0.13661 | 
 4 -> | 1990.42 | 0.09820 | 0.95159 | 0.04426 | 2.08852 | 4.60028 | 14.1101 | 
 5 -> | 2010.64 | 0.10291 | 0.88861 | 0.09895 | 1.83545 | 2.69239 | 69.0281 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1990.76 | 0.07692 | 0.94073 | 0.04540 | 1.58008 | 1.35939 | 15.4792 | 
 1 -> | 1980.38 | 0.12500 | 0.87500 | 0.00000 | 3.00000 | 0.87500 | 0.15616 | 
 2 -> | 1978.35 | 0.11224 | 0.89796 | 0.12245 | 1.43878 | 0.72449 | 1.91294 | 
 3 -> | 1974.46 | 0.08929 | 0.96429 | 0.05357 | 1.26786 | 4.96429 | 1.09311 | 
 4 -> | 1988.83 | 0.07047 | 0.93960 | 0.03356 | 2.12584 | 4.22483 | 11.6338 | 
 5 -> | 2010.56 | 0.10974 | 0.88662 | 0.10638 | 1.81187 | 2.70997 | 69.7248 | 
