Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.61 | 0.12170 | 0.91377 | 0.04798 | 0.26287 | 0.37761 | 4.12519 | 
 1 -> | 2015.00 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00287 | 
 2 -> | 2006.04 | 0.12500 | 0.91667 | 0.05556 | 0.51389 | 0.06944 | 0.20655 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00287 | 
 4 -> | 2013.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00287 | 
 5 -> | 2013.00 | 0.14286 | 0.92857 | 0.00000 | 0.28571 | 1.50000 | 0.04016 | 
 6 -> | 2014.72 | 0.07292 | 0.86458 | 0.03125 | 0.36458 | 0.42708 | 0.27540 | 
 7 -> | 2013.00 | 0.00000 | 1.00000 | 0.00000 | 4.00000 | 5.00000 | 0.00287 | 
 8 -> | 1999.08 | 0.41667 | 0.91667 | 0.00000 | 1.16667 | 0.08333 | 0.03442 | 
 9 -> | 2013.50 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 2.50000 | 0.00574 | 
 10 -> | 2008.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00287 | 
 11 -> | 2014.00 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 0.00000 | 0.00287 | 
 12 -> | 2004.72 | 0.10166 | 0.94222 | 0.05243 | 1.23970 | 1.69074 | 5.36160 | 
 13 -> | 2015.11 | 0.08571 | 0.82857 | 0.05714 | 0.08571 | 0.08571 | 0.20081 | 
 14 -> | 2009.40 | 0.09416 | 0.92850 | 0.05330 | 1.19917 | 0.56495 | 8.98764 | 
 15 -> | 2003.62 | 0.16165 | 0.93178 | 0.04364 | 1.27658 | 3.60356 | 4.66737 | 
 16 -> | 1990.98 | 0.08597 | 0.93243 | 0.00790 | 2.16076 | 2.17711 | 21.0563 | 
 17 -> | 2013.09 | 0.10418 | 0.88330 | 0.05252 | 2.18292 | 4.73533 | 26.5986 | 
 18 -> | 2011.60 | 0.09246 | 0.89611 | 0.04954 | 3.60429 | 5.05917 | 14.3033 | 
 19 -> | 2006.08 | 0.13430 | 0.90796 | 0.03759 | 1.92727 | 4.37891 | 14.1197 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.63 | 0.13459 | 0.91324 | 0.06007 | 0.24472 | 0.37041 | 2.58052 | 
 1 -> | 2013.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00287 | 
 2 -> | 2006.73 | 0.07519 | 0.95489 | 0.05263 | 0.57143 | 0.15038 | 0.38177 | 
 3 -> | 1988.00 | 0.00000 | 1.00000 | 0.00000 | 0.00000 | 1.00000 | 0.00000 | 
 4 -> | 2013.00 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 0.00000 | 
 5 -> | 2010.69 | 0.09524 | 0.85714 | 0.07143 | 0.69048 | 0.61905 | 0.12056 | 
 6 -> | 2013.03 | 0.09901 | 0.86139 | 0.03960 | 0.46040 | 0.33168 | 0.57983 | 
 7 -> | 2013.00 | 0.00000 | 1.00000 | 0.00000 | 4.00000 | 5.00000 | 0.00000 | 
 8 -> | 1999.08 | 0.41667 | 0.91667 | 0.00000 | 1.16667 | 0.08333 | 0.00000 | 
 9 -> | 2011.29 | 0.00000 | 0.85714 | 0.14286 | 3.85714 | 2.14286 | 0.02009 | 
 10 -> | 2009.48 | 0.08919 | 0.91081 | 0.04324 | 0.41081 | 0.00811 | 1.06206 | 
 11 -> | 2013.91 | 0.09091 | 0.86364 | 0.09091 | 0.63636 | 0.13636 | 0.06315 | 
 12 -> | 2004.07 | 0.08475 | 0.83051 | 0.15254 | 0.52542 | 0.57627 | 0.16936 | 
 13 -> | 2014.23 | 0.10507 | 0.88743 | 0.05441 | 0.22139 | 0.23827 | 1.52994 | 
 14 -> | 2007.05 | 0.10879 | 0.92040 | 0.05277 | 0.85938 | 0.47111 | 9.73649 | 
 15 -> | 2006.09 | 0.10723 | 0.87413 | 0.03963 | 0.47786 | 0.46620 | 1.23141 | 
 16 -> | 1991.44 | 0.09024 | 0.92634 | 0.01289 | 1.61899 | 1.10927 | 14.0278 | 
 17 -> | 2012.59 | 0.10778 | 0.88745 | 0.05519 | 1.40228 | 1.84699 | 27.6709 | 
 18 -> | 2012.81 | 0.10390 | 0.88940 | 0.05033 | 2.54722 | 3.27892 | 12.4318 | 
 19 -> | 2001.72 | 0.11667 | 0.92165 | 0.03589 | 3.59751 | 7.93317 | 28.3914 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
