Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2011.90 | 4.26396 | 0.22640 | 0.23282 | 0.12259 | 0.99308 | 3.24221 | 2.32427 | 0.00000 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 1992.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 22.0000 | 5.00000 | 2.00000 | 2.00000 | 
 3 -> | 1978.00 | 2.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 4 -> | 2006.62 | 4.38583 | 0.17414 | 0.11750 | 0.18292 | 1.11387 | 3.46305 | 2.57480 | 0.01635 | 0.00000 | 
 5 -> | 1634.53 | 4.02209 | 0.18957 | 0.16664 | 0.07087 | 1.19425 | 3.17216 | 2.94292 | 0.08086 | 0.00000 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2013.34 | 4.57152 | 0.31144 | 0.30234 | 0.15215 | 1.63199 | 2.91417 | 3.82315 | 0.25163 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 1992.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 22.0000 | 5.00000 | 2.00000 | 2.00000 | 
 3 -> | 1978.00 | 2.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 4 -> | 1985.41 | 3.99482 | 0.30902 | 0.27483 | 0.15401 | 1.67009 | 2.87566 | 3.96935 | 0.20470 | 0.00000 | 
 5 -> | 0.00000 | 4.52532 | 0.33544 | 0.26090 | 0.13643 | 1.57665 | 2.86428 | 3.66245 | 0.05485 | 0.00000 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2008.56 | 3.77941 | 0.43056 | 0.40033 | 0.27982 | 1.72917 | 2.56863 | 4.12296 | 0.05678 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2001.02 | 3.85266 | 0.40791 | 0.41746 | 0.29468 | 1.72715 | 2.59345 | 4.07776 | 1.03138 | 0.00000 | 
 3 -> | 1978.00 | 2.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 4 -> | 1981.15 | 3.27859 | 0.42727 | 0.39746 | 0.25846 | 1.73368 | 2.40868 | 4.27603 | 0.36868 | 0.00000 | 
 5 -> | 0.00000 | 3.75487 | 0.43733 | 0.38997 | 0.23955 | 1.76602 | 2.29248 | 4.19777 | 0.00000 | 0.00000 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2009.73 | 2.99702 | 0.50398 | 0.49404 | 0.42247 | 1.88072 | 2.31014 | 4.85487 | 0.14911 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 1999.52 | 2.99669 | 0.49227 | 0.47790 | 0.38232 | 1.84807 | 2.35967 | 4.88840 | 0.91713 | 0.00000 | 
 3 -> | 1978.00 | 2.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 4 -> | 1978.95 | 2.59691 | 0.49299 | 0.47803 | 0.38703 | 1.88594 | 2.24869 | 4.90370 | 0.71266 | 0.00000 | 
 5 -> | 0.00000 | 2.71233 | 0.46575 | 0.45205 | 0.36301 | 2.00685 | 2.15753 | 5.07534 | 0.85616 | 0.00000 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2009.83 | 2.52280 | 0.50489 | 0.49674 | 0.45765 | 1.99349 | 2.14495 | 4.93811 | 0.21498 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 1999.06 | 2.38217 | 0.50062 | 0.51122 | 0.45137 | 2.04115 | 2.17955 | 5.11845 | 1.19202 | 0.00000 | 
 3 -> | 1978.00 | 2.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 4 -> | 1977.52 | 2.18973 | 0.49731 | 0.49430 | 0.47381 | 1.94728 | 2.15055 | 5.05586 | 1.50767 | 0.00000 | 
 5 -> | 0.00000 | 2.28947 | 0.47368 | 0.52632 | 0.51316 | 1.96053 | 2.56579 | 4.76316 | 3.61842 | 0.00000 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2009.61 | 2.12240 | 0.50260 | 0.50781 | 0.52083 | 2.19531 | 2.00781 | 5.11198 | 0.50781 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 1997.85 | 2.13846 | 0.50533 | 0.48757 | 0.50118 | 1.93846 | 2.10947 | 5.17751 | 1.88225 | 0.00000 | 
 3 -> | 1978.00 | 2.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 0.00000 | 0.00000 | 
 4 -> | 1976.47 | 2.05467 | 0.50289 | 0.49458 | 0.49931 | 1.97827 | 2.10278 | 5.17099 | 2.88109 | 0.00000 | 
 5 -> | 0.00000 | 1.91304 | 0.52174 | 0.43478 | 0.43478 | 1.80435 | 2.45652 | 5.21739 | 4.06522 | 0.00000 | 

Gen  6|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2008.58 | 2.11146 | 0.53251 | 0.51393 | 0.51393 | 2.02167 | 2.09288 | 5.20433 | 0.59443 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 1997.56 | 2.01101 | 0.48230 | 0.49725 | 0.48859 | 2.04957 | 2.00315 | 5.14949 | 2.59323 | 0.00000 | 
 3 -> | 1993.00 | 2.16434 | 0.56294 | 0.50000 | 0.51049 | 1.99650 | 2.12937 | 5.22028 | 0.00000 | 0.00000 | 
 4 -> | 1976.09 | 2.00754 | 0.50524 | 0.50123 | 0.50044 | 1.98097 | 2.04326 | 5.12576 | 5.76309 | 0.00000 | 
 5 -> | 0.00000 | 1.66667 | 0.45455 | 0.48485 | 0.37879 | 1.86364 | 1.86364 | 5.06061 | 4.59091 | 0.00000 | 

Gen  7|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2008.27 | 2.05556 | 0.48538 | 0.50292 | 0.44444 | 1.96199 | 1.98830 | 4.75731 | 0.83041 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2003.31 | 1.86331 | 0.48201 | 0.49640 | 0.55396 | 1.98561 | 2.16547 | 4.81295 | 21.4317 | 0.00000 | 
 3 -> | 1994.87 | 2.04325 | 0.49221 | 0.48789 | 0.49135 | 1.98183 | 2.10986 | 4.85900 | 0.27249 | 0.00000 | 
 4 -> | 1976.00 | 2.00781 | 0.49626 | 0.50344 | 0.50106 | 1.97235 | 2.02557 | 4.91376 | 11.2755 | 0.00000 | 
 5 -> | 0.00000 | 1.92500 | 0.35000 | 0.70000 | 0.55000 | 2.10000 | 1.60000 | 5.15000 | 12.0500 | 0.00000 | 

Gen  8|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.74 | 1.99351 | 0.58117 | 0.53247 | 0.49351 | 2.04545 | 2.08117 | 4.48701 | 0.11688 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2008.00 | 2.12500 | 0.41667 | 0.58333 | 0.50000 | 2.20833 | 1.62500 | 4.87500 | 35.5000 | 0.00000 | 
 3 -> | 1994.73 | 2.03641 | 0.49619 | 0.48518 | 0.50381 | 1.92887 | 2.07367 | 4.50127 | 0.20491 | 0.00000 | 
 4 -> | 1976.02 | 1.98300 | 0.49630 | 0.50385 | 0.49796 | 1.95770 | 1.99787 | 4.54497 | 22.0466 | 0.00000 | 
 5 -> | 0.00000 | 1.66667 | 0.47619 | 0.54762 | 0.38095 | 1.83333 | 1.80952 | 3.00000 | 8.33333 | 0.00000 | 

Gen  9|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.70 | 1.91289 | 0.56446 | 0.52265 | 0.49129 | 1.97213 | 2.08362 | 4.17770 | 0.64808 | 0.00000 | 
 1 -> | 1986.00 | 8.00000 | 0.00000 | 0.00000 | 0.00000 | 3.00000 | 7.00000 | 6.00000 | 0.00000 | 0.00000 | 
 2 -> | 2006.07 | 1.60000 | 0.60000 | 0.60000 | 0.60000 | 1.66667 | 1.40000 | 3.93333 | 24.7333 | 0.00000 | 
 3 -> | 1989.15 | 2.02354 | 0.49073 | 0.49929 | 0.48288 | 1.96719 | 2.00357 | 4.18010 | 0.25749 | 0.00000 | 
 4 -> | 1975.56 | 1.99748 | 0.49790 | 0.49850 | 0.50065 | 1.96895 | 1.98511 | 4.19917 | 43.2319 | 0.00000 | 
 5 -> | 0.00000 | 1.79545 | 0.56818 | 0.59091 | 0.40909 | 2.22727 | 2.47727 | 3.77273 | 50.7955 | 0.00000 | 
