Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.40 | 0.18567 | 0.18103 | 0.08292 | 4.15671 | 6.78458 | 78.6063 | 
 1 -> | 1992.74 | 0.19117 | 0.15576 | 0.03099 | 2.29273 | 5.03528 | 21.3937 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2010.75 | 0.29810 | 0.29559 | 0.14315 | 6.03185 | 11.6461 | 74.4288 | 
 1 -> | 1991.51 | 0.29465 | 0.27803 | 0.09810 | 5.27085 | 8.14233 | 25.5712 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2010.62 | 0.41226 | 0.40605 | 0.23878 | 9.71307 | 19.5134 | 74.8651 | 
 1 -> | 1991.59 | 0.40870 | 0.39922 | 0.18637 | 8.09432 | 11.4203 | 25.1349 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.83 | 0.48760 | 0.47955 | 0.35928 | 15.0500 | 31.4340 | 76.6303 | 
 1 -> | 1992.76 | 0.48072 | 0.47187 | 0.30582 | 10.4035 | 11.7004 | 23.3697 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2007.85 | 0.49998 | 0.49553 | 0.45666 | 24.8162 | 58.4834 | 63.9409 | 
 1 -> | 2002.39 | 0.50243 | 0.49065 | 0.41742 | 12.1816 | 9.32134 | 36.0591 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2006.06 | 0.50347 | 0.49694 | 0.49138 | 36.2082 | 94.4435 | 55.7664 | 
 1 -> | 2005.83 | 0.49186 | 0.49588 | 0.48537 | 19.1931 | 15.5931 | 44.2336 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2005.97 | 0.50207 | 0.49743 | 0.50390 | 48.7922 | 136.226 | 51.9317 | 
 1 -> | 2006.03 | 0.49896 | 0.49770 | 0.49585 | 29.4458 | 26.2230 | 48.0683 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2005.97 | 0.49705 | 0.50273 | 0.50227 | 64.8755 | 192.779 | 50.0316 | 
 1 -> | 2006.12 | 0.49836 | 0.49744 | 0.49813 | 41.3905 | 38.8826 | 49.9684 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2006.01 | 0.50028 | 0.49940 | 0.50490 | 88.8785 | 281.834 | 45.3530 | 
 1 -> | 2006.04 | 0.50255 | 0.50060 | 0.50670 | 56.2866 | 57.2562 | 54.6470 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2005.86 | 0.49152 | 0.50455 | 0.49751 | 113.918 | 402.790 | 43.1659 | 
 1 -> | 2006.01 | 0.49740 | 0.50043 | 0.49952 | 80.4213 | 80.4084 | 56.8341 | 
