Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.71 | 0.08144 | 0.91856 | 0.05576 | 4.14233 | 7.99193 | 21.0469 | 
 1 -> | 2015.40 | 0.10070 | 0.87832 | 0.02797 | 2.21259 | 3.49371 | 11.0408 | 
 2 -> | 2008.42 | 0.06915 | 0.91622 | 0.10151 | 1.21986 | 1.21232 | 34.8363 | 
 3 -> | 1991.18 | 0.06629 | 0.93464 | 0.01587 | 1.75957 | 2.86648 | 33.0760 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2010.10 | 0.08760 | 0.87107 | 0.06281 | 7.77355 | 22.5554 | 9.34941 | 
 1 -> | 2014.67 | 0.11111 | 0.88889 | 0.05364 | 2.89272 | 3.40613 | 4.03338 | 
 2 -> | 2010.32 | 0.07348 | 0.90442 | 0.07549 | 1.15614 | 0.71871 | 53.8402 | 
 3 -> | 1990.20 | 0.06931 | 0.92692 | 0.02074 | 1.65347 | 2.32485 | 32.7770 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2006.43 | 0.09091 | 0.90107 | 0.08289 | 9.45187 | 38.1952 | 5.78053 | 
 1 -> | 2013.42 | 0.05556 | 0.88889 | 0.02778 | 3.66667 | 12.5833 | 0.55641 | 
 2 -> | 2013.86 | 0.09290 | 0.90096 | 0.04918 | 2.30055 | 2.37705 | 22.6275 | 
 3 -> | 2000.26 | 0.06723 | 0.91580 | 0.06636 | 1.33681 | 1.13969 | 71.0355 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2003.11 | 0.08696 | 0.93237 | 0.06280 | 14.1498 | 58.2077 | 3.19988 | 
 1 -> | 2008.60 | 0.02857 | 1.00000 | 0.11429 | 11.6286 | 21.4571 | 0.54104 | 
 2 -> | 2013.00 | 0.12000 | 0.96000 | 0.00000 | 4.60000 | 19.3600 | 0.38646 | 
 3 -> | 2003.94 | 0.07643 | 0.91180 | 0.07062 | 1.64834 | 1.72831 | 95.8726 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2003.36 | 0.09150 | 0.92157 | 0.05229 | 14.9477 | 69.5686 | 2.36549 | 
 1 -> | 1991.67 | 0.00000 | 1.00000 | 0.00000 | 29.0000 | 31.6667 | 0.04638 | 
 2 -> | 2004.20 | 0.20000 | 0.95000 | 0.15000 | 18.4000 | 33.1000 | 0.30921 | 
 3 -> | 2004.03 | 0.08519 | 0.91306 | 0.06945 | 1.74205 | 1.94882 | 97.2789 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.42 | 0.07965 | 0.91150 | 0.07080 | 12.4071 | 79.1062 | 1.74733 | 
 1 -> | 1991.67 | 0.00000 | 1.00000 | 0.00000 | 29.0000 | 31.6667 | 0.00000 | 
 2 -> | 2004.40 | 0.13953 | 0.93023 | 0.04651 | 19.2326 | 43.1395 | 0.66491 | 
 3 -> | 2004.33 | 0.09618 | 0.91523 | 0.07336 | 1.73507 | 2.03312 | 97.5878 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.63 | 0.08219 | 0.90411 | 0.08219 | 11.0548 | 86.1507 | 1.12898 | 
 1 -> | 1991.67 | 0.00000 | 1.00000 | 0.00000 | 29.0000 | 31.6667 | 0.00000 | 
 2 -> | 2004.93 | 0.08621 | 0.96552 | 0.10345 | 17.0690 | 52.1724 | 0.89700 | 
 3 -> | 2004.24 | 0.10182 | 0.91113 | 0.07419 | 1.80805 | 2.17743 | 97.9740 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2003.56 | 0.06250 | 0.87500 | 0.07813 | 8.43750 | 85.6094 | 0.98995 | 
 1 -> | 1991.67 | 0.00000 | 1.00000 | 0.00000 | 29.0000 | 31.6667 | 0.00000 | 
 2 -> | 2005.26 | 0.07353 | 0.89706 | 0.07353 | 14.9853 | 54.9118 | 1.05182 | 
 3 -> | 2003.97 | 0.10643 | 0.91394 | 0.08290 | 1.73788 | 2.16532 | 97.9582 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.40 | 0.17500 | 0.87500 | 0.02500 | 8.22500 | 90.4500 | 0.61881 | 
 1 -> | 1991.67 | 0.00000 | 1.00000 | 0.00000 | 29.0000 | 31.6667 | 0.00000 | 
 2 -> | 2006.79 | 0.07407 | 0.95062 | 0.06173 | 12.9259 | 58.2840 | 1.25309 | 
 3 -> | 2003.58 | 0.10642 | 0.90809 | 0.08214 | 1.74160 | 2.20700 | 98.1281 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2007.46 | 0.08333 | 0.83333 | 0.08333 | 12.8750 | 116.167 | 0.37134 | 
 1 -> | 1991.67 | 0.00000 | 1.00000 | 0.00000 | 29.0000 | 31.6667 | 0.00000 | 
 2 -> | 2001.04 | 0.10784 | 0.86275 | 0.07843 | 11.0588 | 60.4314 | 1.57821 | 
 3 -> | 2003.49 | 0.11961 | 0.90327 | 0.08127 | 1.82326 | 2.37526 | 98.0504 | 
