Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1996.88 | 0.09995 | 0.91948 | 0.01693 | 1.66139 | 1.44714 | 36.7861 | 
 1 -> | 2011.12 | 0.11142 | 0.90066 | 0.05467 | 2.22379 | 4.49689 | 63.2139 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.96 | 0.10941 | 0.91780 | 0.01088 | 2.54631 | 2.48138 | 30.0631 | 
 1 -> | 2011.39 | 0.11241 | 0.89699 | 0.05824 | 1.83826 | 3.90343 | 69.9369 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.92 | 0.11335 | 0.91940 | 0.01182 | 2.79143 | 3.25363 | 28.6653 | 
 1 -> | 2011.27 | 0.11431 | 0.89382 | 0.05714 | 1.79347 | 3.47085 | 71.3347 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.65 | 0.11518 | 0.92024 | 0.01579 | 2.80749 | 3.60202 | 28.3582 | 
 1 -> | 2011.23 | 0.12228 | 0.88850 | 0.05661 | 1.70837 | 3.19247 | 71.6418 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.70 | 0.11837 | 0.91092 | 0.01959 | 2.98121 | 4.02646 | 28.4185 | 
 1 -> | 2011.20 | 0.12442 | 0.88901 | 0.05930 | 1.63258 | 3.09214 | 71.5815 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.81 | 0.11830 | 0.90479 | 0.03062 | 3.25776 | 5.42366 | 28.2176 | 
 1 -> | 2011.17 | 0.12731 | 0.88476 | 0.06166 | 1.53925 | 2.74021 | 71.7824 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.14 | 0.12093 | 0.90407 | 0.04281 | 3.55313 | 7.03188 | 28.3639 | 
 1 -> | 2011.15 | 0.12753 | 0.87904 | 0.05998 | 1.42648 | 2.21472 | 71.6361 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.24 | 0.11993 | 0.89966 | 0.05270 | 3.48747 | 7.58831 | 28.8634 | 
 1 -> | 2011.17 | 0.12964 | 0.87561 | 0.05984 | 1.37690 | 2.00989 | 71.1366 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.27 | 0.12657 | 0.90175 | 0.05232 | 3.40185 | 7.82386 | 29.1848 | 
 1 -> | 2011.19 | 0.13201 | 0.87261 | 0.06327 | 1.39851 | 1.94435 | 70.8152 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.25 | 0.12806 | 0.89581 | 0.05879 | 3.44170 | 8.23768 | 29.5867 | 
 1 -> | 2011.17 | 0.13440 | 0.87176 | 0.06506 | 1.39398 | 1.94016 | 70.4133 | 
