Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2002.82 | 0.12963 | 0.92528 | 0.03915 | 0.75436 | 0.25853 | 12.0218 | 
 1 -> | 1995.13 | 0.14634 | 0.88618 | 0.00813 | 0.43902 | 0.03252 | 0.35299 | 
 2 -> | 2011.00 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 16.0000 | 0.00287 | 
 3 -> | 1988.17 | 0.06636 | 0.93277 | 0.00493 | 1.07563 | 0.74848 | 9.90386 | 
 4 -> | 1997.89 | 0.10235 | 0.94062 | 0.02808 | 3.43317 | 6.72764 | 18.7028 | 
 5 -> | 2012.01 | 0.10781 | 0.89302 | 0.04931 | 2.05101 | 3.41383 | 59.0156 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2006.07 | 0.11940 | 0.93592 | 0.05340 | 1.04167 | 0.88270 | 16.3959 | 
 1 -> | 1996.78 | 0.19231 | 0.89645 | 0.01479 | 0.97041 | 0.53550 | 0.97020 | 
 2 -> | 2011.00 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 16.0000 | 0.00000 | 
 3 -> | 1992.77 | 0.11317 | 0.93171 | 0.01659 | 0.61171 | 0.27805 | 2.94219 | 
 4 -> | 1990.40 | 0.09251 | 0.93059 | 0.01077 | 1.98810 | 2.61595 | 20.2624 | 
 5 -> | 2011.72 | 0.10814 | 0.89297 | 0.05062 | 2.45223 | 4.61631 | 59.4294 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.90 | 0.10530 | 0.90969 | 0.05753 | 1.10932 | 0.90063 | 28.5415 | 
 1 -> | 2000.50 | 0.20517 | 0.90517 | 0.03276 | 1.48276 | 1.39828 | 1.66490 | 
 2 -> | 2000.33 | 0.00000 | 0.66667 | 0.00000 | 0.33333 | 22.0000 | 0.00861 | 
 3 -> | 1997.72 | 0.20844 | 0.93140 | 0.02375 | 0.95251 | 0.78364 | 1.08792 | 
 4 -> | 1990.41 | 0.09756 | 0.93135 | 0.01445 | 1.55221 | 1.71256 | 23.0387 | 
 5 -> | 2011.08 | 0.11140 | 0.88872 | 0.05375 | 2.94838 | 5.97158 | 45.6584 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.60 | 0.11082 | 0.89025 | 0.05832 | 1.28883 | 1.16990 | 37.5588 | 
 1 -> | 2004.51 | 0.11024 | 0.91732 | 0.07480 | 1.57677 | 1.40157 | 1.45826 | 
 2 -> | 2006.52 | 0.19048 | 0.95238 | 0.09524 | 0.80952 | 13.4762 | 0.06028 | 
 3 -> | 2001.44 | 0.18315 | 0.91348 | 0.03933 | 1.35730 | 1.39213 | 2.55483 | 
 4 -> | 1990.76 | 0.11003 | 0.92347 | 0.01789 | 1.36284 | 1.41500 | 15.0792 | 
 5 -> | 2005.99 | 0.11194 | 0.90484 | 0.04509 | 2.95484 | 6.26737 | 43.2886 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.58 | 0.11306 | 0.87904 | 0.05407 | 1.33520 | 1.07190 | 33.8194 | 
 1 -> | 2007.50 | 0.09926 | 0.93135 | 0.10091 | 1.69313 | 1.17287 | 3.47065 | 
 2 -> | 2011.72 | 0.11579 | 0.86842 | 0.07193 | 3.30000 | 13.0965 | 1.63629 | 
 3 -> | 2004.57 | 0.12984 | 0.93383 | 0.06367 | 1.34457 | 1.20911 | 4.59882 | 
 4 -> | 1996.35 | 0.15505 | 0.91405 | 0.02497 | 0.89082 | 0.62137 | 4.94330 | 
 5 -> | 2001.80 | 0.11208 | 0.90474 | 0.04362 | 2.66108 | 5.30622 | 51.5315 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2013.51 | 0.12206 | 0.86732 | 0.05657 | 1.23934 | 0.90979 | 35.4194 | 
 1 -> | 2009.27 | 0.09106 | 0.92026 | 0.05819 | 1.60453 | 1.06196 | 5.32813 | 
 2 -> | 2012.98 | 0.10171 | 0.86629 | 0.03314 | 5.18286 | 13.0126 | 2.51191 | 
 3 -> | 2007.01 | 0.10472 | 0.92650 | 0.10320 | 1.42993 | 1.35834 | 7.53861 | 
 4 -> | 2002.84 | 0.15707 | 0.90052 | 0.05236 | 0.99825 | 0.59686 | 1.64494 | 
 5 -> | 1998.96 | 0.11940 | 0.90776 | 0.04455 | 2.61819 | 5.39098 | 47.5570 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2013.18 | 0.11994 | 0.86558 | 0.05860 | 1.20022 | 0.95830 | 36.6922 | 
