Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2010.55 | 0.11109 | 0.90362 | 0.05004 | 2.00928 | 3.56801 | 76.1122 | 
 1 -> | 1990.62 | 0.08975 | 0.93704 | 0.00589 | 2.13240 | 3.29304 | 23.8878 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2010.92 | 0.10890 | 0.89999 | 0.05298 | 2.04488 | 3.57415 | 73.2979 | 
 1 -> | 1991.38 | 0.10878 | 0.94195 | 0.00924 | 2.09642 | 3.36440 | 26.7021 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.10 | 0.11193 | 0.89866 | 0.05812 | 2.04206 | 3.45794 | 71.8542 | 
 1 -> | 1991.75 | 0.11860 | 0.93371 | 0.01305 | 1.97573 | 3.43739 | 28.1458 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.11 | 0.11497 | 0.89382 | 0.06382 | 2.04715 | 3.45800 | 71.8255 | 
 1 -> | 1991.65 | 0.12398 | 0.93297 | 0.01559 | 1.96027 | 3.29808 | 28.1745 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.09 | 0.11754 | 0.89103 | 0.06635 | 1.99372 | 3.27017 | 71.7222 | 
 1 -> | 1991.61 | 0.12688 | 0.92753 | 0.01807 | 2.03816 | 3.28268 | 28.2778 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.04 | 0.12201 | 0.88608 | 0.06899 | 2.04062 | 3.32323 | 71.3060 | 
 1 -> | 1991.52 | 0.12904 | 0.92248 | 0.01811 | 1.97939 | 3.29239 | 28.6940 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.07 | 0.12280 | 0.88550 | 0.07396 | 1.98438 | 3.29185 | 71.2916 | 
 1 -> | 1991.60 | 0.13397 | 0.91612 | 0.02140 | 2.02360 | 3.27704 | 28.7084 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.02 | 0.12600 | 0.88219 | 0.07493 | 2.01304 | 3.33792 | 71.0936 | 
 1 -> | 1991.59 | 0.13584 | 0.90924 | 0.02085 | 2.00417 | 3.27723 | 28.9064 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.00 | 0.12448 | 0.88030 | 0.07901 | 1.93115 | 3.13416 | 71.4552 | 
 1 -> | 1991.57 | 0.13494 | 0.90478 | 0.02383 | 1.97949 | 3.18934 | 28.5448 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.01 | 0.12868 | 0.87274 | 0.07947 | 1.94545 | 3.18290 | 70.9328 | 
 1 -> | 1991.56 | 0.13657 | 0.89977 | 0.02745 | 1.87519 | 3.09252 | 29.0672 | 
