Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2007.75 | 8.70910 | 0.20120 | 0.98918 | 0.04976 | 3.67649 | 11.4765 | 6.24147 | 1.17407 | 0.73124 | 
 1 -> | 1992.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 10.0000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2005.77 | 9.07729 | 0.17181 | 0.99820 | 0.27173 | 3.34301 | 11.2247 | 6.12996 | 6.49980 | 19.8973 | 
 3 -> | 2013.94 | 9.04363 | 0.22380 | 0.98925 | 0.09041 | 3.48900 | 11.1429 | 6.19321 | 3.29981 | 5.63772 | 
 4 -> | 1994.25 | 8.41778 | 0.19014 | 0.99464 | 0.02357 | 3.65935 | 11.9748 | 6.33101 | 9.92716 | 10.6422 | 
 5 -> | 1987.53 | 8.07509 | 0.17425 | 0.99464 | 0.01085 | 3.56792 | 10.8224 | 6.25695 | 3.00898 | 5.23887 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2007.93 | 9.75829 | 0.36082 | 1.00000 | 0.10844 | 4.36573 | 14.6122 | 6.66542 | 2.08619 | 2.05118 | 
 1 -> | 1992.00 | 3.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 10.0000 | 5.00000 | 0.00000 | 0.00000 | 
 2 -> | 2003.35 | 9.75676 | 0.18919 | 1.00000 | 0.02703 | 4.16216 | 14.8378 | 6.45946 | 0.97297 | 11.2162 | 
 3 -> | 2013.67 | 9.93045 | 0.37561 | 0.99993 | 0.14643 | 4.16301 | 14.6569 | 6.59108 | 2.54508 | 5.32984 | 
 4 -> | 2008.06 | 10.0357 | 0.34942 | 1.00000 | 0.45070 | 4.00989 | 14.8382 | 6.52023 | 12.9901 | 22.9592 | 
 5 -> | 1992.05 | 9.73744 | 0.33871 | 1.00000 | 0.15241 | 4.22534 | 14.9925 | 6.62386 | 13.6139 | 29.9069 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2007.28 | 10.4160 | 0.57534 | 1.00000 | 0.20737 | 5.24596 | 17.5320 | 7.13279 | 4.22138 | 2.63182 | 
 1 -> | 1992.30 | 10.4534 | 0.58489 | 1.00000 | 0.12008 | 5.14389 | 17.7888 | 7.11387 | 13.8509 | 0.15942 | 
 2 -> | 1994.11 | 10.4038 | 0.58389 | 1.00000 | 0.17268 | 5.09555 | 17.6124 | 7.10685 | 4.34414 | 6.57578 | 
 3 -> | 2013.67 | 10.4420 | 0.60376 | 1.00000 | 0.21396 | 5.08940 | 17.3984 | 7.08573 | 3.02694 | 5.83159 | 
 4 -> | 2009.64 | 10.4442 | 0.55003 | 1.00000 | 0.38540 | 4.96247 | 17.6065 | 7.00203 | 8.13928 | 16.3820 | 
 5 -> | 2000.11 | 10.4569 | 0.58457 | 1.00000 | 0.48532 | 5.00009 | 17.6256 | 7.05883 | 23.2253 | 55.7641 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.74 | 10.7689 | 0.81666 | 1.00000 | 0.43291 | 6.15978 | 19.5104 | 7.68078 | 5.96927 | 4.65039 | 
 1 -> | 2005.81 | 10.8061 | 0.77551 | 1.00000 | 0.26531 | 6.21429 | 19.3061 | 7.52041 | 21.9388 | 1.72449 | 
 2 -> | 1988.46 | 10.7658 | 0.83127 | 1.00000 | 0.27843 | 6.15358 | 19.5871 | 7.70859 | 12.0321 | 4.54326 | 
 3 -> | 2014.06 | 10.7555 | 0.84514 | 1.00000 | 0.32768 | 6.15607 | 19.4438 | 7.70301 | 3.43368 | 5.54775 | 
 4 -> | 2006.01 | 10.7594 | 0.82320 | 1.00000 | 0.52741 | 6.04652 | 19.4840 | 7.64020 | 8.99097 | 18.2285 | 
 5 -> | 2002.51 | 10.7480 | 0.83602 | 1.00000 | 0.68461 | 6.06666 | 19.4914 | 7.65645 | 33.5500 | 85.6759 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2006.52 | 11.0075 | 0.96506 | 1.00000 | 0.66889 | 6.83361 | 20.8270 | 8.21464 | 6.40433 | 7.73960 | 
 1 -> | 2010.35 | 10.9575 | 0.98053 | 1.00000 | 0.60000 | 6.82301 | 20.7487 | 8.20885 | 24.8903 | 2.29735 | 
 2 -> | 1989.79 | 10.9824 | 0.97618 | 1.00000 | 0.55474 | 6.87691 | 20.8815 | 8.25411 | 24.4470 | 2.21838 | 
 3 -> | 2014.24 | 10.9996 | 0.97900 | 1.00000 | 0.60456 | 6.86148 | 20.7967 | 8.18275 | 4.96202 | 7.71180 | 
 4 -> | 2004.34 | 10.9850 | 0.97115 | 1.00000 | 0.76683 | 6.84222 | 20.7963 | 8.19261 | 13.0127 | 25.8952 | 
 5 -> | 2002.54 | 10.9683 | 0.97185 | 1.00000 | 0.84048 | 6.85631 | 20.8482 | 8.15353 | 45.7865 | 121.868 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2003.87 | 11.1075 | 1.00000 | 1.00000 | 0.83433 | 7.17164 | 21.4866 | 8.53433 | 6.26418 | 12.7448 | 
 1 -> | 2008.55 | 11.0769 | 1.00000 | 1.00000 | 0.80000 | 7.07692 | 21.4923 | 8.52308 | 21.0000 | 5.18462 | 
