Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.25 | 0.07139 | 0.90464 | 0.06141 | 0.99301 | 0.55267 | 45.6264 | 
 1 -> | 1992.00 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 0.00000 | 0.02278 | 
 2 -> | 2003.99 | 0.06079 | 0.90274 | 0.03951 | 0.93009 | 0.92097 | 7.49431 | 
 3 -> | 2009.93 | 0.05776 | 0.91697 | 0.05957 | 2.58123 | 13.3827 | 12.6196 | 
 4 -> | 2011.84 | 0.07583 | 0.90521 | 0.08057 | 14.5118 | 6.86256 | 4.80638 | 
 5 -> | 1989.20 | 0.04412 | 0.93266 | 0.00464 | 1.83669 | 3.11146 | 29.4305 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.97 | 0.08548 | 0.87328 | 0.06097 | 1.21219 | 1.06934 | 38.1702 | 
 1 -> | 1992.00 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 0.00000 | 0.00000 | 
 2 -> | 2005.88 | 0.03972 | 0.94737 | 0.07547 | 1.25422 | 0.97021 | 22.9751 | 
 3 -> | 2009.82 | 0.04286 | 0.87143 | 0.05000 | 1.39286 | 10.7071 | 3.19416 | 
 4 -> | 2010.62 | 0.06612 | 0.90083 | 0.07025 | 9.95455 | 19.4215 | 5.52133 | 
 5 -> | 1989.30 | 0.04845 | 0.92279 | 0.00984 | 2.06964 | 3.50492 | 30.1392 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2013.06 | 0.09742 | 0.86268 | 0.06045 | 1.52347 | 0.94718 | 38.8864 | 
 1 -> | 1992.00 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 0.00000 | 0.00000 | 
 2 -> | 2005.95 | 0.03351 | 0.94555 | 0.08901 | 1.43141 | 0.65654 | 21.7937 | 
 3 -> | 2008.82 | 0.04046 | 0.93064 | 0.09249 | 1.80925 | 7.06358 | 3.94797 | 
 4 -> | 2010.68 | 0.04825 | 0.88596 | 0.05263 | 5.94298 | 24.7763 | 5.20310 | 
 5 -> | 1989.10 | 0.05371 | 0.93419 | 0.01437 | 1.94251 | 3.17247 | 30.1689 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2013.16 | 0.09994 | 0.86044 | 0.05263 | 1.42637 | 0.83974 | 38.5985 | 
