Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2002.66 | 8.32867 | 0.09211 | 0.98600 | 0.35814 | 2.96094 | 9.48637 | 5.86293 | 20.5571 | 55.6846 | 
 1 -> | 1982.55 | 5.63636 | 0.00000 | 1.00000 | 0.00000 | 2.81818 | 13.8182 | 5.81818 | 2.81818 | 18.8182 | 
 2 -> | 1984.51 | 7.43636 | 0.00000 | 1.00000 | 0.00000 | 2.82727 | 8.68182 | 5.82727 | 8.03636 | 16.0909 | 
 3 -> | 2011.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 14.0000 | 6.00000 | 1.00000 | 0.00000 | 
 4 -> | 1986.79 | 6.80126 | 0.00000 | 0.95899 | 0.01893 | 2.81073 | 7.58991 | 5.78549 | 3.04416 | 12.7855 | 
 5 -> | 1999.95 | 7.05749 | 0.10711 | 0.90599 | 0.02983 | 2.84963 | 7.61862 | 5.81057 | 1.38332 | 1.55363 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2003.79 | 8.68514 | 0.14324 | 0.98378 | 0.44189 | 3.11351 | 9.86486 | 5.87703 | 29.6541 | 85.4905 | 
 1 -> | 1992.00 | 5.66667 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 6.55556 | 6.00000 | 2.55556 | 40.5556 | 
 2 -> | 1991.55 | 7.02632 | 0.05263 | 1.00000 | 0.10526 | 2.39474 | 10.2895 | 5.71053 | 20.0789 | 33.7105 | 
 3 -> | 2014.00 | 11.0000 | 1.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 39.0000 | 19.0000 | 
 4 -> | 1995.95 | 8.36842 | 0.00000 | 1.00000 | 0.21053 | 3.01754 | 8.50877 | 5.85965 | 16.3158 | 30.0877 | 
 5 -> | 1999.75 | 7.05160 | 0.10402 | 0.90875 | 0.03342 | 2.85147 | 7.62558 | 5.80982 | 1.55198 | 2.01459 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2002.80 | 8.64470 | 0.20057 | 0.98281 | 0.45559 | 3.26074 | 10.2464 | 5.64756 | 37.4269 | 135.934 | 
 1 -> | 2007.00 | 6.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 2.00000 | 6.00000 | 13.0000 | 60.0000 | 
 2 -> | 1991.55 | 7.02632 | 0.05263 | 1.00000 | 0.10526 | 2.39474 | 10.2895 | 5.71053 | 20.0789 | 33.7105 | 
 3 -> | 1988.40 | 10.0000 | 0.00000 | 1.00000 | 0.40000 | 5.40000 | 1.80000 | 7.20000 | 281.200 | 22.4000 | 
 4 -> | 2000.34 | 8.28736 | 0.10920 | 0.98276 | 0.38506 | 2.95977 | 9.78161 | 5.99425 | 18.4713 | 50.6149 | 
 5 -> | 1999.81 | 7.04194 | 0.10434 | 0.90676 | 0.03530 | 2.85054 | 7.68423 | 5.80927 | 1.65168 | 2.32772 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2003.26 | 8.58523 | 0.29545 | 1.00000 | 0.64205 | 3.46591 | 12.0511 | 5.66477 | 54.9773 | 205.222 | 
 1 -> | 2004.96 | 9.38571 | 0.22857 | 0.87143 | 0.22857 | 4.14286 | 8.34286 | 5.08571 | 8.55714 | 100.029 | 
 2 -> | 1991.55 | 7.02632 | 0.05263 | 1.00000 | 0.10526 | 2.39474 | 10.2895 | 5.71053 | 20.0789 | 33.7105 | 
 3 -> | 1988.40 | 10.0000 | 0.00000 | 1.00000 | 0.40000 | 5.40000 | 1.80000 | 7.20000 | 281.200 | 22.4000 | 
 4 -> | 1998.56 | 7.62791 | 0.03488 | 1.00000 | 0.23256 | 2.89535 | 6.40698 | 5.86047 | 39.4884 | 77.8488 | 
 5 -> | 1999.77 | 7.05271 | 0.10357 | 0.90666 | 0.03706 | 2.84645 | 7.73763 | 5.80933 | 1.74737 | 2.68316 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 2001.18 | 7.81356 | 0.28814 | 1.00000 | 0.63559 | 3.60169 | 12.2627 | 5.50847 | 69.1102 | 266.305 | 
 1 -> | 2000.13 | 9.20000 | 0.66667 | 1.00000 | 0.66667 | 3.20000 | 13.0667 | 5.80000 | 12.5333 | 150.667 | 
