Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2014.89 | 0.11992 | 0.87968 | 0.05111 | 0.35694 | 1.84628 | 7.13158 | 
 1 -> | 1992.00 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 5.00000 | 0.00287 | 
 2 -> | 2012.70 | 0.10546 | 0.89266 | 0.05017 | 1.88437 | 1.84677 | 33.5801 | 
 3 -> | 2011.01 | 0.11176 | 0.90588 | 0.04706 | 10.6765 | 28.8853 | 0.97575 | 
 4 -> | 2012.68 | 0.08989 | 0.86517 | 0.05056 | 23.5843 | 89.4663 | 0.51083 | 
 5 -> | 2000.63 | 0.10218 | 0.92438 | 0.03262 | 2.07373 | 3.22925 | 57.7988 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.31 | 0.11253 | 0.88481 | 0.05317 | 1.44606 | 1.54362 | 33.3659 | 
 1 -> | 1992.00 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 5.00000 | 0.00000 | 
 2 -> | 2013.31 | 0.10545 | 0.88371 | 0.05017 | 1.24961 | 1.15996 | 18.5372 | 
 3 -> | 2014.06 | 0.10149 | 0.86881 | 0.04455 | 6.15099 | 22.6510 | 1.15965 | 
 4 -> | 2015.00 | 0.10526 | 0.89474 | 0.10526 | 8.10526 | 53.0526 | 0.05454 | 
 5 -> | 1998.17 | 0.10678 | 0.93020 | 0.03355 | 2.77108 | 4.81198 | 46.8827 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.48 | 0.11361 | 0.89093 | 0.05562 | 1.41985 | 1.32721 | 39.8456 | 
 1 -> | 1992.00 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 5.00000 | 0.00000 | 
 2 -> | 2012.93 | 0.11046 | 0.88428 | 0.05152 | 1.37191 | 0.98468 | 18.5550 | 
 3 -> | 2013.18 | 0.12362 | 0.87638 | 0.05535 | 6.39299 | 16.4244 | 1.55582 | 
 4 -> | 2013.77 | 0.11268 | 0.88732 | 0.09859 | 11.1690 | 33.6479 | 0.20381 | 
 5 -> | 1996.51 | 0.10894 | 0.92435 | 0.02954 | 2.89906 | 5.66871 | 39.8398 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.25 | 0.11406 | 0.89301 | 0.05757 | 1.30835 | 1.16348 | 39.7893 | 
 1 -> | 2001.00 | 0.15000 | 0.85000 | 0.03333 | 0.28333 | 0.15000 | 0.17224 | 
 2 -> | 2012.25 | 0.11486 | 0.88404 | 0.05620 | 1.12211 | 0.74662 | 20.9927 | 
 3 -> | 2012.63 | 0.11558 | 0.88648 | 0.05986 | 5.48297 | 10.9092 | 2.78161 | 
 4 -> | 2013.36 | 0.11552 | 0.87365 | 0.07581 | 10.3466 | 23.1516 | 0.79515 | 
 5 -> | 1995.14 | 0.11088 | 0.92141 | 0.02655 | 3.09574 | 6.43906 | 35.4691 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.86 | 0.12713 | 0.88316 | 0.05850 | 1.26973 | 1.07462 | 35.4299 | 
 1 -> | 2003.82 | 0.11468 | 0.93280 | 0.06136 | 0.91746 | 0.73703 | 3.92996 | 
 2 -> | 2011.45 | 0.11152 | 0.89362 | 0.06091 | 0.81111 | 0.29753 | 13.9515 | 
 3 -> | 2012.31 | 0.11989 | 0.87515 | 0.05864 | 2.31213 | 2.88319 | 12.1401 | 
 4 -> | 2012.95 | 0.11335 | 0.88509 | 0.03727 | 8.27484 | 17.1724 | 1.84872 | 
 5 -> | 1994.18 | 0.10982 | 0.91880 | 0.02563 | 3.29014 | 6.67606 | 32.6999 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.24 | 0.12271 | 0.87609 | 0.05868 | 1.30280 | 1.22525 | 33.3152 | 
 1 -> | 2005.09 | 0.11639 | 0.94339 | 0.06929 | 1.19067 | 1.07835 | 6.33863 | 
 2 -> | 2008.78 | 0.09600 | 0.95200 | 0.05600 | 0.54400 | 0.21600 | 0.35884 | 
 3 -> | 2011.75 | 0.12445 | 0.88649 | 0.05943 | 1.15714 | 0.85035 | 24.1517 | 
 4 -> | 2012.65 | 0.13501 | 0.87363 | 0.05181 | 6.83830 | 13.7637 | 3.65735 | 
 5 -> | 1993.79 | 0.10866 | 0.91293 | 0.03105 | 3.23258 | 6.67981 | 32.1783 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2012.65 | 0.12270 | 0.87400 | 0.06050 | 1.35830 | 1.20610 | 28.7084 | 
 1 -> | 2006.56 | 0.11813 | 0.92612 | 0.07388 | 1.40507 | 1.25558 | 6.68332 | 
 2 -> | 2007.22 | 0.12312 | 0.91066 | 0.05180 | 0.50300 | 0.43994 | 3.82396 | 
 3 -> | 2011.72 | 0.12718 | 0.88250 | 0.06688 | 0.92034 | 0.50510 | 22.2347 | 
 4 -> | 2012.26 | 0.12221 | 0.87734 | 0.05263 | 5.78947 | 10.4839 | 6.43643 | 
 5 -> | 1993.49 | 0.11282 | 0.91176 | 0.03317 | 3.15144 | 6.50831 | 32.1132 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2013.16 | 0.12479 | 0.86179 | 0.06356 | 1.34831 | 1.29118 | 25.8814 | 
 1 -> | 2008.82 | 0.13312 | 0.92971 | 0.07561 | 2.02236 | 1.85942 | 2.69580 | 
 2 -> | 2006.88 | 0.11568 | 0.93242 | 0.07592 | 0.98387 | 0.91324 | 10.3238 | 
 3 -> | 2011.74 | 0.12985 | 0.87698 | 0.06400 | 0.53899 | 0.16123 | 9.24150 | 
 4 -> | 2011.75 | 0.12158 | 0.88259 | 0.06548 | 2.57247 | 3.82307 | 19.2926 | 
 5 -> | 1993.41 | 0.11884 | 0.91731 | 0.03606 | 2.89738 | 6.14414 | 32.5649 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2013.67 | 0.12418 | 0.85669 | 0.06631 | 1.27554 | 1.40689 | 22.8188 | 
 1 -> | 2010.61 | 0.14163 | 0.88794 | 0.06537 | 4.10039 | 5.31362 | 3.68924 | 
 2 -> | 2007.26 | 0.12894 | 0.92462 | 0.08191 | 1.39784 | 1.45275 | 12.7587 | 
 3 -> | 2009.17 | 0.11450 | 0.89695 | 0.06870 | 0.24046 | 0.15458 | 1.50441 | 
 4 -> | 2011.78 | 0.12134 | 0.88446 | 0.07018 | 1.76038 | 2.14681 | 26.2640 | 
 5 -> | 1993.27 | 0.11827 | 0.91456 | 0.03884 | 2.87746 | 5.88173 | 32.9649 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2013.64 | 0.12100 | 0.85802 | 0.07084 | 0.95204 | 0.76195 | 19.5751 | 
 1 -> | 2013.22 | 0.12448 | 0.86800 | 0.06015 | 6.32749 | 10.3392 | 3.43669 | 
 2 -> | 2008.94 | 0.14626 | 0.91963 | 0.07830 | 2.08520 | 2.36599 | 8.32328 | 
 3 -> | 2007.44 | 0.12468 | 0.91527 | 0.08151 | 0.80251 | 0.67171 | 8.91186 | 
 4 -> | 2011.83 | 0.12279 | 0.88419 | 0.07008 | 1.59787 | 1.90500 | 25.9317 | 
 5 -> | 1993.33 | 0.11757 | 0.91418 | 0.04134 | 2.76367 | 5.66282 | 33.8214 | 
