Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2004.28 | 0.12778 | 0.94447 | 0.01088 | 1.56568 | 1.48287 | 17.6749 | 
 1 -> | 1988.56 | 0.08127 | 0.93875 | 0.00681 | 3.83667 | 3.24500 | 7.16869 | 
 2 -> | 2015.00 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 0.00000 | 0.00287 | 
 3 -> | 1997.55 | 0.00000 | 1.00000 | 0.09091 | 56.8636 | 7.72727 | 0.06313 | 
 4 -> | 2011.58 | 0.11289 | 0.90829 | 0.07737 | 3.92696 | 11.6857 | 17.2100 | 
 5 -> | 2006.71 | 0.09515 | 0.88973 | 0.04125 | 1.41708 | 1.55129 | 57.8804 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.40 | 0.12423 | 0.90520 | 0.01623 | 1.00701 | 0.79299 | 24.5838 | 
 1 -> | 1990.17 | 0.10171 | 0.93493 | 0.01169 | 2.02148 | 1.62445 | 9.08726 | 
 2 -> | 2015.80 | 0.05405 | 0.80180 | 0.01802 | 0.73874 | 0.04505 | 0.31860 | 
 3 -> | 1987.95 | 0.00000 | 0.95238 | 0.02381 | 37.3571 | 1.07143 | 0.12055 | 
 4 -> | 2007.36 | 0.09540 | 0.98596 | 0.10121 | 7.10993 | 22.8421 | 5.92710 | 
 5 -> | 2006.57 | 0.09550 | 0.88933 | 0.05476 | 1.99186 | 2.73266 | 59.9627 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2008.87 | 0.11239 | 0.92455 | 0.02525 | 1.11364 | 1.37194 | 18.4127 | 
 1 -> | 1992.23 | 0.17001 | 0.93546 | 0.01023 | 1.36915 | 0.91814 | 7.29334 | 
 2 -> | 2014.54 | 0.10225 | 0.85460 | 0.01595 | 0.82520 | 0.92620 | 9.17910 | 
 3 -> | 1993.64 | 0.21429 | 1.00000 | 0.00000 | 24.0000 | 0.00000 | 0.04018 | 
 4 -> | 2003.07 | 0.15422 | 0.98701 | 0.08604 | 4.40097 | 20.0422 | 1.76808 | 
 5 -> | 2005.30 | 0.09489 | 0.89282 | 0.06021 | 2.52870 | 4.09367 | 63.3065 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2008.36 | 0.10256 | 0.93544 | 0.02988 | 1.11603 | 1.23741 | 15.5597 | 
 1 -> | 1993.84 | 0.19670 | 0.92644 | 0.01226 | 0.85341 | 0.63806 | 5.38462 | 
 2 -> | 2013.89 | 0.11188 | 0.85060 | 0.02584 | 0.79173 | 1.00921 | 12.7755 | 
 3 -> | 1987.96 | 0.05882 | 0.95588 | 0.06618 | 7.09559 | 0.22794 | 0.39036 | 
 4 -> | 2003.50 | 0.20231 | 0.98073 | 0.07514 | 3.57225 | 16.3391 | 1.48967 | 
 5 -> | 2004.60 | 0.09440 | 0.89130 | 0.06302 | 2.61305 | 4.28903 | 64.4001 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2008.22 | 0.10936 | 0.92840 | 0.03508 | 1.17234 | 1.15244 | 13.9897 | 
 1 -> | 1999.30 | 0.30745 | 0.93168 | 0.01553 | 1.16770 | 1.19565 | 0.92423 | 
 2 -> | 2013.53 | 0.11433 | 0.84802 | 0.03233 | 0.75044 | 0.90104 | 14.5608 | 
 3 -> | 1992.64 | 0.18106 | 0.91171 | 0.01919 | 0.98081 | 0.26615 | 4.48622 | 
 4 -> | 2002.49 | 0.14500 | 0.97500 | 0.05333 | 2.87833 | 14.0500 | 1.72216 | 
 5 -> | 2004.55 | 0.09943 | 0.89089 | 0.06627 | 2.70336 | 4.44261 | 64.3169 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2008.68 | 0.11671 | 0.92795 | 0.03591 | 1.09945 | 1.05732 | 12.4684 | 
 1 -> | 2002.06 | 0.11820 | 0.90780 | 0.00709 | 1.28605 | 0.87943 | 1.21412 | 
 2 -> | 2013.47 | 0.10814 | 0.84957 | 0.03468 | 0.77514 | 0.99513 | 14.7302 | 
 3 -> | 1994.25 | 0.21625 | 0.91338 | 0.02031 | 0.86559 | 0.28853 | 4.80482 | 
 4 -> | 1997.81 | 0.14965 | 0.95940 | 0.04292 | 2.40719 | 9.11369 | 2.47417 | 
 5 -> | 2004.44 | 0.10382 | 0.88654 | 0.06954 | 2.73292 | 4.49154 | 64.3083 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.25 | 0.12222 | 0.91179 | 0.04036 | 1.03220 | 1.20204 | 12.6579 | 
 1 -> | 2003.78 | 0.11217 | 0.94677 | 0.04943 | 1.07414 | 0.94297 | 1.50976 | 
 2 -> | 2013.48 | 0.09700 | 0.86851 | 0.04444 | 0.83624 | 1.31534 | 14.1447 | 
 3 -> | 2000.63 | 0.42718 | 0.92718 | 0.00000 | 1.33010 | 0.39320 | 0.59127 | 
 4 -> | 1994.85 | 0.19203 | 0.91983 | 0.04417 | 1.26116 | 2.87902 | 5.97876 | 
 5 -> | 2004.19 | 0.10654 | 0.88095 | 0.07233 | 2.82228 | 4.65346 | 65.1177 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2009.74 | 0.12768 | 0.90320 | 0.04079 | 1.00323 | 1.53123 | 12.4541 | 
 1 -> | 2005.88 | 0.08884 | 0.96128 | 0.05239 | 1.40547 | 2.55125 | 1.26005 | 
 2 -> | 2013.36 | 0.08658 | 0.86244 | 0.04803 | 0.86665 | 1.45481 | 13.6251 | 
 3 -> | 2003.60 | 0.10621 | 0.95391 | 0.04409 | 1.27054 | 1.61924 | 1.43226 | 
 4 -> | 1994.79 | 0.25973 | 0.91959 | 0.03063 | 0.85131 | 1.26228 | 4.49770 | 
 5 -> | 2003.96 | 0.11231 | 0.87767 | 0.07450 | 2.78704 | 4.67306 | 66.7308 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2010.65 | 0.12616 | 0.87261 | 0.04750 | 0.63325 | 0.88618 | 9.30540 | 
 1 -> | 2008.28 | 0.06783 | 0.95405 | 0.05142 | 1.92560 | 3.72867 | 2.62342 | 
 2 -> | 2013.44 | 0.08713 | 0.86728 | 0.04559 | 0.96295 | 1.51201 | 12.7813 | 
 3 -> | 2005.32 | 0.15709 | 0.94426 | 0.04392 | 1.34037 | 1.80743 | 3.39839 | 
 4 -> | 1994.93 | 0.26198 | 0.92590 | 0.03368 | 0.55689 | 1.02021 | 3.83467 | 
 5 -> | 2003.89 | 0.11729 | 0.87799 | 0.07828 | 2.74337 | 4.58715 | 68.0568 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2011.15 | 0.14676 | 0.83600 | 0.04163 | 0.33137 | 0.52944 | 6.82549 | 
 1 -> | 2010.83 | 0.26496 | 0.96581 | 0.02564 | 1.35897 | 8.97436 | 0.33582 | 
 2 -> | 2013.43 | 0.08687 | 0.84449 | 0.04848 | 1.04992 | 1.34149 | 11.9604 | 
 3 -> | 2007.55 | 0.10360 | 0.93956 | 0.04767 | 1.36674 | 1.90128 | 7.64638 | 
 4 -> | 1996.24 | 0.24217 | 0.93215 | 0.03445 | 0.53862 | 0.90397 | 2.74971 | 
 5 -> | 2003.72 | 0.12107 | 0.88007 | 0.08206 | 2.70626 | 4.57982 | 70.4822 | 
