Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1995.28 | 6.86997 | 0.13843 | 0.88456 | 0.00442 | 3.10615 | 8.04998 | 5.99867 | 1.25564 | 0.62362 | 
 1 -> | 1991.06 | 7.44886 | 0.00852 | 0.97159 | 0.00000 | 2.61648 | 8.10227 | 5.69886 | 2.68466 | 13.3750 | 
 2 -> | 2003.57 | 7.57278 | 0.09299 | 0.92049 | 0.03235 | 2.70418 | 7.66375 | 5.65162 | 1.74259 | 1.51685 | 
 3 -> | 1985.35 | 5.80579 | 0.10349 | 0.90236 | 0.00038 | 2.86285 | 6.79113 | 5.85647 | 1.53643 | 0.82912 | 
 4 -> | 2002.37 | 8.08696 | 0.09604 | 0.97080 | 0.28228 | 2.84555 | 8.91823 | 5.85399 | 13.8241 | 47.0435 | 
 5 -> | 2012.02 | 7.96510 | 0.10948 | 0.91307 | 0.06624 | 2.84945 | 8.08381 | 5.78359 | 1.91027 | 3.33668 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1992.88 | 7.03257 | 0.10163 | 0.88695 | 0.00112 | 2.83811 | 7.80554 | 5.83586 | 1.49710 | 0.44451 | 
 1 -> | 1992.69 | 7.50958 | 0.06513 | 0.95019 | 0.00383 | 2.49808 | 10.1188 | 5.62835 | 3.22605 | 11.7969 | 
 2 -> | 2003.41 | 6.94909 | 0.17102 | 0.86292 | 0.03916 | 3.43473 | 7.42559 | 6.03133 | 0.72715 | 0.46214 | 
 3 -> | 1983.11 | 5.44170 | 0.09930 | 0.90680 | 0.00060 | 2.89950 | 6.52780 | 5.87730 | 1.15890 | 1.01650 | 
 4 -> | 1988.13 | 7.78390 | 0.00000 | 1.00000 | 0.01271 | 2.97458 | 10.2161 | 5.95763 | 21.6356 | 42.6102 | 
 5 -> | 2011.06 | 7.97527 | 0.10452 | 0.91615 | 0.08785 | 2.83488 | 8.16172 | 5.77439 | 2.75141 | 6.53414 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1991.20 | 6.55853 | 0.10481 | 0.89891 | 0.00048 | 2.69756 | 7.60752 | 5.76024 | 1.47064 | 0.31624 | 
 1 -> | 1992.66 | 7.23183 | 0.05190 | 0.97924 | 0.00000 | 2.63322 | 9.29412 | 5.60900 | 5.75433 | 10.6367 | 
 2 -> | 2003.00 | 6.57616 | 0.26490 | 0.82781 | 0.00993 | 3.86093 | 6.50331 | 6.27815 | 0.35762 | 0.00000 | 
