Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1999.65 | 5.76817 | 0.08997 | 0.97232 | 0.14187 | 2.85294 | 10.5069 | 5.89273 | 6.93945 | 25.9498 | 8.42320 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.01457 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.01457 | 
 3 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 22.0000 | 5.00000 | 1.00000 | 0.00000 | 0.01457 | 
 4 -> | 1991.30 | 5.65368 | 0.27706 | 0.91775 | 0.00433 | 2.61905 | 19.4675 | 5.80952 | 0.94372 | 1.56710 | 3.36637 | 
 5 -> | 2005.68 | 5.79851 | 0.08380 | 0.91405 | 0.04446 | 2.67702 | 7.21008 | 5.62446 | 1.78777 | 1.30529 | 88.1667 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1998.41 | 5.76585 | 0.03902 | 0.95610 | 0.16341 | 2.86341 | 9.64146 | 5.99756 | 9.45854 | 32.3561 | 5.98016 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.00000 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 0.00000 | 16.0000 | 0.14586 | 
 4 -> | 1989.33 | 5.83333 | 0.41667 | 1.00000 | 0.00000 | 3.45833 | 14.1667 | 5.70833 | 6.45833 | 12.5000 | 0.35006 | 
 5 -> | 2004.79 | 5.78462 | 0.10075 | 0.91843 | 0.04601 | 2.68606 | 7.63069 | 5.64910 | 1.71491 | 1.55365 | 93.5239 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1997.43 | 5.74439 | 0.05381 | 0.94619 | 0.14798 | 2.84305 | 9.59193 | 5.98655 | 12.1570 | 44.5650 | 3.25263 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.00000 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 2006.62 | 5.94828 | 0.03448 | 1.00000 | 0.18966 | 3.12069 | 13.1897 | 6.06897 | 2.48276 | 21.5000 | 0.84597 | 
 4 -> | 1989.49 | 5.68056 | 0.00000 | 1.00000 | 0.00000 | 2.61111 | 11.2083 | 5.61111 | 11.1944 | 16.6250 | 1.05018 | 
 5 -> | 2004.68 | 5.80055 | 0.10134 | 0.91804 | 0.05274 | 2.71567 | 7.65831 | 5.66892 | 1.66031 | 1.77841 | 94.8512 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1995.91 | 5.55172 | 0.02586 | 0.87069 | 0.21552 | 2.65517 | 9.71552 | 5.81897 | 12.5948 | 60.0172 | 1.69195 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.00000 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 2005.12 | 6.00000 | 0.12000 | 1.00000 | 0.08000 | 3.00000 | 11.2400 | 6.24000 | 8.60000 | 30.9600 | 0.36464 | 
 4 -> | 1997.18 | 5.93506 | 0.07792 | 1.00000 | 0.25974 | 2.97403 | 8.84416 | 6.12987 | 9.31169 | 24.9870 | 1.12310 | 
 5 -> | 2004.36 | 5.80973 | 0.09943 | 0.92287 | 0.05559 | 2.70247 | 7.89455 | 5.67129 | 1.79000 | 2.03616 | 96.8203 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |    %    |
 0 -> | 1992.34 | 5.36782 | 0.00000 | 0.86207 | 0.10345 | 2.54023 | 8.39080 | 5.90805 | 12.5172 | 67.1264 | 1.26896 | 
 1 -> | 2016.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 4.00000 | 5.00000 | 1.00000 | 0.00000 | 0.00000 | 
 2 -> | 2015.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 1.00000 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 
 3 -> | 2015.00 | 5.00000 | 0.00000 | 1.00000 | 0.00000 | 2.00000 | 3.00000 | 5.00000 | 0.00000 | 46.0000 | 0.10210 | 
 4 -> | 2004.34 | 6.11429 | 0.05714 | 1.00000 | 0.31429 | 3.20000 | 12.5429 | 5.94286 | 14.0000 | 34.7429 | 0.51050 | 
