Gen  0|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.08 | 6.25333 | 0.11187 | 0.91593 | 0.00161 | 2.73091 | 7.51691 | 5.76583 | 2.12094 | 2.30604 | 
 1 -> | 2003.73 | 8.13101 | 0.13101 | 0.97347 | 0.30846 | 2.88226 | 8.42454 | 5.88723 | 17.2255 | 65.3167 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1976.72 | 5.39146 | 0.08230 | 0.87428 | 0.00000 | 3.20348 | 5.43154 | 6.08612 | 0.45539 | 0.82610 | 
 5 -> | 2011.05 | 7.96181 | 0.11588 | 0.91853 | 0.07205 | 2.82801 | 7.89157 | 5.76500 | 2.06460 | 3.47762 | 

Gen  1|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.14 | 6.26879 | 0.11918 | 0.91605 | 0.00137 | 2.74729 | 7.44652 | 5.77037 | 1.66821 | 1.29469 | 
 1 -> | 1986.62 | 7.43137 | 0.00000 | 1.00000 | 0.00654 | 3.01961 | 8.92157 | 5.94771 | 31.6144 | 54.7778 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1976.92 | 5.45491 | 0.07993 | 0.87602 | 0.00000 | 3.16453 | 5.36845 | 6.05104 | 0.48450 | 0.85831 | 
 5 -> | 2010.79 | 7.93749 | 0.12086 | 0.92134 | 0.07824 | 2.82150 | 7.90898 | 5.75984 | 2.62690 | 5.68824 | 

Gen  2|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.11 | 6.31593 | 0.11983 | 0.91326 | 0.00120 | 2.71449 | 7.39530 | 5.75452 | 1.66992 | 1.29682 | 
 1 -> | 1986.99 | 8.27778 | 0.00000 | 1.00000 | 0.00000 | 3.50000 | 7.04167 | 6.27778 | 73.1667 | 34.7778 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1976.90 | 5.48394 | 0.08123 | 0.87219 | 0.00000 | 3.17508 | 5.41464 | 6.04497 | 0.54337 | 1.35613 | 
 5 -> | 2010.72 | 7.95508 | 0.11838 | 0.92275 | 0.08280 | 2.80943 | 7.94276 | 5.75384 | 2.74547 | 5.93635 | 

Gen  3|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.15 | 6.35090 | 0.11995 | 0.91710 | 0.00130 | 2.72982 | 7.39066 | 5.76235 | 1.64388 | 1.48417 | 
 1 -> | 1986.78 | 8.43902 | 0.00000 | 1.00000 | 0.00000 | 3.80488 | 8.53659 | 5.95122 | 141.683 | 3.43902 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1976.90 | 5.38333 | 0.08112 | 0.87230 | 0.00000 | 3.16403 | 5.48964 | 6.03677 | 0.59015 | 1.60798 | 
 5 -> | 2010.73 | 7.95802 | 0.12010 | 0.92124 | 0.08025 | 2.81267 | 7.88298 | 5.75915 | 2.74831 | 5.92836 | 

Gen  4|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.15 | 6.33233 | 0.12029 | 0.91230 | 0.00147 | 2.74476 | 7.37579 | 5.78417 | 1.69604 | 1.50565 | 
 1 -> | 1978.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 422.000 | 0.00000 | 
 2 -> | 2014.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 1.00000 | 14.0000 | 5.00000 | 1.00000 | 0.00000 | 
 3 -> | 2012.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 3.00000 | 4.00000 | 6.00000 | 1.00000 | 1.00000 | 
 4 -> | 1976.93 | 5.35983 | 0.08322 | 0.86881 | 0.00000 | 3.15506 | 5.43254 | 6.03417 | 0.74025 | 1.66732 | 
 5 -> | 2010.69 | 7.97568 | 0.12132 | 0.92217 | 0.08356 | 2.81580 | 7.87172 | 5.76690 | 2.69523 | 6.11205 | 

Gen  5|   year  | region  | multiple| success | suicide | attack  | target  | weapon  |  kills  |  wound  |
 0 -> | 1990.19 | 6.39354 | 0.11871 | 0.91206 | 0.00103 | 2.73240 | 7.45259 | 5.78114 | 1.67747 | 1.56211 | 
 1 -> | 1978.00 | 10.0000 | 0.00000 | 1.00000 | 0.00000 | 7.00000 | 1.00000 | 8.00000 | 422.000 | 0.00000 | 
