Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 2002.23 | 0.10581 | 0.93661 | 0.02799 | 3.61086 | 1.47528 | 35.5864 | 
 1 -> | 2007.83 | 0.10342 | 0.89569 | 0.04384 | 1.19521 | 4.52725 | 64.4136 | 

Gen  1|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1999.05 | 0.10692 | 0.92116 | 0.01606 | 2.33081 | 1.92325 | 42.5230 | 
 1 -> | 2010.77 | 0.10772 | 0.89763 | 0.06302 | 1.88864 | 4.56984 | 57.4770 | 

Gen  2|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1996.00 | 0.11669 | 0.92277 | 0.01711 | 2.35617 | 2.57600 | 37.2388 | 
 1 -> | 2011.56 | 0.11122 | 0.89454 | 0.06101 | 1.94910 | 4.33280 | 62.7612 | 

Gen  3|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.66 | 0.12113 | 0.92246 | 0.02272 | 2.77750 | 3.36950 | 30.9472 | 
 1 -> | 2011.40 | 0.11605 | 0.89438 | 0.06089 | 1.84330 | 3.88993 | 69.0528 | 

Gen  4|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.91 | 0.12303 | 0.91996 | 0.02801 | 3.23215 | 4.38728 | 29.5121 | 
 1 -> | 2011.21 | 0.11797 | 0.89327 | 0.06071 | 1.77559 | 3.62192 | 70.4879 | 

Gen  5|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1991.89 | 0.12180 | 0.91959 | 0.03853 | 3.86265 | 6.44525 | 30.0918 | 
 1 -> | 2011.15 | 0.12358 | 0.88960 | 0.06118 | 1.49236 | 2.86775 | 69.9082 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.16 | 0.12868 | 0.91976 | 0.05522 | 3.97583 | 7.95222 | 30.5138 | 
 1 -> | 2011.04 | 0.12487 | 0.88368 | 0.06056 | 1.34570 | 2.14544 | 69.4862 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.27 | 0.12586 | 0.91361 | 0.06232 | 4.04957 | 8.74186 | 30.3990 | 
 1 -> | 2010.96 | 0.13003 | 0.87632 | 0.06074 | 1.24413 | 1.86115 | 69.6010 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.31 | 0.13080 | 0.91745 | 0.07068 | 3.93381 | 8.39024 | 30.7003 | 
 1 -> | 2010.92 | 0.13341 | 0.86999 | 0.06018 | 1.23236 | 1.77286 | 69.2997 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |    %    |
 0 -> | 1992.31 | 0.13411 | 0.91244 | 0.07312 | 4.12831 | 8.95613 | 31.2055 | 
 1 -> | 2010.98 | 0.13305 | 0.86686 | 0.06167 | 1.23173 | 1.76093 | 68.7945 | 
